TaxaName,Taxa,frequency,median
CAG-352,Genus,0.00253164556962025,0.0305792682926829
Incertae Sedis,Genus,0.00253164556962025,0.0181371042114971
Coprococcus 3,Genus,0.159493670886076,0.00857640235768281
[Eubacterium] hallii group,Genus,0.230379746835443,0.00803893101037802
Epulopiscium,Genus,0.0329113924050633,0.00576188823325234
Prevotella 6,Genus,0.030379746835443,0.0056241720252704
Intestinibacter,Genus,0.30379746835443,0.00552303714484185
[Clostridium] innocuum group,Genus,0.840506329113924,0.00539592582278187
Erysipelotrichaceae UCG-003,Genus,0.106329113924051,0.0052171754471159
Pyramidobacter,Genus,0.00759493670886076,0.0050553851755381
[Ruminococcus] torques group,Genus,0.344303797468354,0.00483447884492669
Agathobacter,Genus,0.286075949367089,0.00429557935946931
Robinsoniella,Genus,0.0253164556962025,0.00429378886492558
[Eubacterium] coprostanoligenes group,Genus,0.291139240506329,0.00390043259343309
[Ruminococcus] gnavus group,Genus,0.620253164556962,0.00354900354900355
Dorea,Genus,0.237974683544304,0.00332016896481546
Fusicatenibacter,Genus,0.217721518987342,0.00300289017740661
Lachnospiraceae UCG-001,Genus,0.00253164556962025,0.00292281121296665
Clostridium sensu stricto 13,Genus,0.00759493670886076,0.002750392694957
Tyzzerella 4,Genus,0.253164556962025,0.00263234120214816
Enterobacteriales,Order,0.815189873417722,0.00257643583808192
Clostridium sensu stricto 18,Genus,0.0227848101265823,0.00241116751269036
Moryella,Genus,0.0329113924050633,0.00236085699108776
Candidatus Stoquefichus,Genus,0.149367088607595,0.00230120173868576
Ruminiclostridium 5,Genus,0.384810126582278,0.00214184428457106
Ruminococcaceae UCG-013,Genus,0.212658227848101,0.00209798544918542
Ruminococcaceae UCG-004,Genus,0.139240506329114,0.00208902011030026
Anaeroglobus,Genus,0.0278481012658228,0.00207790596700161
Ruminococcus 1,Genus,0.149367088607595,0.00193645915320515
[Eubacterium] ventriosum group,Genus,0.0962025316455696,0.00161714791764733
[Eubacterium] ruminantium group,Genus,0.0126582278481013,0.00159265230348332
Lachnospiraceae FE2018 group,Genus,0.0177215189873418,0.00153413449245717
UBA1819,Genus,0.478481012658228,0.00151032169156029
Paraeggerthella,Genus,0.00253164556962025,0.00150287257923373
Ruminiclostridium 9,Genus,0.151898734177215,0.00145607450504333
Escherichia-Shigella,Genus,0.50126582278481,0.00145178182211163
human gut metagenome,Family,0.00253164556962025,0.0013381369016984
