accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
SRR14140875	SRP162022	new	PRJNA491657	SAMN07491271	1044G_isolate_VRE1	1044G	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D0_1_R1.fastq.gz	pt1044_D0_1_R2.fastq.gz
SRR14140874	SRP162022	new	PRJNA491657	SAMN07491271	1044G_isolate_VRE2	1044G	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D0_2_R1.fastq.gz	pt1044_D0_2_R2.fastq.gz
SRR14140863	SRP162022	new	PRJNA491657	SAMN07491271	1044G_isolate_VRE3	1044G	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D0_3_R1.fastq.gz	pt1044_D0_3_R2.fastq.gz
SRR14140852	SRP162022	new	PRJNA491657	SAMN07491271	1044G_isolate_VRE4	1044G	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D0_4_R1.fastq.gz	pt1044_D0_4_R2.fastq.gz
SRR14140841	SRP162022	new	PRJNA491657	SAMN07491272	1044H_isolate_VRE1	1044H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D1_1_R1.fastq.gz	pt1044_D1_1_R2.fastq.gz
SRR14140830	SRP162022	new	PRJNA491657	SAMN07491272	1044H_isolate_VRE2	1044H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D1_2_R1.fastq.gz	pt1044_D1_2_R2.fastq.gz
SRR14140819	SRP162022	new	PRJNA491657	SAMN07491272	1044H_isolate_VRE3	1044H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D1_3_R1.fastq.gz	pt1044_D1_3_R2.fastq.gz
SRR14140815	SRP162022	new	PRJNA491657	SAMN07491272	1044H_isolate_VRE4	1044H	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D1_4_R1.fastq.gz	pt1044_D1_4_R2.fastq.gz
SRR14140814	SRP162022	new	PRJNA491657	SAMN07491273	1044I_isolate_VRE1	1044I	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D4_1_R1.fastq.gz	pt1044_D4_1_R2.fastq.gz
SRR14140813	SRP162022	new	PRJNA491657	SAMN07491273	1044I_isolate_VRE2	1044I	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D4_2_R1.fastq.gz	pt1044_D4_2_R2.fastq.gz
SRR14140873	SRP162022	new	PRJNA491657	SAMN07491273	1044I_isolate_VRE3	1044I	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D4_3_R1.fastq.gz	pt1044_D4_3_R2.fastq.gz
SRR14140872	SRP162022	new	PRJNA491657	SAMN07491273	1044I_isolate_VRE4	1044I	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D4_4_R1.fastq.gz	pt1044_D4_4_R2.fastq.gz
SRR14140871	SRP162022	new	PRJNA491657	SAMN07491274	1044J_isolate_VRE1	1044J	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D5_1_R1.fastq.gz	pt1044_D5_1_R2.fastq.gz
SRR14140870	SRP162022	new	PRJNA491657	SAMN07491274	1044J_isolate_VRE2	1044J	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D5_2_R1.fastq.gz	pt1044_D5_2_R2.fastq.gz
SRR14140869	SRP162022	new	PRJNA491657	SAMN07491274	1044J_isolate_VRE3	1044J	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D5_3_R1.fastq.gz	pt1044_D5_3_R2.fastq.gz
SRR14140868	SRP162022	new	PRJNA491657	SAMN07491274	1044J_isolate_VRE4	1044J	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D5_4_R1.fastq.gz	pt1044_D5_4_R2.fastq.gz
SRR14140867	SRP162022	new	PRJNA491657	SAMN07491276	1044L_isolate_VRE1	1044L	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D7_1_R1.fastq.gz	pt1044_D7_1_R2.fastq.gz
SRR14140866	SRP162022	new	PRJNA491657	SAMN07491276	1044L_isolate_VRE2	1044L	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D7_2_R1.fastq.gz	pt1044_D7_2_R2.fastq.gz
SRR14140865	SRP162022	new	PRJNA491657	SAMN07491276	1044L_isolate_VRE3	1044L	WGS	GENOMIC	RANDOM	PAIRED	Illumina	Illumina MiSeq	colony isolated from human stool	fastq	pt1044_D7_3_R1.fastq.gz	pt1044_D7_3_R2.fastq.gz
