TaxaName,Taxa,frequencyPresentIn16S,medianRelAbdIn16S
CAG-352,Genus,0.002531646,0.030579268
Incertae Sedis,Genus,0.002531646,0.018137104
Coprococcus 3,Genus,0.159493671,0.008576402
[Eubacterium] hallii group,Genus,0.230379747,0.008038931
Epulopiscium,Genus,0.032911392,0.005761888
Prevotella 6,Genus,0.030379747,0.005624172
Intestinibacter,Genus,0.303797468,0.005523037
[Clostridium] innocuum group,Genus,0.840506329,0.005395926
Erysipelotrichaceae UCG-003,Genus,0.106329114,0.005217175
Pyramidobacter,Genus,0.007594937,0.005055385
[Ruminococcus] torques group,Genus,0.344303797,0.004834479
Agathobacter,Genus,0.286075949,0.004295579
Robinsoniella,Genus,0.025316456,0.004293789
[Eubacterium] coprostanoligenes group,Genus,0.291139241,0.003900433
[Ruminococcus] gnavus group,Genus,0.620253165,0.003549004
Dorea,Genus,0.237974684,0.003320169
Fusicatenibacter,Genus,0.217721519,0.00300289
Lachnospiraceae UCG-001,Genus,0.002531646,0.002922811
Clostridium sensu stricto 13,Genus,0.007594937,0.002750393
Tyzzerella 4,Genus,0.253164557,0.002632341
Enterobacteriales,Order,0.815189873,0.002576436
Clostridium sensu stricto 18,Genus,0.02278481,0.002411168
Moryella,Genus,0.032911392,0.002360857
Candidatus Stoquefichus,Genus,0.149367089,0.002301202
Ruminiclostridium 5,Genus,0.384810127,0.002141844
Ruminococcaceae UCG-013,Genus,0.212658228,0.002097985
Ruminococcaceae UCG-004,Genus,0.139240506,0.00208902
Anaeroglobus,Genus,0.027848101,0.002077906
Ruminococcus 1,Genus,0.149367089,0.001936459
[Eubacterium] ventriosum group,Genus,0.096202532,0.001617148
[Eubacterium] ruminantium group,Genus,0.012658228,0.001592652
Lachnospiraceae FE2018 group,Genus,0.017721519,0.001534134
UBA1819,Genus,0.478481013,0.001510322
Paraeggerthella,Genus,0.002531646,0.001502873
Ruminiclostridium 9,Genus,0.151898734,0.001456075
Escherichia-Shigella,Genus,0.501265823,0.001451782
human gut metagenome,Family,0.002531646,0.001338137
Coprococcus 2,Genus,0.020253165,0.001319235
Alloscardovia,Genus,0.139240506,0.001311425
Marvinbryantia,Genus,0.091139241,0.001260628
[Eubacterium] eligens group,Genus,0.048101266,0.001247221
Clostridium sensu stricto 1,Genus,0.448101266,0.001208355
Clostridiaceae 1,Family,0.481012658,0.001196507
Family XIII AD3011 group,Genus,0.139240506,0.001161361
Tissierella sp. AIP 285.00,Genus,0.002531646,0.001139306
