accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
SRR14092348	SRP199846	new	PRJNA545312	SAMN07491238	1042A_shotgun	1042A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042A_R1_nohumanreads.fastq.gz	1042A_R2_nohumanreads.fastq.gz
SRR14092347	SRP199846	new	PRJNA545312	SAMN07491239	1042AA_shotgun	1042AA	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042AA_R1_nohumanreads.fastq.gz	1042AA_R2_nohumanreads.fastq.gz
SRR14092272	SRP199846	new	PRJNA545312	SAMN07491240	1042B_shotgun	1042B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042B_R1_nohumanreads.fastq.gz	1042B_R2_nohumanreads.fastq.gz
SRR14092261	SRP199846	new	PRJNA545312	SAMN07491241	1042C_shotgun	1042C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042C_R1_nohumanreads.fastq.gz	1042C_R2_nohumanreads.fastq.gz
SRR14092250	SRP199846	new	PRJNA545312	SAMN07491242	1042D_shotgun	1042D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042D_R1_nohumanreads.fastq.gz	1042D_R2_nohumanreads.fastq.gz
SRR14092239	SRP199846	new	PRJNA545312	SAMN07491243	1042E_shotgun	1042E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042E_R1_nohumanreads.fastq.gz	1042E_R2_nohumanreads.fastq.gz
SRR14092228	SRP199846	new	PRJNA545312	SAMN07491244	1042F_shotgun	1042F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042F_R1_nohumanreads.fastq.gz	1042F_R2_nohumanreads.fastq.gz
SRR14092217	SRP199846	new	PRJNA545312	SAMN07491245	1042G_shotgun	1042G	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042G_R1_nohumanreads.fastq.gz	1042G_R2_nohumanreads.fastq.gz
SRR14092206	SRP199846	new	PRJNA545312	SAMN07491246	1042H_shotgun	1042H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042H_R1_nohumanreads.fastq.gz	1042H_R2_nohumanreads.fastq.gz
SRR14092195	SRP199846	new	PRJNA545312	SAMN13273518	1042II_shotgun	1042II	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1042II_R1_nohumanreads.fastq.gz	1042II_R2_nohumanreads.fastq.gz
