SampleID,readcount
1042A,39653846
1042AA,56697279
1042B,27012553
1042BB,13816103
1042C,35330225
1042D,40545083
1042E,30926293
1042F,37503161
1042G,29658647
1042H,37755827
1042HH,3455219
1042I,11896167
1042II,19805910
1042J,13881137
1042JJ,8149693
1042K,25219270
1042KK,50549468
1042L,5560842
1042M,31988741
1042N,25223852
1042O,40627702
1042P,26609658
1042Q,29350664
1042R,18656496
1042S,21835012
1042T,21124948
1042U,3061
1042V,41300256
1042W,46076544
1042X,11263271
1042Y,42782956
1042Z,22122038
1044A,28755814
1044B,28968888
1044C,29539903
1044D,20297526
1044E,21551495
1044F,20458820
1044G,23461296
1044H,26416669
1044I,22667663
1044J,18643190
1044K,1084892
1044L,11791862
1044M,50855929
1044N,65930171
1044O,19022738
1044P,30851803
1044Q,16048120
1044R,12100
1044S,374396
1105A,46736261
1105B,22834897
1105C,191303
1105D,25495841
1105E,2523742
1105F,21260368
1105G,20638935
1105H,22227272
1105I,18669458
1105J,19568815
1105K,27699225
1105L,32254421
1105M,16008444
1105N,15943262
1105O,26787876
1105P,16221177
1105Q,10609940
1105R,23947242
1105S,19782319
1105T,33829533
1105U,18476949
1107E,14893091
1110H,27655921
1110K,21215415
1110M,28889328
1179A,83828812
1179B,41788515
1179C,50672774
1179D,27384091
1179E,32197415
1179F,11216867
1179G,6072501
1179H,5257889
1179I,33669897
1179J,4668011
1179K,506984
1179L,24439993
1179M,7528185
1179N,8196722
1179O,40015191
1179P,74944074
1179Q,54359098
1179R,21923204
1179S,17966803
1179T,4653462
1179U,9173518
1179V,8965201
1179W,7688301
1179X,15579508
1179Y,25529342
1193A,37590401
1193B,28291840
1193C,39225658
1193D,42554125
1193E,34510747
1193F,33769529
1193G,36200846
1193H,19568700
1193M,19439192
1193N,20626662
1203A,17614595
1203B,78527496
1203C,68261368
1203D,4380980
1203E,3170534
1203F,17741751
1203G,34729667
1203H,29764785
1203I,27048939
1203J,18548393
1203K,18548503
1203L,20326775
1203M,23537337
1203N,19692855
1203O,8043374
1203P,20002336
1203Q,47359804
1203R,30917139
1203S,25020247
1203T,24994631
1203V,27399722
1203W,22503282
1203X,8993552
1203Y,18477894
1230A,23491230
1230H,25932817
1252A,29985374
1252AA,17159884
1252AAA,19496500
1252B,26753232
1252BB,11844444
1252BBB,25069377
1252C,14438334
1252CC,14455358
1252CCC,48724317
1252DD,30539782
1252E,17848506
1252EE,37308195
1252F,37422803
1252FF,23550456
1252GG,38084495
1252HH,8998412
1252II,16004691
1252JJ,1602714
1252K,38302802
1252KK,14641439
1252L,53831333
1252LL,21654597
1252M,69947900
1252MM,18863668
1252NN,13448169
1252OO,27433657
1252PP,11016504
1252Q,10419097
1252QQ,13977307
1252RR,12996708
1252T,10407049
1252TT,17487802
1252U,5453593
1252UU,31258456
1252V,18257316
1252VV,23304804
1252W,18861917
1252WW,47892753
1252X,11112894
1252XX,40931029
1252Y,13753384
1252YY,57058287
1252Z,11875783
1252ZZ,26822317
1362B,37856843
1362K,28434917
1403A,33897536
1403B,40642620
1403C,14365677
1403H,30559291
1414B,12261336
1414H,31412998
2065A,17247953
2065B,4929332
2065C,16561676
2065D,19488113
2065E,26974905
2065F,27192077
2065G,22586856
2105A,32955618
2105B,32079178
2105C,29010868
2105D,28443278
2105E,35528078
2105F,32878231
2142A,31794217
2142C,28191454
2142J,20151589
2142K,37081567
2142L,27917951
2142M,26512062
653A,30913614
653F,30811165
653G,24750464
653H,22510914
668A,29758128
668B,13744280
668BB,20360601
668CC,39507879
668D,10629751
668DD,21031828
668EE,37893016
668F,76136578
668FF,31562391
668G,42426637
668GG,18225261
668HH,15289978
668II,14455667
668JJ,16043077
668K,649081
668KK,7517824
668L,26113951
668LL,12640054
668M,5755558
668MM,3522667
668N,11513415
