#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	    3431	     203	    2166	   88.09	   88.18	   99.90	  113.40	    1.59	 2866.39	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	    4272	     302	    3228	   71.87	   73.64	   97.60	  135.80	    1.44	 3444.52	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	    1417	      63	     669	   87.74	  100.45	   87.35	   99.55	    3.27	 1238.38	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	    1126	      55	     588	   74.66	   83.84	   89.05	  119.27	    2.64	  969.85	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	    3164	     154	    1644	   74.21	   83.52	   88.86	  119.74	    2.75	 2729.39	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3841	      59	     636	   97.96	   98.27	   99.68	  101.76	    6.13	 3665.76	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3409	      93	     996	   98.80	   98.90	   99.90	  101.12	    3.45	 3138.49	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   11273	     228	    2487	   98.19	   98.59	   99.59	  101.43	    4.57	10605.21	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    4800	      65	     702	  100.00	  100.00	  100.00	  100.00	    6.88	 4606.59	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    2611	      57	     609	   99.51	  100.00	   99.51	  100.00	    4.37	 2444.06	1.0e-26
VFDB|VFG044322 siderophore esterase IroE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3434	      87	     936	   98.93	  100.00	   98.93	  100.00	    3.80	 3179.19	1.0e-26
VFDB|VFG048229 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    2392	      57	     606	   99.34	  100.00	   99.34	  100.00	    4.05	 2226.20	1.0e-26
VFDB|VFG048237 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1967	      57	     609	   99.34	  100.00	   99.34	  100.00	    3.28	 1801.36	1.0e-26
VFDB|VFG048247 type 1 major fimbrial subunit precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    2339	      51	     549	   99.82	  100.00	   99.82	  100.00	    4.35	 2188.43	1.0e-26
VFDB|VFG048257 type 1 pilus biosynthesis fimbrial protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3684	      59	     636	   99.37	  100.00	   99.37	  100.00	    5.92	 3508.84	1.0e-26
VFDB|VFG048267 periplasmic chaperone [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    5011	      67	     726	   99.45	  100.00	   99.45	  100.00	    7.09	 4811.06	1.0e-26
VFDB|VFG048277 outer membrane usher protein  [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   16236	     240	    2646	   99.55	  100.00	   99.55	  100.00	    6.24	15529.98	1.0e-26
VFDB|VFG048287 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3132	      49	     531	   99.44	  100.00	   99.44	  100.00	    6.07	 2985.49	1.0e-26
VFDB|VFG048297 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    2718	      47	     501	   99.60	  100.00	   99.60	  100.00	    5.49	 2579.88	1.0e-26
VFDB|VFG048307 type 1 fimbrial adhesin precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3868	      85	     909	   95.49	   96.48	   98.97	  103.65	    4.35	 3619.67	1.0e-26
