#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	  228029	    2704	     534	   97.75	  100.00	   97.75	  100.00	  459.47	220043.58	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	  233180	    2551	     504	   97.62	  100.00	   97.62	  100.00	  497.29	225636.03	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	  433856	    4571	     912	   97.59	  100.00	   97.59	  100.00	  514.36	420331.68	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	  874833	   10990	    2241	   96.74	  100.00	   96.74	  100.00	  429.53	842407.72	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	  426328	    4799	     957	   97.49	  100.00	   97.49	  100.00	  482.82	412144.39	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	  320936	    4113	     816	   96.69	  100.00	   96.69	  100.00	  436.75	308804.07	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	  443036	    5095	    1017	   95.48	  100.00	   95.48	  100.00	  499.37	427980.35	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	  365632	    4994	     993	   94.76	  100.00	   94.76	  100.00	  427.50	350917.01	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  959909	    3763	     771	   94.94	  100.00	   94.94	  100.00	 1816.38	948677.82	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	 1470368	   18467	    3882	   94.98	   99.33	   95.62	  100.67	  431.55	1415882.36	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	  520843	    5929	    1188	   97.56	  100.00	   97.56	  100.00	  474.28	503320.69	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  599712	    8010	    1611	   95.53	  100.00	   95.53	  100.00	  429.06	576103.71	1.0e-26
VFDB|VFG000933 isochorismatase [Escherichia coli CFT073]	  393950	    4309	     858	   97.90	  100.00	   97.90	  100.00	  490.56	381208.09	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  351523	    5239	    1041	   98.08	  100.00	   98.08	  100.00	  358.28	336111.09	1.0e-26
VFDB|VFG034754 Type III secretion system effector espL1 [Escherichia coli O157:H7 str. EDL933]	  668192	    9410	    1899	   97.68	  100.05	   97.63	   99.95	  379.29	640483.70	1.0e-26
VFDB|VFG034772 Type III secretion system effector EspL4 [Escherichia coli O157:H7 str. EDL933]	  789638	   10771	    2187	   71.56	   74.99	   95.43	  133.35	  404.63	757902.28	1.0e-26
VFDB|VFG034815 Type III secretion system effector espR1 [Escherichia coli O157:H7 str. EDL933]	  236253	    6378	    1260	   81.27	   88.10	   92.25	  113.51	  228.64	217787.03	1.0e-26
VFDB|VFG034849 Type III secretion system effector EspX1 [Escherichia coli O157:H7 str. EDL933]	  514409	    7100	    1422	   95.29	   99.93	   95.36	  100.07	  417.02	493494.32	1.0e-26
VFDB|VFG034866 Type III secretion system effector EspX4 [Escherichia coli O157:H7 str. EDL933]	  652720	    7840	    1581	   93.23	  100.00	   93.23	  100.00	  513.13	629572.14	1.0e-26
VFDB|VFG034873 Type III secretion system effector EspX5 [Escherichia coli O157:H7 str. EDL933]	  611837	    6424	    1293	   95.75	  100.08	   95.67	   99.92	  544.92	592830.20	1.0e-26
VFDB|VFG044159 enterobactin/ferric enterobactin esterase [Escherichia coli CFT073]	  512122	    6007	    1203	   96.59	  100.00	   96.59	  100.00	  474.36	494378.74	1.0e-26
VFDB|VFG044165 enterobactin exporter, iron-regulated [Escherichia coli CFT073]	  515785	    6245	    1251	   95.68	  100.00	   95.68	  100.00	  472.88	497346.20	1.0e-26
VFDB|VFG045349 adhesin FdeC [Escherichia coli O45:K1:H7 str. S88]	 1606625	   20079	    4251	   93.63	   99.15	   94.42	  100.85	  442.76	1547377.59	1.0e-26
