#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   83970	  110390	    2637	   77.59	   87.33	   88.84	  114.50	   44.52	 3591.54	1.0e-26
CARD|ACV32634.1 SHV-124 [Klebsiella pneumoniae]	    1225	   34036	     813	   70.48	   71.71	   98.28	  139.45	    1.73	30531.23	1.0e-26
CARD|CAJ47136.2 SHV-81 [Klebsiella pneumoniae]	    1172	   36046	     861	   77.82	   78.28	   99.41	  127.74	    1.40	32677.81	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 1606623	   53094	    1287	  100.00	  100.00	  100.00	  100.00	 1251.74	1454133.19	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 6358285	   35951	     912	  100.00	  100.00	  100.00	  100.00	 6992.17	6251239.46	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 1811270	  119648	    2904	   97.04	   99.93	   97.11	  100.07	  688.81	1481979.16	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 4960764	  117007	    2926	   83.08	   91.66	   90.64	  109.10	 2259.54	4620525.07	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 6630623	   40575	    1032	   99.90	  100.00	   99.90	  100.00	 6463.76	6509883.54	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   83747	   72312	    1728	   86.28	   95.66	   90.20	  104.54	   64.63	  837.76	1.0e-26
CARD|AAN04883.1 SHV-41 [Klebsiella pneumoniae]	    2132	   36045	     861	   73.17	   73.87	   99.06	  135.38	    2.89	30126.11	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 2738428	   19831	     486	  100.00	  100.00	  100.00	  100.00	 5651.52	2679502.58	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  571731	   20736	     498	  100.00	  100.00	  100.00	  100.00	 1151.75	512423.82	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 8357285	  112329	    2904	   91.77	  100.07	   91.71	   99.93	 3640.02	8026256.45	1.0e-26
CARD|AAL68926.1 SHV-35 [Klebsiella pneumoniae]	    1707	   36046	     861	   71.89	   72.36	   99.36	  138.20	    2.04	31233.74	1.0e-26
