#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  137959	    3981	    1486	   82.57	   94.21	   87.64	  106.14	  131.19	126459.94	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   84195	    4128	    1529	   89.54	   99.67	   89.83	  100.33	   80.16	72580.38	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	  759315	    7144	    2926	   90.64	   99.73	   90.88	  100.27	  342.72	738146.60	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   46656	    4083	    1504	   84.64	   96.74	   87.49	  103.37	   47.12	35721.07	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   46288	    4683	    1725	   99.59	  100.00	   99.59	  100.00	   28.63	33958.44	1.0e-26
CARD|AAO04716.1 dfrC [Staphylococcus epidermidis ATCC 12228]	     705	    1327	     486	   84.77	   85.39	   99.28	  117.11	    1.49	  190.64	1.0e-26
CARD|CBH51823.1 tet44 [Campylobacter fetus subsp. fetus]	  100399	    5181	    1923	   97.92	  100.00	   97.92	  100.00	   55.96	85871.29	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  311475	    3992	    1528	   82.66	   93.65	   88.26	  106.78	  273.34	299699.50	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 2644400	    4983	    2904	   97.07	  100.03	   97.04	   99.97	 1079.79	2629487.73	1.0e-26
CARD|NP_359110.1 Streptococcus pneumoniae PBP2b conferring resistance to amoxicillin [Streptococcus pneumoniae R6]	    7004	    5619	    2058	   87.27	   92.57	   94.28	  108.03	    4.34	  151.81	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	   84721	    4150	    1537	   77.36	   87.25	   88.67	  114.62	   86.44	73045.65	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	    1194	    1351	     495	   97.98	   98.79	   99.18	  101.23	    2.47	    9.80	1.7e-03
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	   96846	    2142	     795	  100.00	  100.00	  100.00	  100.00	  122.52	90604.46	1.0e-26
CARD|AJD73064.1 RlmA(II) [Streptococcus pneumoniae]	    8250	    2316	     849	   90.58	  100.12	   90.47	   99.88	   13.81	 3331.41	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	    3464	    2269	     831	   85.92	   88.09	   97.54	  113.52	    4.32	  248.98	1.0e-26
