#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  613682	   19595	    1486	   82.71	   96.10	   86.06	  104.06	  650.71	557320.70	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   15671	   41927	    3123	   98.82	   99.30	   99.52	  100.71	    5.23	11969.11	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	    3138	   10949	     816	   99.14	  100.00	   99.14	  100.00	    3.94	 4331.33	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	   75803	   20653	    1542	   76.20	   78.47	   97.11	  127.44	   70.66	31531.77	1.0e-26
CARD|AAM09852.1 vanXD [Enterococcus faecium]	  137504	    8139	     609	   73.07	   84.89	   86.07	  117.79	  356.00	114904.78	1.0e-26
CARD|AKA86814 optrA [Enterococcus faecalis]	   72186	   26366	    1968	   99.80	  100.00	   99.80	  100.00	   37.06	21302.51	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  897291	   19996	    1529	   83.26	   94.31	   88.28	  106.03	  845.24	839046.46	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	   35457	   17256	    1287	  100.00	  100.00	  100.00	  100.00	   27.66	 6284.15	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	   48653	   12221	     912	  100.00	  100.00	  100.00	  100.00	   53.49	21802.41	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  162002	   38820	    2904	   98.07	   99.97	   98.11	  100.03	   63.72	75557.84	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 4591159	   34124	    2926	   82.19	   92.14	   89.21	  108.53	 2153.60	4489792.33	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  343709	   19989	    1504	   76.40	   87.43	   87.38	  114.37	  368.22	288135.58	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    5835	   16022	    1194	   92.38	   92.38	  100.00	  108.25	    4.98	 4748.28	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	   54066	   13828	    1032	   99.90	  100.00	   99.90	  100.00	   52.76	23846.49	1.0e-26
CARD|AAF86220.1 vatE [Enterococcus faecium]	  272279	    8587	     645	  100.00	  100.00	  100.00	  100.00	  423.32	247566.91	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    7101	   23192	    1728	   95.95	   96.30	   99.64	  103.85	    4.27	 8547.44	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   12828	   41809	    3114	   96.18	   96.56	   99.60	  103.56	    4.21	15373.05	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    6614	   23474	    1749	   98.68	   99.09	   99.60	  100.92	    4.01	 9448.15	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    8095	   19686	    1467	   98.70	   98.70	  100.00	  101.31	    5.54	 4836.59	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	   25491	    6516	     486	  100.00	  100.00	  100.00	  100.00	   52.57	11248.69	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   15342	   42290	    3150	   94.54	   94.76	   99.77	  105.53	    5.06	12601.12	1.0e-26
CARD|AAA24786.1 vanC [Enterococcus gallinarum]	    3114	   13848	    1032	   89.24	   89.44	   99.78	  111.81	    3.05	 6793.48	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  423443	   20261	    1528	   77.75	   87.76	   88.59	  113.94	  381.72	366359.14	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	   99430	   16341	    1221	  100.00	  100.00	  100.00	  100.00	   81.87	59633.00	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	   13329	   25766	    1920	   92.71	   95.00	   97.59	  105.26	    7.48	 3956.77	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	   52810	    6671	     498	  100.00	  100.00	  100.00	  100.00	  106.47	35787.60	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 6421243	   31821	    2904	   91.22	  100.45	   90.81	   99.55	 2981.30	6326406.73	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   10582	   18678	    1392	  100.00	  100.00	  100.00	  100.00	    7.73	 2240.29	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  262690	   20476	    1537	   78.72	   91.28	   86.24	  109.55	  285.68	207184.30	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	   10500	   41328	    3078	   97.27	   98.05	   99.20	  101.99	    3.55	18337.54	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	   13863	    6639	     495	   98.99	  100.00	   98.99	  100.00	   28.98	 2545.26	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  581740	   20353	    1542	   92.22	   99.42	   92.76	  100.59	  541.05	523431.89	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	  177565	   10614	     795	  100.00	  100.00	  100.00	  100.00	  224.14	148117.42	1.0e-26
CARD|AAF61331.1 vanXYC [Enterococcus gallinarum]	    3330	    7687	     573	  100.00	  100.00	  100.00	  100.00	    5.83	 1723.69	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	   93066	   11121	     831	  100.00	  100.00	  100.00	  100.00	  112.57	64449.26	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	   16292	    7363	     549	   99.64	  100.00	   99.64	  100.00	   30.06	 3370.31	1.0e-26
CARD|AAS13767.1 Mrx [Aeromonas hydrophila]	   19143	   16620	    1239	  100.00	  100.00	  100.00	  100.00	   15.49	  177.94	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	    4228	   11029	     822	   98.78	  100.00	   98.78	  100.00	    5.52	 3031.99	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	   12405	   41810	    3114	   96.24	   96.34	   99.90	  103.80	    4.03	15948.94	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	  180177	   10172	     762	   99.87	  100.13	   99.74	   99.87	  239.49	151833.71	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	    2848	    8895	     663	  100.00	  100.00	  100.00	  100.00	    4.30	 3114.54	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	    4980	   16546	    1233	   97.49	   99.11	   98.36	  100.90	    4.23	 6214.87	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	   16961	    9817	     732	   94.26	  100.00	   94.26	  100.00	   27.85	 1905.33	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	    9630	   27542	    2052	   99.66	   99.71	   99.95	  100.29	    4.73	 8631.44	1.0e-26
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	    3534	   10586	     789	   96.70	   96.70	  100.00	  103.41	    4.68	 3522.60	1.0e-26
CARD|YP_008997281.1 ANT(6)-Ia [Exiguobacterium sp. S3-2]	  521257	   11421	     864	  100.00	  100.00	  100.00	  100.00	  605.58	487972.42	1.0e-26
CARD|AAM09851.1 vanRD [Enterococcus faecium]	  377666	    9278	     699	   92.13	  100.00	   92.13	  100.00	  707.94	350721.18	1.0e-26
CARD|AAF86641.1 vanRC [Enterococcus gallinarum]	    2406	    9338	     696	  100.00	  100.00	  100.00	  100.00	    3.47	 4092.42	1.0e-26
