#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   79295	   18651	    2637	   80.96	   90.60	   89.37	  110.38	   41.03	37547.34	1.0e-26
CARD|CAI43413.1 OXY-1-2 [Klebsiella oxytoca]	   86144	    6189	     876	  100.00	  100.00	  100.00	  100.00	   98.73	69235.26	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  187865	   10443	    1486	   78.80	   89.17	   88.38	  112.15	  177.34	158733.81	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   22957	   22160	    3123	   70.57	   78.48	   89.92	  127.42	   11.87	   14.05	1.8e-04
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	   60355	    5773	     816	   99.14	  100.00	   99.14	  100.00	   76.09	45050.83	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  172800	   10754	    1529	   87.05	   96.73	   89.99	  103.38	  173.09	143055.67	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 2204363	   18165	    2904	   96.63	   99.97	   96.66	  100.03	  847.56	2150459.29	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1667183	   18908	    2926	   82.91	   93.34	   88.83	  107.14	  763.61	1611304.58	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   85914	   10629	    1504	   84.84	   96.34	   88.06	  103.80	   87.23	58707.12	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   50127	   12216	    1725	   95.30	  100.00	   95.30	  100.00	   33.85	23053.78	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   92295	   12209	    1728	   91.67	  100.00	   91.67	  100.00	   71.12	61372.92	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	    4604	   22118	    3114	   82.79	   85.04	   97.36	  117.60	    1.61	11479.78	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    8521	   12414	    1749	   70.33	   77.42	   90.84	  129.17	    7.82	  723.96	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    1703	   10415	    1467	   81.94	   83.98	   97.56	  119.07	    1.24	 6263.54	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   32436	   22341	    3150	   76.19	   86.48	   88.11	  115.64	   16.44	 1860.35	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  492118	   10560	    1528	   83.18	   94.37	   88.14	  105.96	  462.28	461324.84	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	    1296	    8668	    1221	   76.99	   76.99	  100.00	  129.89	    1.06	 5454.35	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 5348826	   14649	    2904	   96.35	   99.93	   96.42	  100.07	 2169.55	5305036.85	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   36382	    9863	    1392	   77.37	   87.43	   88.50	  114.38	   39.31	15205.88	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  110797	   10847	    1537	   78.33	   87.57	   89.45	  114.19	  108.40	82122.64	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	   71512	   10906	    1542	   71.27	   74.51	   95.65	  134.20	   54.32	44565.36	1.0e-26
CARD|AJD73064.1 RlmA(II) [Streptococcus pneumoniae]	    3505	    6025	     849	   92.23	  100.00	   92.23	  100.00	    5.33	  666.64	1.0e-26
CARD|AAM61952.1 TEM-104 [Klebsiella pneumoniae]	  126238	    6070	     861	   74.10	   74.33	   99.69	  134.53	  147.08	109141.52	1.0e-26
CARD|CDJ73082 Escherichia coli CyaA with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   19107	   18073	    2547	   74.72	   86.26	   86.62	  115.93	   12.24	   28.74	8.3e-08
CARD|AAA88675.1 ErmF [Bacteroides fragilis]	   26715	    5677	     801	   99.88	  100.00	   99.88	  100.00	   33.55	13662.62	1.0e-26
CARD|AET10445.1 tetB(46) [Streptococcus australis]	   37153	   12309	    1737	   84.80	   90.50	   93.70	  110.50	   25.09	12477.84	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	  209485	    8633	    1230	   97.24	  100.00	   97.24	  100.00	  188.84	184951.50	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	   19044	    5829	     822	   83.45	   93.67	   89.09	  106.75	   36.24	 7021.11	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	   14498	    5404	     762	  100.00	  100.13	   99.87	   99.87	   19.91	 4154.57	1.0e-26
CARD|YP_005226137.1 Klebsiella pneumoniae OmpK35 [Klebsiella pneumoniae subsp. pneumoniae HS11286]	   14364	    4851	     684	   85.67	   98.10	   87.33	  101.94	   29.32	 4709.23	1.0e-26
CARD|NP_414997.1 Escherichia coli acrR with mutation conferring multidrug antibiotic resistance [Escherichia coli str. K-12 substr. MG1655]	     868	    4599	     648	   74.07	   74.69	   99.17	  133.88	    1.37	 2546.57	1.0e-26
CARD|BAE77933.1 CRP [Escherichia coli str. K-12 substr. W3110]	   15121	    4489	     633	   84.52	   96.52	   87.56	  103.60	   34.20	 5763.84	1.0e-26
CARD|U00096_3941808_3943349 Escherichia coli 16S rRNA mutation in the rrsC gene conferring resistance to kasugamicin [Escherichia coli K-12]	  960689	   10378	    1542	   95.91	  100.00	   95.91	  100.00	  699.87	929995.95	1.0e-26
CARD|WP_001206316.1 aadA [Bacteria]	  148309	    5576	     792	   99.75	   99.87	   99.87	  100.13	  188.70	132386.97	1.0e-26
CARD|AAC75291.1 Escherichia coli gyrA with mutation conferring resistance to triclosan [Escherichia coli str. K-12 substr. MG1655]	   27981	   18639	    2628	   71.08	   79.11	   89.85	  126.41	   15.04	 1871.69	1.0e-26
