#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   67698	  154761	    2637	   83.47	   93.40	   89.36	  107.06	   35.63	34074.09	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   62724	   87175	    1486	   74.76	   84.99	   87.97	  117.66	   69.90	 3988.51	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   26734	  183368	    3123	   80.69	   89.66	   90.00	  111.54	   13.60	116772.94	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	   87691	   90447	    1542	   78.60	   80.80	   97.27	  123.76	   60.91	   42.66	5.8e-10
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  366455	   89520	    1529	   83.32	   95.42	   87.32	  104.80	  411.69	168194.31	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 3943034	   73573	    1287	  100.00	  100.00	  100.00	  100.00	 3070.66	3727703.57	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 7105785	   51018	     912	  100.00	  100.00	  100.00	  100.00	 7809.77	6954183.35	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 2116982	  168157	    2904	   96.52	  100.10	   96.42	   99.90	  819.72	1662006.02	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	11548305	  158807	    2926	   82.13	   90.77	   90.47	  110.17	 5270.79	11080500.87	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	   14799	   70059	    1194	   87.10	   98.16	   88.74	  101.88	   21.04	35986.14	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 6942283	   57799	    1032	   99.90	  100.00	   99.90	  100.00	 6763.98	6770793.77	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  103450	  101354	    1728	   91.96	  100.00	   91.96	  100.00	   74.38	   21.44	3.7e-06
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   10158	  182858	    3114	   76.33	   78.16	   97.66	  127.94	    4.13	154523.26	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	   27112	  102638	    1749	   89.59	  100.00	   89.59	  100.00	   23.90	43963.34	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    4193	   86093	    1467	   95.71	   95.71	  100.00	  104.49	    2.86	74293.19	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 3978667	   27767	     486	  100.00	  100.00	  100.00	  100.00	 8204.97	3896133.24	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   82570	  184887	    3150	   86.63	   98.10	   88.32	  101.94	   39.23	39142.25	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  999485	   89089	    1528	   77.81	   89.01	   87.43	  112.35	  937.16	761379.88	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	 1586732	   28911	     498	  100.00	  100.00	  100.00	  100.00	 3193.46	1502065.92	1.0e-26
