#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   12045	   38739	    2637	   78.38	   86.88	   90.22	  115.10	    6.39	14031.91	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	 1235004	   21121	    1486	   81.29	   93.07	   87.35	  107.45	 1189.26	1173060.12	1.0e-26
CARD|AAL79541.1 OXY-2-2 [Klebsiella oxytoca]	    2367	   12819	     873	   83.96	   84.08	   99.86	  118.94	    2.73	 7194.32	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  372971	   22240	    1529	   82.60	   94.64	   87.28	  105.67	  390.81	311256.35	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  360805	   42276	    2904	   96.32	  100.14	   96.18	   99.86	  144.33	251711.81	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 6708513	   35445	    2926	   82.71	   92.69	   89.23	  107.89	 3240.48	6602922.19	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  459116	   21826	    1504	   78.12	   90.03	   86.78	  111.08	  465.84	397598.46	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    2570	   17535	    1194	   80.40	   87.69	   91.69	  114.04	    3.22	11139.50	1.0e-26
CARD|CAA52904.1 catS [Streptococcus pyogenes]	  526208	    7124	     492	   98.58	  100.00	   98.58	  100.00	 1133.07	505214.90	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   98360	   25275	    1725	   95.07	  100.00	   95.07	  100.00	   66.14	43202.41	1.0e-26
