#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  219497	  110906	    2637	   81.68	   92.26	   88.53	  108.38	  116.32	35689.35	1.0e-26
CARD|AEI83430.1 SHV-137 [Klebsiella pneumoniae]	    3923	   36258	     861	   75.38	   76.07	   99.08	  131.45	    4.75	26021.52	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 1251329	   53589	    1287	  100.00	  100.00	  100.00	  100.00	  974.70	1099364.13	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 4393457	   36866	     912	  100.00	  100.00	  100.00	  100.00	 4830.69	4284084.19	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 5200334	  116578	    2904	   97.04	   99.93	   97.11	  100.07	 1974.96	4860821.58	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 4179834	  118612	    2926	   83.66	   92.52	   90.43	  108.09	 1905.01	3837087.46	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 6061541	   41057	    1032	   99.90	  100.00	   99.90	  100.00	 5908.79	5939474.69	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  232665	   72641	    1728	   86.75	   96.24	   90.14	  103.91	  179.61	83874.44	1.0e-26
CARD|AAN04883.1 SHV-41 [Klebsiella pneumoniae]	    4287	   36258	     861	   83.97	   84.67	   99.18	  118.11	    5.48	25210.47	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 1733398	   20140	     486	  100.00	  100.00	  100.00	  100.00	 3576.51	1673902.81	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  133088	  132613	    3150	   73.84	   86.86	   85.01	  115.13	   69.76	    0.85	3.6e-01
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  201697	   20930	     498	  100.00	  100.00	  100.00	  100.00	  406.40	146775.59	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 6862386	  114720	    2904	   91.60	  100.03	   91.57	   99.97	 2996.42	6525769.76	1.0e-26
CARD|AAL68926.1 SHV-35 [Klebsiella pneumoniae]	    5794	   36257	     861	   77.82	   78.16	   99.55	  127.93	    7.03	22069.10	1.0e-26
CARD|AAV66328.1 SHV-59 [Klebsiella pneumoniae]	    4361	   36258	     861	   81.18	   81.65	   99.43	  122.48	    5.27	25048.16	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  933948	   64401	    1542	   95.40	   99.74	   95.64	  100.26	  745.87	757360.19	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	 4910165	   31977	     795	  100.00	  100.00	  100.00	  100.00	 6192.46	4815059.97	1.0e-26
CARD|ADM25824.1 SHV-134 [Klebsiella pneumoniae]	    3419	   36258	     861	   75.84	   76.19	   99.54	  131.25	    4.19	27180.09	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	 4222917	   33645	     831	  100.00	  100.00	  100.00	  100.00	 5093.47	4123043.44	1.0e-26
CARD|ADE58494.1 SHV-128 [Enterobacter cloacae]	    2700	   36258	     861	   82.93	   83.28	   99.58	  120.08	    3.44	28907.36	1.0e-26
CARD|AJO16042.1 SHV-182 [Klebsiella pneumoniae]	    3608	   36258	     861	   89.43	   89.78	   99.61	  111.38	    4.40	26740.70	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	  102350	   51758	    1230	   96.42	   99.92	   96.50	  100.08	   94.66	16608.36	1.0e-26
CARD|AAG49894.1 SHV-29 [Klebsiella pneumoniae]	    3061	   36258	     861	   89.78	   90.24	   99.49	  110.81	    3.73	28028.94	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	  456049	   23021	     549	   99.64	  100.00	   99.64	  100.00	  840.39	391410.31	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	  451328	   30698	     732	   94.67	  100.00	   94.67	  100.00	  740.05	367052.83	1.0e-26
