#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   86103	   11371	    1486	   72.88	   84.05	   86.71	  118.98	   84.58	57295.79	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  504520	   11454	    1529	   83.45	   96.53	   86.45	  103.59	  489.37	471174.69	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  166546	    9807	    1287	  100.00	  100.00	  100.00	  100.00	  129.63	139304.59	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  258917	    6916	     912	  100.00	  100.00	  100.00	  100.00	  284.42	238887.08	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	    7253	   22322	    2904	   85.37	   87.26	   97.83	  114.60	    2.74	 7678.06	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 3734641	   18291	    2926	   81.82	   91.83	   89.10	  108.89	 1729.43	3680121.95	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  126835	   11485	    1504	   76.20	   87.17	   87.41	  114.72	  137.78	96193.67	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  268496	    7823	    1032	   99.90	  100.00	   99.90	  100.00	  261.44	245912.31	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  142533	    3706	     486	  100.00	  100.00	  100.00	  100.00	  293.90	131787.96	1.0e-26
CARD|AAA24786.1 vanC [Enterococcus gallinarum]	   21915	    7921	    1032	   99.90	  100.00	   99.90	  100.00	   21.30	 6563.46	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	   60022	    3814	     498	  100.00	  100.00	  100.00	  100.00	  120.70	49490.68	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 5515119	   16163	    2904	   91.22	   99.97	   91.25	  100.03	 2473.36	5466818.11	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  492418	   11558	    1542	   75.68	   83.07	   91.10	  120.37	  418.98	458802.14	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	  527470	    5946	     795	  100.00	  100.00	  100.00	  100.00	  665.05	509894.66	1.0e-26
CARD|AAF61331.1 vanXYC [Enterococcus gallinarum]	   12321	    4399	     573	  100.00	  100.00	  100.00	  100.00	   21.52	 3752.99	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	  386877	    6261	     831	   99.88	  100.00	   99.88	  100.00	  478.71	368492.34	1.0e-26
CARD|AAF72530.1 CTX-M-14 [Escherichia coli]	    6301	    6728	     876	  100.00	  100.00	  100.00	  100.00	    7.23	   14.03	1.8e-04
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	   69765	    4202	     549	   99.64	  100.00	   99.64	  100.00	  128.49	58111.36	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	   61420	    5606	     732	   94.67	  100.00	   94.67	  100.00	  100.07	46475.86	1.0e-26
CARD|AAF86641.1 vanRC [Enterococcus gallinarum]	   16635	    5342	     696	   99.86	  100.00	   99.86	  100.00	   25.52	 5801.83	1.0e-26
CARD|AAN62561.1 D-Ala-D-Ala ligase [Enterococcus gallinarum]	   36556	    8099	    1056	   98.39	  100.00	   98.39	  100.00	   39.46	18133.81	1.0e-26
CARD|AFK58562.1 Enterococcus faecium liaR mutant conferring daptomycin resistance [Enterococcus faecium DO]	   73295	    4845	     633	  100.00	  100.00	  100.00	  100.00	  116.06	59960.77	1.0e-26
CARD|ALL09868.1 Enterococcus faecium cls conferring resistance to daptomycin [Enterococcus faecium]	  152506	   11073	    1452	   99.93	  100.00	   99.93	  100.00	  105.44	122283.53	1.0e-26
CARD|AAA65954.1 vanSA [Enterococcus faecium]	  327577	    8729	    1155	  100.00	  100.00	  100.00	  100.00	  284.17	302294.04	1.0e-26
CARD|AAA65953.1 vanRA [Enterococcus faecium]	  195463	    5294	     696	  100.00	  100.00	  100.00	  100.00	  281.41	180136.62	1.0e-26
CARD|AAA65955.1 vanHA [Enterococcus faecium]	  301739	    7333	     969	  100.00	  100.00	  100.00	  100.00	  311.93	280435.74	1.0e-26
