#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	     833	    4329	     603	   79.44	   81.76	   97.16	  122.31	    1.51	 2368.57	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	     670	    3877	     540	   80.56	   81.48	   98.86	  122.73	    1.29	 2262.41	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	     760	    5213	     726	   74.52	   75.48	   98.72	  132.48	    1.10	 3320.17	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	   45504	    6539	     912	   77.30	   80.92	   95.53	  123.58	   53.04	29173.09	1.0e-26
VFDB|VFG000880 regulatory protein PapI [Escherichia coli CFT073]	   24066	    1678	     234	   94.87	  100.00	   94.87	  100.00	  115.36	19467.55	1.0e-26
VFDB|VFG000881 (papB) regulatory protein PapB [Escherichia coli CFT073]	   73954	    2256	     315	   98.41	   99.68	   98.73	  100.32	  247.41	67453.10	1.0e-26
VFDB|VFG000888 P pilus minor subunit PapE [Escherichia coli CFT073]	   83133	    3866	     540	   95.00	  100.00	   95.00	  100.00	  164.31	72221.05	1.0e-26
VFDB|VFG000889 P pilus minor subunit PapF  [Escherichia coli CFT073]	  104602	    3799	     531	   94.73	  100.56	   94.19	   99.44	  218.54	93737.21	1.0e-26
VFDB|VFG000902 Aecreted auto transpoter toxin [Escherichia coli CFT073]	  890765	   27159	    3900	   99.51	  100.00	   99.51	  100.00	  231.98	812500.83	1.0e-26
VFDB|VFG000916 heme oxygenase ChuS [Escherichia coli CFT073]	  331367	    7304	    1029	   97.96	  100.00	   97.96	  100.00	  328.45	310083.05	1.0e-26
VFDB|VFG000917 Outer membrane heme/hemoglobin receptor ChuA [Escherichia coli CFT073]	  544529	   13720	    1947	   98.56	  100.00	   98.56	  100.00	  289.22	504715.41	1.0e-26
VFDB|VFG000918 periplasmic heme-binding protein ChuT [Escherichia coli CFT073]	  391971	    7034	     993	   99.40	  100.00	   99.40	  100.00	  400.77	371364.86	1.0e-26
VFDB|VFG000919 Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073]	  523922	    9434	    1338	   97.91	  100.00	   97.91	  100.00	  413.19	496285.83	1.0e-26
VFDB|VFG000920 putative heme-binding protein ChuX [Escherichia coli CFT073]	   70041	    3545	     495	   96.16	  100.00	   96.16	  100.00	  154.27	60087.01	1.0e-26
VFDB|VFG000921 ChuY [Escherichia coli CFT073]	  228809	    4445	     624	   96.31	  100.00	   96.31	  100.00	  404.85	215812.15	1.0e-26
VFDB|VFG000922 heme permease protein ChuU [Escherichia coli CFT073]	  146983	    7094	     993	   99.30	  100.00	   99.30	  100.00	  150.51	127005.17	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	  747098	   15680	    2241	   97.90	  100.00	   97.90	  100.00	  355.27	701346.37	1.0e-26
