#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  437334	   28985	    3228	   87.30	   95.79	   91.14	  104.40	  170.55	357583.21	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	  110909	    8829	     975	   99.28	   99.28	  100.00	  100.72	  114.32	87024.40	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  545485	   19385	    2166	  100.00	  100.00	  100.00	  100.00	  253.13	489988.56	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  382838	   17827	    1983	   98.23	   98.23	  100.00	  101.80	  194.31	332527.42	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	 1046763	   28493	    3228	   99.16	  100.00	   99.16	  100.00	  353.29	964302.06	1.0e-26
VFDB|VFG000863 heat-stable enterotoxin 1 [Escherichia coli O44:H18 042]	     428	    1062	     117	   93.16	  100.00	   93.16	  100.00	    4.78	  270.15	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  121507	    9424	    1041	   82.32	   95.29	   86.39	  104.94	  170.41	95946.33	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	  153071	    6051	     669	   87.74	  100.00	   87.74	  100.00	  347.66	135838.40	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	   94201	    5354	     591	   85.28	   99.15	   86.01	  100.85	  255.63	79290.48	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	  138722	    5320	     588	   89.80	  100.00	   89.80	  100.00	  336.32	123546.94	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  396907	   22703	    2526	   87.61	  100.00	   87.61	  100.00	  240.57	333709.23	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  399614	   14771	    1644	   87.71	   98.48	   89.07	  101.54	  355.21	357404.37	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	  109526	    6846	     756	   83.47	   97.22	   85.85	  102.86	  233.64	90598.23	1.0e-26
VFDB|VFG012501 esterase [Escherichia coli CFT073]	    7475	    8691	     957	   81.92	   93.52	   87.60	  106.93	   12.38	   91.52	1.0e-20
VFDB|VFG012505 esterase [Escherichia coli CFT073]	    7973	   11171	    1230	   86.67	   98.46	   88.03	  101.57	    9.73	  534.33	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  339435	    5722	     636	   99.84	  100.00	   99.84	  100.00	  544.66	322646.02	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  516479	    8918	     996	   99.80	  100.00	   99.80	  100.00	  529.27	490327.90	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1393449	   21733	    2487	   99.60	  100.00	   99.60	  100.00	  574.90	1329584.58	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  467515	    6294	     702	   99.72	  100.00	   99.72	  100.00	  678.75	448966.43	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  380206	    5473	     609	   99.51	  100.00	   99.51	  100.00	  641.32	364095.79	1.0e-26
VFDB|VFG044322 siderophore esterase IroE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  388483	    8411	     936	   99.47	  100.00	   99.47	  100.00	  428.26	363961.71	1.0e-26
