#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  365246	    8857	    3228	   83.77	   91.88	   91.17	  108.83	  142.74	339513.10	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   38767	    2753	     975	   99.90	  100.00	   99.90	  100.00	   39.99	31237.25	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  338365	    5956	    2166	  100.00	  100.00	  100.00	  100.00	  156.77	320908.46	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  210984	    5515	    1983	   98.89	   98.89	  100.00	  101.12	  106.90	194998.37	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	  937942	    8394	    3228	   98.95	  100.00	   98.95	  100.00	  315.89	913055.66	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   95713	    2924	    1041	   80.31	   91.83	   87.45	  108.89	  133.75	87285.03	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  380934	    1741	     636	   99.69	  100.00	   99.69	  100.00	  634.44	375741.26	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  597089	    2673	     996	   99.10	  100.00	   99.10	  100.00	  643.29	589115.76	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1701600	    5991	    2487	   99.56	  100.00	   99.56	  100.00	  734.62	1683709.78	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  592552	    1885	     702	   99.86	  100.00	   99.86	  100.00	  904.93	586920.64	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  452180	    1656	     609	   99.34	  100.00	   99.34	  100.00	  822.21	447234.12	1.0e-26
VFDB|VFG048297 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   21039	    1416	     501	   74.65	   89.22	   83.67	  112.08	   73.23	17146.01	1.0e-26
VFDB|VFG048348 phosphodiesterase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  409647	    1958	     717	   99.72	  100.00	   99.72	  100.00	  578.85	403809.77	1.0e-26
VFDB|VFG048409 2,3-dihydroxybenzoate-2,3-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   85077	    2210	     786	   72.52	   83.72	   86.63	  119.45	  164.85	78669.61	1.0e-26
VFDB|VFG048419 2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  149454	    2382	     852	   89.79	  100.00	   89.79	  100.00	  246.61	142456.43	1.0e-26
VFDB|VFG048429 enterobactin synthase subunit E [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  168592	    4489	    1608	   71.77	   82.28	   87.23	  121.54	  153.06	155589.45	1.0e-26
