#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  482799	   21646	    1486	   87.55	   98.79	   88.62	  101.23	  570.27	421575.38	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   20735	   46076	    3123	   99.58	  100.00	   99.58	  100.00	    6.90	 9612.12	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	    4412	   12033	     816	   99.26	  100.00	   99.26	  100.00	    5.54	 3532.24	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  150417	   22659	    1542	   81.13	   83.07	   97.66	  120.37	  140.55	94304.29	1.0e-26
CARD|AAM09852.1 vanXD [Enterococcus faecium]	   14319	    8977	     609	   71.92	   83.25	   86.39	  120.12	   37.00	 1224.47	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	     486	    7122	     483	   71.01	   71.22	   99.71	  140.41	    1.01	 5788.87	1.0e-26
CARD|AKA86814 optrA [Enterococcus faecalis]	    8913	   29031	    1968	   96.65	   96.85	   99.79	  103.25	    4.57	10667.31	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  618706	   22193	    1529	   81.75	   93.26	   87.66	  107.22	  687.74	555200.61	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	    2335	   18984	    1287	   84.38	   84.38	  100.00	  118.51	    1.82	13002.06	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    3297	   13450	     912	   91.78	   91.78	  100.00	  108.96	    3.62	 6155.60	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  221184	   42617	    2904	   99.10	  100.00	   99.10	  100.00	   80.39	120870.57	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 8195590	   33956	    2926	   83.87	   94.02	   89.20	  106.36	 3717.05	8094281.12	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  388341	   21963	    1504	   77.79	   89.16	   87.25	  112.16	  446.50	327153.57	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	   10768	   17607	    1194	  100.00	  100.00	  100.00	  100.00	    9.18	 1648.67	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    2463	   15221	    1032	   89.44	   89.53	   99.89	  111.69	    2.40	 9204.28	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   10582	   25443	    1725	   94.49	  100.00	   94.49	  100.00	    7.30	 6130.89	1.0e-26
CARD|AAF86220.1 vatE [Enterococcus faecium]	  896291	    9289	     645	  100.00	  100.00	  100.00	  100.00	 1393.10	868802.25	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   14536	   25485	    1728	   99.07	  100.00	   99.07	  100.00	    8.88	 2995.60	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   27458	   45935	    3114	   99.97	  100.00	   99.97	  100.00	    8.90	 4651.97	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	   14789	   25795	    1749	   99.94	  100.00	   99.94	  100.00	    8.80	 2984.76	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	   11451	   21635	    1467	  100.00	  100.00	  100.00	  100.00	    7.85	 3134.96	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   27903	   46466	    3150	   99.97	  100.00	   99.97	  100.00	    9.20	 4633.82	1.0e-26
CARD|AAA24786.1 vanC [Enterococcus gallinarum]	    2331	   15221	    1032	   97.29	   97.58	   99.70	  102.48	    2.28	 9466.44	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   52091	   22511	    1528	   70.03	   78.66	   89.02	  127.12	   55.91	11727.82	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  130681	   17949	    1221	  100.00	  100.00	  100.00	  100.00	  107.48	85502.67	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	   31385	   28306	    1920	   79.74	   81.88	   97.39	  122.14	   17.61	  158.75	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	    6059	    7342	     498	  100.00	  100.00	  100.00	  100.00	   12.23	  122.99	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	11723290	   29756	    2904	   90.05	  100.14	   89.92	   99.86	 5532.95	11634322.84	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   17975	   20525	    1392	  100.00	  100.00	  100.00	  100.00	   13.26	  168.94	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  271518	   22514	    1537	   78.33	   91.28	   85.82	  109.55	  292.80	210869.90	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	   23476	   45408	    3078	   98.80	   99.45	   99.35	  100.56	    8.01	 6983.33	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	    1162	    7299	     495	   90.30	   91.31	   98.89	  109.51	    2.41	 4451.86	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	 1347029	   21949	    1542	   93.64	  100.00	   93.64	  100.00	 1290.99	1282587.56	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	   41275	   11712	     795	  100.00	  100.00	  100.00	  100.00	   52.05	16493.16	1.0e-26
CARD|AAF61331.1 vanXYC [Enterococcus gallinarum]	     829	    8450	     573	   96.16	   96.16	  100.00	  103.99	    1.45	 6259.38	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	   22716	   12249	     831	   96.99	   97.11	   99.88	  102.97	   27.43	 3133.28	1.0e-26
CARD|AET10445.1 tetB(46) [Streptococcus australis]	    8851	   25621	    1737	   87.05	   92.69	   93.91	  107.89	    5.96	 8159.00	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	    4926	   18141	    1230	   81.71	   81.95	   99.70	  122.02	    4.06	 7571.37	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	     431	    8096	     549	   79.23	   79.60	   99.54	  125.63	    0.80	 6890.35	1.0e-26
CARD|AAS13767.1 Mrx [Aeromonas hydrophila]	   28491	   18263	    1239	  100.00	  100.00	  100.00	  100.00	   23.07	 2237.38	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	    8171	   12121	     822	   99.76	  100.00	   99.76	  100.00	   10.45	  768.90	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	   22620	   45941	    3114	  100.00	  100.00	  100.00	  100.00	    7.37	 7932.91	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	   39440	   11226	     762	   99.87	  100.13	   99.74	   99.87	   52.35	15710.12	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	    4789	    9776	     663	  100.00	  100.00	  100.00	  100.00	    7.26	 1707.93	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	    5068	   18185	    1233	   98.38	  100.00	   98.38	  100.00	    4.34	 7400.00	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	   17096	   30265	    2052	  100.00	  100.00	  100.00	  100.00	    8.38	 3661.99	1.0e-26
CARD|BAL68178.1 TEM-198 [Klebsiella pneumoniae]	    3713	   12697	     861	   80.26	   80.26	  100.00	  124.60	    4.32	 4919.09	1.0e-26
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	    6747	   11634	     789	  100.00	  100.00	  100.00	  100.00	    9.10	 1299.64	1.0e-26
CARD|YP_008997281.1 ANT(6)-Ia [Exiguobacterium sp. S3-2]	  112214	   12705	     864	  100.00	  100.00	  100.00	  100.00	  130.28	79265.56	1.0e-26
CARD|AAM09851.1 vanRD [Enterococcus faecium]	   39238	   10298	     699	   92.13	  100.00	   92.13	  100.00	   73.36	16906.70	1.0e-26
CARD|AAF86641.1 vanRC [Enterococcus gallinarum]	    1256	   10264	     696	   93.97	   94.11	   99.85	  106.26	    1.81	 7044.14	1.0e-26
CARD|NP_414997.1 Escherichia coli acrR with mutation conferring multidrug antibiotic resistance [Escherichia coli str. K-12 substr. MG1655]	    4494	    9555	     648	  100.00	  100.00	  100.00	  100.00	    7.01	 1823.48	1.0e-26
CARD|BAE77933.1 CRP [Escherichia coli str. K-12 substr. W3110]	    7043	    9333	     633	   99.84	  100.00	   99.84	  100.00	   11.36	  320.40	1.0e-26
CARD|AAC76055.1 Escherichia coli parC conferring resistance to fluoroquinolone [Escherichia coli str. K-12 substr. MG1655]	   16383	   33321	    2259	   99.96	  100.00	   99.96	  100.00	    7.33	 5772.63	1.0e-26
CARD|YP_006938491.1 ANT(4')-Ib [Staphylococcus aureus]	    7356	   11236	     762	  100.00	  100.00	  100.00	  100.00	    9.67	  809.82	1.0e-26
CARD|WP_023063803.1 mphA [Enterobacteriaceae]	   26238	   13486	     915	   99.45	   99.89	   99.56	  100.11	   28.92	 4093.22	1.0e-26
CARD|WP_001206316.1 aadA [Bacteria]	    3856	   11679	     792	   92.42	   92.68	   99.73	  107.90	    4.91	 3940.07	1.0e-26
CARD|AAC75291.1 Escherichia coli gyrA with mutation conferring resistance to triclosan [Escherichia coli str. K-12 substr. MG1655]	   18705	   38768	    2628	   99.92	  100.00	   99.92	  100.00	    7.22	 7003.79	1.0e-26
CARD|AAN62561.1 D-Ala-D-Ala ligase [Enterococcus gallinarum]	    4475	   15574	    1056	   88.83	   90.81	   97.81	  110.11	    5.11	 6144.68	1.0e-26
CARD|NP_418574.1 Escherichia coli ampC [Escherichia coli str. K-12 substr. MG1655]	    9713	   16723	    1134	  100.00	  100.00	  100.00	  100.00	    8.94	 1858.85	1.0e-26
CARD|YP_490321.1 baeR [Escherichia coli str. K-12 substr. W3110]	    4416	   10661	     723	   99.31	  100.00	   99.31	  100.00	    6.47	 2587.26	1.0e-26
CARD|AAG16656.1 floR [Escherichia coli]	   13063	   17916	    1215	   99.84	  100.00	   99.84	  100.00	   10.90	  760.39	1.0e-26
CARD|AKN19287.1 AAC(6')-Ib7 [Salmonella enterica subsp. enterica serovar Corvallis]	    8436	   14451	     980	   75.92	   77.14	   98.41	  129.63	    8.95	 1581.10	1.0e-26
CARD|BAA15934.1 baeS [Escherichia coli str. K-12 substr. W3110]	   11743	   20705	    1404	   99.72	  100.00	   99.72	  100.00	    8.93	 2475.63	1.0e-26
CARD|NP_863168.1 Enterococcus faecium chloramphenicol acetyltransferase [Enterococcus faecium]	    2449	    9556	     648	   84.88	   90.43	   93.86	  110.58	    4.53	 4207.40	1.0e-26
CARD|AAA65954.1 vanSA [Enterococcus faecium]	    3415	   17035	    1155	   95.15	   95.15	  100.00	  105.10	    2.98	 9071.70	1.0e-26
CARD|CAA38525.1 AAC(3)-IIc [Escherichia coli]	   10925	   12695	     861	   95.01	   98.03	   96.92	  102.01	   13.40	  132.69	1.0e-26
CARD|AAA98096.1 ErmT [Plasmid pGT633]	   85022	   10816	     735	   99.59	  100.00	   99.59	  100.00	  118.54	57456.57	1.0e-26
CARD|ACD56151.1 arr-3 [Escherichia coli]	    8357	    6678	     453	  100.00	  100.00	  100.00	  100.00	   18.47	  187.30	1.0e-26
CARD|AAA20116.1 tetA(P) [Clostridium perfringens]	   11680	   18625	    1263	   88.68	   95.88	   92.49	  104.29	   11.58	 1591.73	1.0e-26
CARD|AAA65953.1 vanRA [Enterococcus faecium]	    2254	   10264	     696	  100.00	  100.00	  100.00	  100.00	    3.24	 5125.55	1.0e-26
CARD|BAB38442 Escherichia coli LamB [Escherichia coli O157:H7 str. Sakai]	   12795	   19775	    1341	   98.96	  100.22	   98.74	   99.78	   10.40	 1496.11	1.0e-26
