#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  151123	   34329	    3228	   87.89	   95.20	   92.32	  105.04	   58.68	73554.00	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   55029	   10386	     975	   96.92	   96.92	  100.00	  103.17	   56.60	30465.93	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  222352	   22990	    2166	  100.00	  100.00	  100.00	  100.00	  103.10	161998.27	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  164101	   21075	    1983	   98.59	   98.59	  100.00	  101.43	   83.21	110468.25	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	  406774	   34122	    3228	   99.19	  100.00	   99.19	  100.00	  136.48	314969.03	1.0e-26
VFDB|VFG000863 heat-stable enterotoxin 1 [Escherichia coli O44:H18 042]	    5434	    1247	     117	   91.45	  100.00	   91.45	  100.00	   61.70	 2623.06	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	  334189	    6381	     603	   97.84	  100.00	   97.84	  100.00	  594.67	315524.18	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	  356631	    6314	     597	   98.99	  100.00	   98.99	  100.00	  618.40	338127.90	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	  208586	    6431	     606	   91.09	  100.00	   91.09	  100.00	  438.27	190060.19	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	  303552	    5718	     540	   98.89	  100.00	   98.89	  100.00	  584.26	286819.77	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	  369752	    7676	     726	   98.35	  100.00	   98.35	  100.00	  534.93	347347.33	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	 1671016	   27037	    2637	   98.56	  100.00	   98.56	  100.00	  664.83	1591625.77	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	  274444	    5658	     534	   97.38	  100.00	   97.38	  100.00	  561.44	257925.10	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	  302910	    5337	     504	   98.41	  100.00	   98.41	  100.00	  634.53	287268.06	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	  558086	    9600	     912	   97.26	  100.00	   97.26	  100.00	  669.13	529933.72	1.0e-26
VFDB|VFG000880 regulatory protein PapI [Escherichia coli CFT073]	    8438	    2495	     234	   76.50	   79.06	   96.76	  126.49	   38.32	 3230.46	1.0e-26
VFDB|VFG000881 (papB) regulatory protein PapB [Escherichia coli CFT073]	   22352	    3357	     315	   97.78	  100.00	   97.78	  100.00	   76.58	14033.00	1.0e-26
VFDB|VFG000883 P pilus termination subunit PapH [Escherichia coli CFT073]	   46216	    6264	     588	   92.18	   95.41	   96.61	  104.81	   83.07	30413.43	1.0e-26
VFDB|VFG000884 usher protein PapC [Escherichia coli CFT073]	  219172	   26784	    2523	   99.21	  100.00	   99.21	  100.00	   89.33	150486.67	1.0e-26
VFDB|VFG000885 chaperone protein PapD [Escherichia coli CFT073]	   53184	    6455	     606	   99.17	  100.00	   99.17	  100.00	   90.24	36612.87	1.0e-26
VFDB|VFG000886 P pilus assembly protein PapJ [Escherichia coli CFT073]	   47894	    6200	     582	   98.28	  100.00	   98.28	  100.00	   87.63	32135.57	1.0e-26
VFDB|VFG000887 P pilus minor subunit PapK [Escherichia coli CFT073]	   49487	    5752	     540	   98.33	  100.00	   98.33	  100.00	   96.90	34625.29	1.0e-26
VFDB|VFG000888 P pilus minor subunit PapE [Escherichia coli CFT073]	   22272	    5756	     540	   72.41	   80.19	   90.30	  124.71	   49.36	 9731.80	1.0e-26
VFDB|VFG000908 Hemolysin D [Escherichia coli CFT073]	    1774	   15329	    1437	   70.84	   72.44	   97.79	  138.04	    1.34	10743.14	1.0e-26
VFDB|VFG000910 Putative minor F1C fimbrial subunit precursor [Escherichia coli CFT073]	     547	    5599	     525	   71.24	   71.24	  100.00	  140.37	    1.04	 4153.02	1.0e-26
VFDB|VFG000911 F1C periplasmic chaperone [Escherichia coli CFT073]	     857	    7423	     696	   79.89	   80.32	   99.46	  124.51	    1.26	 5207.12	1.0e-26
VFDB|VFG000915 F1C Putative fimbrial adhesin precursor [Escherichia coli CFT073]	    2026	   10783	    1011	   80.51	   80.51	  100.00	  124.20	    2.01	 5987.33	1.0e-26
