#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	   17918	   12683	    3228	   70.94	   77.45	   91.60	  129.12	    6.92	  895.46	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	    5168	    3831	     975	   82.97	   82.97	  100.00	  120.52	    5.32	  198.36	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	   25080	    8504	    2166	  100.00	  100.00	  100.00	  100.00	   11.63	 8180.90	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	   17507	    7789	    1983	   94.30	   94.45	   99.84	  105.87	    8.85	 3733.12	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	   51433	   12656	    3228	   98.98	  100.00	   98.98	  100.00	   17.41	23461.64	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   49873	    4079	    1041	   81.27	   93.85	   86.59	  106.55	   69.71	38867.89	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	   69571	    2618	     669	   87.59	  100.00	   87.59	  100.00	  161.75	62096.02	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	   32937	    2318	     591	   77.33	   89.34	   86.55	  111.93	   90.40	26591.69	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	   66190	    2301	     588	   89.63	  100.00	   89.63	  100.00	  164.54	59594.25	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  189014	    9815	    2526	   86.14	   98.26	   87.67	  101.77	  113.74	161506.56	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  149662	    6402	    1644	   86.86	   97.69	   88.92	  102.37	  130.52	131504.35	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	   55229	    2961	     756	   82.28	   95.37	   86.27	  104.85	  114.08	46947.26	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  169363	    2473	     636	   99.69	  100.00	   99.69	  100.00	  271.00	162085.68	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  245188	    3854	     996	   99.90	  100.00	   99.90	  100.00	  248.34	233862.70	1.0e-26
