#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002164 aggregation substance PrgB/Asc10 [Enterococcus faecalis V583]	  709592	   44948	    3918	   94.03	   96.61	   97.33	  103.51	  193.08	585455.88	1.0e-26
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	  160233	   10754	     927	   99.89	  100.00	   99.89	  100.00	  173.79	130675.66	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	  365327	   23394	    2025	  100.00	  100.00	  100.00	  100.00	  181.02	300774.06	1.0e-26
VFDB|VFG002171 aggregation substance [Enterococcus faecalis V583]	 1777896	   43901	    3918	   98.83	  100.00	   98.83	  100.00	  477.49	1650423.01	1.0e-26
VFDB|VFG002172 aggregation substance [Enterococcus faecalis V583]	  508654	   45145	    3918	   96.02	   98.62	   97.36	  101.40	  138.93	387937.48	1.0e-26
VFDB|VFG002173 aggregation substance Asa1 [Enterococcus faecalis V583]	  962600	   44392	    3891	   94.19	   96.63	   97.47	  103.48	  263.21	837250.45	1.0e-26
VFDB|VFG002174 coccolysin [Enterococcus faecalis V583]	  242068	   17755	    1533	  100.00	  100.00	  100.00	  100.00	  158.29	193653.79	1.0e-26
VFDB|VFG002175 cytolysin regulator R1 [Enterococcus faecalis str. MMH594]	   93865	    3310	     285	  100.00	  100.00	  100.00	  100.00	  330.08	84384.51	1.0e-26
VFDB|VFG002176 ABC-type transporter [Enterococcus faecalis str. MMH594]	  705025	   24599	    2145	   99.77	  100.00	   99.77	  100.00	  331.99	634543.01	1.0e-26
VFDB|VFG002177 cytolysin activator [Enterococcus faecalis str. MMH594]	  402749	   14299	    1239	   99.84	  100.00	   99.84	  100.00	  327.46	361810.67	1.0e-26
VFDB|VFG002178 cytolysin immunity protein [Enterococcus faecalis str. MMH594]	  297160	   11382	     984	   97.46	  100.00	   97.46	  100.00	  329.35	264693.38	1.0e-26
VFDB|VFG002180 ABC transporter, permease protein [Enterococcus faecalis V583]	  139764	    9435	     813	  100.00	  100.00	  100.00	  100.00	  172.35	113843.92	1.0e-26
VFDB|VFG002181 ABC transporter, ATP-binding protein [Enterococcus faecalis V583]	  240134	   15566	    1344	  100.00	  100.00	  100.00	  100.00	  179.15	197224.42	1.0e-26
VFDB|VFG002182 UDP-galactopyranose mutase [Enterococcus faecalis V583]	  192054	   13216	    1140	  100.00	  100.00	  100.00	  100.00	  168.94	155807.08	1.0e-26
VFDB|VFG002183 lipoprotein [Enterococcus faecalis V583]	   69941	    4637	     399	  100.00	  100.00	  100.00	  100.00	  175.95	57182.56	1.0e-26
VFDB|VFG002184 MurB family protein [Enterococcus faecalis V583]	  435362	   28311	    2454	  100.00	  100.00	  100.00	  100.00	  177.86	357342.64	1.0e-26
VFDB|VFG002185 CpsF protein [Enterococcus faecalis V583]	  142864	    9887	     852	  100.00	  100.00	  100.00	  100.00	  168.33	115760.96	1.0e-26
VFDB|VFG002186 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	  471738	   28946	    2511	  100.00	  100.00	  100.00	  100.00	  188.34	391592.56	1.0e-26
VFDB|VFG002187 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	  260413	   16984	    1467	  100.00	  100.00	  100.00	  100.00	  178.00	213619.21	1.0e-26
VFDB|VFG002188 teichoic acid biosynthesis protein, putative [Enterococcus faecalis V583]	  205765	   13560	    1170	  100.00	  100.00	  100.00	  100.00	  176.32	168436.17	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	  140681	    9296	     801	  100.00	  100.00	  100.00	  100.00	  176.23	115097.32	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	  144934	    9469	     816	  100.00	  100.00	  100.00	  100.00	  179.29	118848.71	1.0e-26
VFDB|VFG002191 serine proteinase, V8 family [Enterococcus faecalis V583]	  143842	    9922	     855	  100.00	  100.00	  100.00	  100.00	  168.67	116636.10	1.0e-26
VFDB|VFG002192 histidine kinase, putative [Enterococcus faecalis V583]	  224135	   15572	    1344	  100.00	  100.00	  100.00	  100.00	  167.19	181465.00	1.0e-26
VFDB|VFG002193 agrBfs protein [Enterococcus faecalis V583]	  118109	    8464	     729	  100.00	  100.00	  100.00	  100.00	  162.26	94979.65	1.0e-26
VFDB|VFG002194 response regulator [Enterococcus faecalis V583]	  125276	    8498	     732	  100.00	  100.00	  100.00	  100.00	  171.52	101941.20	1.0e-26
VFDB|VFG002195 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	  544165	   34706	    3015	  100.00	  100.00	  100.00	  100.00	  180.91	448369.40	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	  836803	   47126	    4119	   97.48	   97.48	  100.00	  102.59	  203.79	705474.60	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	  170783	   11726	    1011	  100.00	  100.00	  100.00	  100.00	  169.38	138617.56	1.0e-26
