#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  436397	   12097	    1486	   78.87	   89.64	   87.99	  111.56	  421.67	401410.49	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	  187172	   25739	    3123	   96.93	  100.00	   96.93	  100.00	   65.71	122400.43	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 1360645	   12004	    1542	   98.38	  100.13	   98.25	   99.87	  782.63	1325050.27	1.0e-26
CARD|AAM09852.1 vanXD [Enterococcus faecium]	    4266	    5057	     609	   84.07	   93.60	   89.82	  106.84	    8.75	   67.16	1.0e-15
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  102493	   12643	    1529	   80.12	   90.71	   88.32	  110.24	  104.20	70115.15	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 1930783	   21982	    2904	   98.79	  100.00	   98.79	  100.00	  708.11	1865824.52	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 2425077	   21592	    2926	   78.16	   88.86	   87.96	  112.54	 1086.92	2361061.47	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   82529	   12448	    1504	   76.06	   87.37	   87.06	  114.46	   79.32	51709.54	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	   97719	    9874	    1194	   98.99	  100.00	   98.99	  100.00	   84.61	71720.16	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  114660	   14282	    1728	   99.65	  100.00	   99.65	  100.00	   67.41	78140.37	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	  278384	   25555	    3114	   98.39	  100.00	   98.39	  100.00	   94.03	210311.62	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	  108588	   14460	    1749	   98.86	  100.00	   98.86	  100.00	   64.74	72004.28	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	  134997	   12112	    1467	   96.46	  100.00	   96.46	  100.00	  102.39	102648.40	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  254023	   25881	    3150	   98.95	  100.00	   98.95	  100.00	   83.76	185951.79	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  215553	   10042	    1221	  100.00	  100.00	  100.00	  100.00	  177.64	187213.23	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 2920446	   20876	    2904	   93.46	   99.90	   93.55	  100.10	 1317.83	2858410.26	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  134765	   11493	    1392	   97.70	  100.00	   97.70	  100.00	  103.56	103898.09	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  872018	   12254	    1537	   77.03	   88.48	   87.06	  113.01	  734.27	835932.41	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	  172834	   25385	    3078	   96.69	  100.00	   96.69	  100.00	   62.50	109682.45	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	   56183	    6586	     795	  100.00	  100.00	  100.00	  100.00	   70.77	39187.99	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	   22363	    6895	     831	   99.52	   99.64	   99.88	  100.36	   27.14	 8176.65	1.0e-26
CARD|CDJ73082 Escherichia coli CyaA with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  235042	   20940	    2547	   96.90	  100.00	   96.90	  100.00	   29.92	179072.49	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	   48500	   10195	    1230	   94.80	   97.07	   97.65	  103.02	   43.07	24996.88	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	   64311	    6807	     822	   96.84	  100.00	   96.84	  100.00	   86.00	46494.50	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	  211803	   25635	    3114	   98.65	  100.00	   98.65	  100.00	   71.08	145967.25	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	   47328	    5494	     663	   97.59	  100.00	   97.59	  100.00	   76.61	33129.76	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	   76881	   10207	    1233	   96.84	  100.00	   96.84	  100.00	   68.79	51044.73	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	  189997	   16903	    2052	   96.59	  100.00	   96.59	  100.00	  103.03	144811.20	1.0e-26
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	   47332	    6539	     789	   99.11	  100.00	   99.11	  100.00	   61.79	30888.89	1.0e-26
