#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  452389	  118068	    2637	   84.30	   94.54	   89.17	  105.78	  236.88	195930.91	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  106518	   66702	    1486	   74.43	   84.25	   88.34	  118.69	  118.52	 9151.95	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	 1497841	  138597	    3123	   97.66	  100.00	   97.66	  100.00	  544.46	1129002.66	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	   16089	   36646	     816	   99.26	  100.00	   99.26	  100.00	   20.31	 8013.96	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 8046814	   64505	    1542	   99.55	  100.00	   99.55	  100.00	 5293.44	7855350.33	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  137749	   68615	    1529	   91.50	  100.59	   90.96	   99.41	  141.54	23160.54	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  223387	   57707	    1287	  100.00	  100.00	  100.00	  100.00	  174.00	97653.19	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  455088	   40805	     912	  100.00	  100.00	  100.00	  100.00	  500.06	346102.21	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	24887183	  102713	    2904	   97.80	  100.10	   97.70	   99.90	 9266.78	24580731.49	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	  754297	  130682	    2926	   89.13	   98.19	   90.78	  101.84	  361.16	439439.66	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  699082	   53316	    1194	  100.00	  100.00	  100.00	  100.00	  633.30	554244.10	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  420408	   46190	    1032	   99.90	  100.00	   99.90	  100.00	  409.75	300126.41	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1569294	   76599	    1728	   98.96	  100.00	   98.96	  100.00	 1009.12	1353756.03	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	 1623945	  138046	    3114	   99.97	  100.00	   99.97	  100.00	  529.12	1253068.14	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	  964247	   77937	    1749	  100.00	  100.00	  100.00	  100.00	  604.59	753746.84	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	  844816	   65431	    1467	  100.00	  100.00	  100.00	  100.00	  577.44	667333.99	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  245375	   21780	     486	  100.00	  100.00	  100.00	  100.00	  505.95	187135.74	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	 2108450	  139056	    3150	   99.62	  100.00	   99.62	  100.00	  756.59	1725695.34	1.0e-26
