#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   26070	   19652	    1486	   83.92	   96.30	   87.14	  103.84	   26.18	  900.68	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   74141	   20193	    1529	   85.81	   96.34	   89.07	  103.80	   78.19	30851.30	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 3577665	   34716	    2926	   81.75	   90.98	   89.86	  109.92	 1598.89	3474848.64	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   24563	   22816	    1725	   95.25	  100.00	   95.25	  100.00	   16.40	   64.37	1.0e-14
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  341095	   20023	    1528	   80.30	   91.43	   87.83	  109.38	  322.99	285466.27	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	    4457	   16156	    1221	   98.53	   98.53	  100.00	  101.50	    3.67	 6640.24	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  655522	    6463	     498	  100.00	  100.00	  100.00	  100.00	 1319.13	636385.18	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 4191488	   33769	    2904	   91.32	  100.07	   91.26	   99.93	 1889.96	4091259.71	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	   91978	   20288	    1537	   71.50	   81.52	   87.71	  122.67	   91.82	45778.26	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	    4212	   10517	     795	  100.00	  100.00	  100.00	  100.00	    5.33	 2699.61	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	    3091	   10994	     831	   89.05	   89.05	  100.00	  112.30	    3.78	 4434.93	1.0e-26
CARD|CDO61513.1 efrA [Enterococcus faecium]	 2002745	   18160	    1457	   98.63	   99.59	   99.04	  100.41	 1422.56	1948915.97	1.0e-26
CARD|AAO82601.1 Enterococcus faecalis liaF mutant conferring daptomycin resistance [Enterococcus faecalis V583]	  921506	    9425	     732	   98.77	  100.00	   98.77	  100.00	 1310.23	893610.09	1.0e-26
CARD|AET10445.1 tetB(46) [Streptococcus australis]	   16396	   22980	    1737	   85.84	   92.06	   93.25	  108.63	   11.22	 1101.18	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	    4943	   10081	     762	  100.00	  100.00	  100.00	  100.00	    6.55	 1757.13	1.0e-26
CARD|AAB05628.1 vanXB [Enterococcus faecalis]	   17670	    8053	     609	   95.57	  100.00	   95.57	  100.00	   34.06	 3595.11	1.0e-26
CARD|AAB05626.1 vanHB [Enterococcus faecalis]	   26834	   12852	     972	   95.16	  100.00	   95.16	  100.00	   32.46	 4925.99	1.0e-26
CARD|AAB05624.1 vanYB [Enterococcus faecalis]	   22483	   10671	     807	   94.18	  100.00	   94.18	  100.00	   33.91	 4208.26	1.0e-26
CARD|AEA93051.1 Enterococcus faecalis cls conferring resistance to daptomycin [Enterococcus faecalis OG1RF]	 1689462	   18197	    1446	   99.38	  100.00	   99.38	  100.00	 1191.91	1635644.42	1.0e-26
CARD|AAA98096.1 ErmT [Plasmid pGT633]	    1222	    9724	     735	   88.84	   89.12	   99.69	  112.21	    1.67	 6604.42	1.0e-26
CARD|EOD99669.1 dfrE [Enterococcus faecalis EnGen0074]	  497436	    6454	     495	   97.37	  100.00	   97.37	  100.00	 1091.42	478403.97	1.0e-26
CARD|AAO82600.1 Enterococcus faecalis liaS mutant conferring daptomycin resistance [Enterococcus faecalis V583]	 1505759	   13969	    1104	   99.28	  100.00	   99.28	  100.00	 1395.81	1464362.86	1.0e-26
