#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	  164989	    9436	     927	   99.78	  100.00	   99.78	  100.00	  180.22	138720.54	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	  352482	   20525	    2025	   97.28	  100.00	   97.28	  100.00	  188.49	295423.85	1.0e-26
VFDB|VFG002174 coccolysin [Enterococcus faecalis V583]	  245200	   15577	    1533	   98.96	  100.00	   98.96	  100.00	  165.77	202189.26	1.0e-26
VFDB|VFG002180 ABC transporter, permease protein [Enterococcus faecalis V583]	  119009	    8285	     813	   98.52	  100.00	   98.52	  100.00	  155.30	96309.72	1.0e-26
VFDB|VFG002181 ABC transporter, ATP-binding protein [Enterococcus faecalis V583]	  228351	   13662	    1344	   98.88	  100.00	   98.88	  100.00	  177.38	190449.67	1.0e-26
VFDB|VFG002182 UDP-galactopyranose mutase [Enterococcus faecalis V583]	  202842	   11595	    1140	   99.65	  100.00	   99.65	  100.00	  181.38	170564.64	1.0e-26
VFDB|VFG002183 lipoprotein [Enterococcus faecalis V583]	   47179	    4073	     399	   99.50	  100.00	   99.50	  100.00	  120.42	36254.60	1.0e-26
VFDB|VFG002184 MurB family protein [Enterococcus faecalis V583]	  427083	   24830	    2454	   99.67	  100.00	   99.67	  100.00	  176.60	358048.78	1.0e-26
VFDB|VFG002186 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	  424974	   25408	    2511	   99.12	  100.00	   99.12	  100.00	  174.49	354481.12	1.0e-26
VFDB|VFG002187 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	  263636	   14899	    1467	   99.05	  100.00	   99.05	  100.00	  186.38	222124.36	1.0e-26
VFDB|VFG002188 teichoic acid biosynthesis protein, putative [Enterococcus faecalis V583]	  188467	   11904	    1170	   99.40	  100.00	   99.40	  100.00	  164.54	155582.56	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	  155918	    8155	     801	   98.88	  100.00	   98.88	  100.00	  202.79	133072.30	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	  141247	    8311	     816	   99.26	  100.00	   99.26	  100.00	  178.29	118160.02	1.0e-26
VFDB|VFG002191 serine proteinase, V8 family [Enterococcus faecalis V583]	  143062	    8708	     855	   98.83	  100.00	   98.83	  100.00	  174.16	118935.33	1.0e-26
VFDB|VFG002192 histidine kinase, putative [Enterococcus faecalis V583]	  190819	   13674	    1344	   99.11	  100.00	   99.11	  100.00	  146.62	153452.59	1.0e-26
VFDB|VFG002193 agrBfs protein [Enterococcus faecalis V583]	  117529	    7429	     729	   99.86	  100.00	   99.86	  100.00	  162.40	97007.31	1.0e-26
VFDB|VFG002194 response regulator [Enterococcus faecalis V583]	   86987	    7465	     732	   99.59	  100.00	   99.59	  100.00	  120.92	66950.29	1.0e-26
VFDB|VFG002195 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	  616778	   30368	    3015	   99.73	  100.00	   99.73	  100.00	  207.40	531373.91	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	  868857	   41239	    4119	   99.05	  100.00	   99.05	  100.00	  219.04	752613.00	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	  169459	   10291	    1011	   98.91	  100.00	   98.91	  100.00	  174.14	140942.42	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	  652025	   33332	    3312	   99.70	  100.00	   99.70	  100.00	  199.68	558511.07	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	  277689	   14529	    1431	   99.37	  100.00	   99.37	  100.00	  198.83	236991.11	1.0e-26
VFDB|VFG042978 endocarditis and biofilm-associated pilus major subunit EbpC [Enterococcus faecalis V583]	  366204	   19028	    1878	   99.52	  100.32	   99.20	   99.68	  200.60	312879.01	1.0e-26
VFDB|VFG042979 sortase [Enterococcus faecalis V583]	  168073	    8703	     855	   99.53	  100.00	   99.53	  100.00	  200.38	143677.53	1.0e-26
VFDB|VFG043508 Enterococcus faecalis surface protein Fss1, fibrinogen binding protein [Enterococcus faecalis V583]	 1342783	   59031	    5964	   98.49	  100.00	   98.49	  100.00	  236.17	1175631.16	1.0e-26
VFDB|VFG043509 Enterococcus faecalis surface protein Fss2, fibrinogen binding protein [Enterococcus faecalis V583]	  850719	   49652	    4956	   96.81	   99.03	   97.76	  100.98	  183.48	712713.96	1.0e-26
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  298301	   32772	    3228	   81.29	   89.10	   91.24	  112.24	  117.08	212960.03	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   73493	    9947	     975	   91.59	   91.59	  100.00	  109.18	   75.79	48393.14	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  358301	   21952	    2166	  100.00	  100.00	  100.00	  100.00	  166.20	297513.93	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  285316	   20132	    1983	   98.94	   99.60	   99.34	  100.41	  144.66	230225.87	1.0e-26
