#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|BAJ09383.1 qacA [Staphylococcus aureus]	  122681	   61087	    1545	   99.87	  100.00	   99.87	  100.00	   79.87	20644.24	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  244018	   60383	    1529	   78.22	   92.67	   84.40	  107.90	  268.43	110780.75	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  744411	   50573	    1287	  100.00	  100.00	  100.00	  100.00	  579.56	605559.58	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 1339512	   35623	     912	  100.00	  100.00	  100.00	  100.00	 1471.80	1236332.49	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	11002767	  103493	    2926	   91.29	   99.86	   91.41	  100.14	 4877.97	10696143.44	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   89355	   59484	    1504	   72.67	   85.37	   85.12	  117.13	   87.04	 5994.58	1.0e-26
CARD|YP_039997.1 Staphylococcus aureus rpoC conferring resistance to daptomycin [Staphylococcus aureus subsp. aureus MRSA252]	  468697	  142920	    3624	   81.54	   93.68	   87.04	  106.75	  216.57	173524.08	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 1314369	   40322	    1032	   99.90	  100.00	   99.90	  100.00	 1280.92	1198201.47	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  640606	   19111	     486	  100.00	  100.00	  100.00	  100.00	 1320.92	585486.89	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	 1107487	   59835	    1528	   76.96	   89.53	   85.96	  111.70	 1062.07	940248.07	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	 1623977	   19394	     498	  100.00	  100.00	  100.00	  100.00	 3269.39	1566708.22	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	16556754	   96504	    2904	   92.39	  100.07	   92.33	   99.93	 7189.63	16269478.21	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  248687	   60696	    1537	   73.52	   86.21	   85.28	  116.00	  255.50	114228.63	1.0e-26
