#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	   94973	   86586	    3228	   79.58	   86.83	   91.65	  115.16	   36.93	  387.38	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   38161	   26152	     975	   95.69	   95.69	  100.00	  104.50	   39.38	 2242.36	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  156862	   58050	    2166	  100.00	  100.00	  100.00	  100.00	   72.92	45430.63	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  122921	   53160	    1983	   98.79	   98.84	   99.95	  101.17	   62.81	27637.69	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	   73658	   86603	    3228	   94.70	  100.00	   94.70	  100.00	   28.86	 1045.74	1.0e-26
VFDB|VFG000916 heme oxygenase ChuS [Escherichia coli CFT073]	 1215393	   27298	    1029	   97.96	  100.00	   97.96	  100.00	 1205.97	1135897.56	1.0e-26
VFDB|VFG000917 Outer membrane heme/hemoglobin receptor ChuA [Escherichia coli CFT073]	 2138673	   51213	    1947	   98.56	  100.00	   98.56	  100.00	 1138.30	1989822.97	1.0e-26
VFDB|VFG000918 periplasmic heme-binding protein ChuT [Escherichia coli CFT073]	 1611096	   26244	     993	   99.40	  100.00	   99.40	  100.00	 1651.81	1534045.18	1.0e-26
VFDB|VFG000919 Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073]	 1940336	   35255	    1338	   97.91	  100.00	   97.91	  100.00	 1535.43	1837085.93	1.0e-26
VFDB|VFG000920 putative heme-binding protein ChuX [Escherichia coli CFT073]	  349484	   13237	     495	   95.76	  100.00	   95.76	  100.00	  774.13	311704.98	1.0e-26
VFDB|VFG000921 ChuY [Escherichia coli CFT073]	  791372	   16618	     624	   96.31	  100.00	   96.31	  100.00	 1400.12	742884.08	1.0e-26
VFDB|VFG000922 heme permease protein ChuU [Escherichia coli CFT073]	  615248	   26491	     993	   99.09	  100.00	   99.09	  100.00	  630.32	540147.18	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	 2559625	   58715	    2241	   97.90	  100.00	   97.90	  100.00	 1217.94	2388745.68	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	 1156122	   25401	     957	   98.22	  100.00	   98.22	  100.00	 1278.59	1082101.43	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	  909354	   21708	     816	   97.67	  100.00	   97.67	  100.00	 1199.03	846252.57	1.0e-26
