#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  310016	   18963	    1041	   81.75	   94.81	   86.22	  105.47	  416.19	257497.83	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	  255060	   12195	     669	   83.11	   95.81	   86.74	  104.37	  603.68	220700.82	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	  138900	   10790	     591	   75.47	   86.63	   87.11	  115.43	  373.09	109640.76	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	  180680	   10729	     588	   89.12	  100.00	   89.12	  100.00	  433.11	150898.03	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  781223	   45734	    2526	   85.31	   96.67	   88.25	  103.44	  447.99	654136.32	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  641065	   29816	    1644	   86.74	   97.45	   89.01	  102.62	  540.34	556915.79	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	  219161	   13787	     756	   80.16	   92.59	   86.57	  108.00	  446.64	181061.39	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  689823	   11524	     636	   99.84	  100.00	   99.84	  100.00	 1089.60	656007.73	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1051842	   17958	     996	   99.80	  100.00	   99.80	  100.00	 1064.95	999171.33	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 2742868	   43807	    2487	   99.80	  100.00	   99.80	  100.00	 1112.17	2614199.24	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  749454	   12709	     702	   99.72	  100.00	   99.72	  100.00	 1080.67	712172.12	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  701148	   11033	     609	   99.51	  100.00	   99.51	  100.00	 1170.79	668732.10	1.0e-26
VFDB|VFG044322 siderophore esterase IroE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  928311	   16905	     936	   98.82	  100.00	   98.82	  100.00	 1029.95	878803.49	1.0e-26
VFDB|VFG048229 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  651501	   10986	     606	   99.50	  100.00	   99.50	  100.00	 1091.59	619270.67	1.0e-26
VFDB|VFG048237 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  584112	   11051	     609	   98.85	  100.00	   98.85	  100.00	  986.00	551779.71	1.0e-26
VFDB|VFG048247 type 1 major fimbrial subunit precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  594213	    9960	     549	   99.45	  100.00	   99.45	  100.00	 1102.62	564987.72	1.0e-26
VFDB|VFG048257 type 1 pilus biosynthesis fimbrial protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  642054	   11531	     636	   99.53	  100.00	   99.53	  100.00	 1024.45	608272.36	1.0e-26
VFDB|VFG048267 periplasmic chaperone [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  807552	   13133	     726	   99.86	  100.00	   99.86	  100.00	 1120.43	768990.90	1.0e-26
VFDB|VFG048277 outer membrane usher protein  [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 3093227	   46378	    2646	   99.55	  100.00	   99.55	  100.00	 1187.21	2956831.86	1.0e-26
VFDB|VFG048287 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  539595	    9641	     531	   98.87	  100.00	   98.87	  100.00	 1052.66	511347.95	1.0e-26
VFDB|VFG048297 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  545597	    9095	     501	   99.60	  100.00	   99.60	  100.00	 1106.49	518906.16	1.0e-26
VFDB|VFG048307 type 1 fimbrial adhesin precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1043591	   16391	     909	   99.45	  100.00	   99.45	  100.00	 1168.71	995429.88	1.0e-26
VFDB|VFG048317 transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1353370	   22302	    1242	   98.71	  100.00	   98.71	  100.00	 1134.44	1287909.60	1.0e-26
VFDB|VFG048327 transcriptional activator [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  612553	   12897	     711	   99.86	  100.00	   99.86	  100.00	  867.44	574925.17	1.0e-26
VFDB|VFG048338 LuxR family regulatory protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  503437	   10627	     585	   99.15	  100.00	   99.15	  100.00	  884.78	472434.03	1.0e-26
VFDB|VFG048348 phosphodiesterase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  626283	   13003	     717	   99.86	  100.00	   99.86	  100.00	  878.40	588330.21	1.0e-26
VFDB|VFG048409 2,3-dihydroxybenzoate-2,3-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  840153	   14213	     786	   98.47	  100.00	   98.47	  100.00	 1115.03	798459.17	1.0e-26
VFDB|VFG048419 2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  950852	   15383	     852	   99.18	  100.00	   99.18	  100.00	 1143.94	905681.59	1.0e-26
VFDB|VFG048429 enterobactin synthase subunit E [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1792271	   28700	    1608	   99.50	  100.00	   99.50	  100.00	 1133.55	1707978.86	1.0e-26
VFDB|VFG048439 isochorismate synthase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1442123	   21305	    1188	   99.41	  100.00	   99.41	  100.00	 1238.82	1379446.06	1.0e-26
VFDB|VFG048449 iron-enterobactin transporter periplasmic binding protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1088630	   17300	     960	   99.69	  100.00	   99.69	  100.00	 1146.88	1037810.31	1.0e-26
VFDB|VFG048459 enterobactin exporter EntS [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1432623	   22277	    1242	   99.44	  100.00	   99.44	  100.00	 1175.89	1367154.66	1.0e-26
VFDB|VFG048468 iron-enterobactin transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1153148	   18149	    1008	   99.80	  100.00	   99.80	  100.00	 1152.32	1099823.69	1.0e-26
VFDB|VFG048478 iron-enterobactin transporter permease [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1074403	   17899	     993	   98.89	  100.00	   98.89	  100.00	 1114.71	1021878.77	1.0e-26
VFDB|VFG048488 iron-enterobactin transporter ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  862033	   14371	     795	   99.62	  100.00	   99.62	  100.00	 1098.96	819860.76	1.0e-26
VFDB|VFG048498 enterobactin synthase subunit F [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 4472359	   66724	    3882	   99.28	  100.00	   99.28	  100.00	 1179.67	4276109.54	1.0e-26
VFDB|VFG048508 enterobactin/ferric enterobactin esterase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 1383713	   21700	    1209	   99.09	  100.00	   99.09	  100.00	 1178.84	1319952.38	1.0e-26
VFDB|VFG048518 outer membrane receptor FepA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 2503434	   39394	    2229	   99.06	  100.00	   99.06	  100.00	 1176.77	2387692.69	1.0e-26
