#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	 4870041	   31656	    3228	   88.94	   97.65	   91.09	  102.41	 1906.72	4775887.85	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	 1624817	   10347	     975	  100.00	  100.00	  100.00	  100.00	 1672.03	1594036.17	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	 6617312	   20289	    2166	  100.00	  100.00	  100.00	  100.00	 3065.92	6556690.88	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	 4632852	   19558	    1983	   99.24	   99.24	  100.00	  100.76	 2346.28	4574504.34	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	12666002	   25361	    3228	   99.26	  100.00	   99.26	  100.00	 4252.47	12590121.42	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	    6127	    7370	     669	   87.74	  100.45	   87.35	   99.55	   14.21	  114.52	1.0e-25
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	    4484	    6511	     591	   76.65	   88.32	   86.78	  113.22	   12.28	  373.71	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	    7051	    6477	     588	   86.56	   96.60	   89.61	  103.52	   17.12	   24.30	8.2e-07
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	   18304	   27833	    2526	   83.02	   94.62	   87.74	  105.69	   11.12	 1968.34	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	   15371	   18112	    1644	   86.07	   96.65	   89.05	  103.46	   13.33	  224.42	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	    5609	    8328	     756	   80.69	   93.12	   86.65	  107.39	   11.85	  530.80	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   16622	    7004	     636	   99.69	  100.00	   99.69	  100.00	   26.61	 3914.49	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   22021	   10969	     996	   99.90	  100.00	   99.90	  100.00	   22.36	 3702.01	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   50140	   27383	    2487	   99.60	  100.00	   99.60	  100.00	   20.48	 6679.77	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   18749	    7731	     702	  100.00	  100.00	  100.00	  100.00	   26.78	 4583.81	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   13523	    6708	     609	   99.51	  100.00	   99.51	  100.00	   22.58	 2295.69	1.0e-26
VFDB|VFG044322 siderophore esterase IroE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  652587	   10161	     936	   98.93	  100.00	   98.93	  100.00	  723.81	622726.79	1.0e-26
VFDB|VFG048229 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   16356	    6674	     606	   99.34	  100.00	   99.34	  100.00	   27.61	 4069.86	1.0e-26
VFDB|VFG048237 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   17852	    6707	     609	   99.34	  100.00	   99.34	  100.00	   29.97	 5057.27	1.0e-26
VFDB|VFG048247 type 1 major fimbrial subunit precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   13017	    6047	     549	   99.82	  100.00	   99.82	  100.00	   24.03	 2548.22	1.0e-26
VFDB|VFG048257 type 1 pilus biosynthesis fimbrial protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   16004	    7005	     636	   99.37	  100.00	   99.37	  100.00	   25.76	 3519.53	1.0e-26
VFDB|VFG048267 periplasmic chaperone [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   17392	    7996	     726	   99.45	  100.00	   99.45	  100.00	   24.58	 3477.19	1.0e-26
VFDB|VFG048277 outer membrane usher protein  [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   75654	   29118	    2646	   99.55	  100.00	   99.55	  100.00	   29.14	20668.71	1.0e-26
VFDB|VFG048287 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   13061	    5848	     531	   99.44	  100.00	   99.44	  100.00	   25.14	 2750.73	1.0e-26
VFDB|VFG048297 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   13327	    5518	     501	   99.60	  100.00	   99.60	  100.00	   27.23	 3235.61	1.0e-26
VFDB|VFG048307 type 1 fimbrial adhesin precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   23942	   10010	     909	   99.01	   99.67	   99.34	  100.33	   27.27	 5716.10	1.0e-26
VFDB|VFG048317 transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   26302	   13678	    1242	   99.19	  100.00	   99.19	  100.00	   21.81	 3985.72	1.0e-26
VFDB|VFG048327 transcriptional activator [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   16870	    7831	     711	   99.44	   99.86	   99.58	  100.14	   24.19	 3307.60	1.0e-26
VFDB|VFG048338 LuxR family regulatory protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   17832	    6442	     585	   99.32	  100.00	   99.32	  100.00	   31.28	 5343.35	1.0e-26
VFDB|VFG048348 phosphodiesterase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   19735	    7896	     717	   99.86	  100.00	   99.86	  100.00	   27.78	 5071.90	1.0e-26
VFDB|VFG048409 2,3-dihydroxybenzoate-2,3-dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   19901	    8656	     786	   98.47	  100.00	   98.47	  100.00	   26.72	 4427.28	1.0e-26
VFDB|VFG048419 2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   21626	    9383	     852	   98.71	  100.00	   98.71	  100.00	   26.52	 4833.37	1.0e-26
