#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	 1793915	   16907	    3228	   86.68	   95.14	   91.11	  105.11	  699.79	1743824.77	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	  641390	    5384	     975	  100.00	  100.00	  100.00	  100.00	  659.69	625414.84	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	 2700656	   10850	    2166	  100.00	  100.00	  100.00	  100.00	 1250.56	2668277.97	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	 1671989	   10443	    1983	   99.09	   99.14	   99.95	  100.86	  845.96	1640917.66	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	 4701640	   14558	    3228	   99.26	  100.00	   99.26	  100.00	 1575.81	4658142.80	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   20720	    5910	    1041	   81.17	   93.85	   86.49	  106.55	   28.56	 8235.01	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	   32005	    3796	     669	   87.59	  100.00	   87.59	  100.00	   74.03	22225.94	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	   18895	    3355	     591	   77.33	   89.34	   86.55	  111.93	   51.46	10852.23	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	   26182	    3337	     588	   89.63	  100.00	   89.63	  100.00	   64.04	17678.66	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	   76809	   14312	    2526	   85.51	   97.55	   87.66	  102.52	   46.02	42862.87	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	   72428	    9315	    1644	   86.74	   97.57	   88.90	  102.49	   62.39	48728.75	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	   19571	    4292	     756	   82.28	   95.37	   86.27	  104.85	   40.74	 9781.78	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   66531	    3603	     636	   99.69	  100.00	   99.69	  100.00	  106.29	56460.63	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   91566	    5637	     996	   99.90	  100.00	   99.90	  100.00	   92.57	75960.64	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  243515	   13988	    2487	   99.60	  100.00	   99.60	  100.00	   99.66	204589.98	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   74448	    3976	     702	  100.00	  100.00	  100.00	  100.00	  106.63	63325.48	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   65815	    3450	     609	   99.51	  100.00	   99.51	  100.00	  110.12	56150.33	1.0e-26
VFDB|VFG044322 siderophore esterase IroE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  347471	    5238	     936	   98.93	  100.00	   98.93	  100.00	  385.40	332067.65	1.0e-26
VFDB|VFG048229 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   60956	    3434	     606	   99.34	  100.00	   99.34	  100.00	  102.85	51385.23	1.0e-26
VFDB|VFG048237 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   55723	    3452	     609	   99.34	  100.00	   99.34	  100.00	   93.48	46171.70	1.0e-26
VFDB|VFG048247 type 1 major fimbrial subunit precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   55074	    3112	     549	   99.82	  100.00	   99.82	  100.00	  101.13	46403.18	1.0e-26
VFDB|VFG048257 type 1 pilus biosynthesis fimbrial protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   53821	    3605	     636	   99.37	  100.00	   99.37	  100.00	   86.43	43909.48	1.0e-26
VFDB|VFG048267 periplasmic chaperone [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   65902	    4113	     726	   99.45	  100.00	   99.45	  100.00	   92.60	54527.33	1.0e-26
VFDB|VFG048277 outer membrane usher protein  [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  276361	   14861	    2646	   99.55	  100.00	   99.55	  100.00	  106.42	234810.59	1.0e-26
VFDB|VFG048287 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   56488	    3009	     531	   99.44	  100.00	   99.44	  100.00	  109.39	48067.14	1.0e-26
