#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	   24539	    1014	     603	   98.18	  100.00	   98.18	  100.00	   42.98	21655.58	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	   23134	    1004	     597	   98.66	  100.00	   98.66	  100.00	   40.33	20286.39	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	   17714	    1020	     606	   92.41	  100.00	   92.41	  100.00	   38.24	14873.65	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	   23511	     908	     540	   98.33	  100.00	   98.33	  100.00	   46.01	20919.42	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	   29527	    1221	     726	   98.48	  100.00	   98.48	  100.00	   42.71	26057.86	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	  101027	    4390	    2637	   98.26	  100.00	   98.26	  100.00	   40.32	88588.22	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	   20779	     899	     534	   97.38	  100.00	   97.38	  100.00	   42.43	18230.49	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	   18066	     849	     504	   98.02	  100.00	   98.02	  100.00	   37.95	15671.29	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	   31847	    1533	     912	   97.26	  100.00	   97.26	  100.00	   38.08	27528.57	1.0e-26
VFDB|VFG000880 regulatory protein PapI [Escherichia coli CFT073]	    8865	     394	     234	   98.72	  100.00	   98.72	  100.00	   39.53	 7748.16	1.0e-26
VFDB|VFG000881 (papB) regulatory protein PapB [Escherichia coli CFT073]	   12041	     531	     315	   98.73	  100.00	   98.73	  100.00	   39.71	10537.42	1.0e-26
VFDB|VFG000883 P pilus termination subunit PapH [Escherichia coli CFT073]	   20926	     990	     588	   90.31	   93.54	   96.55	  106.91	   37.10	18134.45	1.0e-26
VFDB|VFG000884 usher protein PapC [Escherichia coli CFT073]	  100624	    4200	    2523	   99.29	  100.00	   99.29	  100.00	   40.82	88696.14	1.0e-26
VFDB|VFG000885 chaperone protein PapD [Escherichia coli CFT073]	   24613	    1019	     606	   99.50	  100.00	   99.50	  100.00	   41.39	21715.57	1.0e-26
VFDB|VFG000886 P pilus assembly protein PapJ [Escherichia coli CFT073]	   26145	     979	     582	   98.11	  100.00	   98.11	  100.00	   48.11	23348.53	1.0e-26
VFDB|VFG000887 P pilus minor subunit PapK [Escherichia coli CFT073]	   22807	     909	     540	   99.44	  100.00	   99.44	  100.00	   42.89	20219.18	1.0e-26
VFDB|VFG000888 P pilus minor subunit PapE [Escherichia coli CFT073]	   14395	     910	     540	   94.63	  100.00	   94.63	  100.00	   32.66	11880.91	1.0e-26
