#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   44923	   33209	    1486	   75.91	   84.72	   89.59	  118.03	   50.13	 1755.92	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	  440983	   69362	    3123	   96.93	  100.00	   96.93	  100.00	  155.46	270605.09	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  243058	   34344	    1542	   86.06	   86.38	   99.62	  115.77	  157.14	157032.66	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   85673	   34147	    1529	   77.44	   87.44	   88.56	  114.36	   85.89	22157.10	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  955566	   28309	    1287	  100.00	  100.00	  100.00	  100.00	  745.08	873896.08	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 1215367	   19966	     912	  100.00	  100.00	  100.00	  100.00	 1342.22	1156757.88	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 4113357	   60386	    2904	   99.10	  100.00	   99.10	  100.00	 1467.01	3935692.79	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 3085936	   62001	    2926	   83.90	   92.48	   90.72	  108.13	 1383.22	2904815.15	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  206114	   26607	    1194	   98.99	  100.00	   98.99	  100.00	  178.59	138460.68	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 1815735	   22356	    1032	   99.90	  100.00	   99.90	  100.00	 1770.64	1749753.17	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  286988	   38460	    1728	   99.65	  100.00	   99.65	  100.00	  168.16	189786.22	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	  632117	   68932	    3114	   98.39	  100.00	   98.39	  100.00	  213.43	452430.50	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	  257822	   38948	    1749	   98.86	  100.00	   98.86	  100.00	  152.98	161423.57	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	  282218	   32651	    1467	   96.46	  100.00	   96.46	  100.00	  215.01	197807.99	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  402328	   10790	     486	  100.00	  100.00	  100.00	  100.00	  838.37	371084.16	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  542930	   69838	    3150	   98.95	  100.00	   98.95	  100.00	  178.37	365252.10	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  246948	   34030	    1528	   70.35	   79.38	   88.62	  125.97	  226.24	161343.15	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  148965	   11105	     498	  100.00	  100.00	  100.00	  100.00	  303.53	118730.65	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 4362829	   60107	    2904	   91.94	  100.14	   91.82	   99.86	 1894.44	4185774.38	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  298650	   30972	    1392	   97.70	  100.00	   97.70	  100.00	  230.07	217374.46	1.0e-26
