#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	    3282	    2267	     927	   99.57	  100.00	   99.57	  100.00	    3.59	  185.59	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	    9440	    4950	    2025	   93.68	   95.75	   97.83	  104.44	    4.96	 1400.41	1.0e-26
VFDB|VFG002174 coccolysin [Enterococcus faecalis V583]	    4669	    3749	    1533	   98.11	   99.35	   98.75	  100.66	    3.16	  100.48	1.0e-22
VFDB|VFG002179 Enterococcal surface protein; Esp [Enterococcus faecalis str. MMH594]	   35964	   13719	    5622	   83.99	   84.42	   99.49	  118.46	    6.53	 9958.96	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	    4481	    1958	     801	   99.50	  100.00	   99.50	  100.00	    5.72	  987.93	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	    3200	    1995	     816	   99.63	  100.00	   99.63	  100.00	    3.97	  279.17	1.0e-26
VFDB|VFG002191 serine proteinase, V8 family [Enterococcus faecalis V583]	    3552	    2090	     855	   93.57	   94.74	   98.77	  105.56	    4.38	  378.27	1.0e-26
VFDB|VFG002192 histidine kinase, putative [Enterococcus faecalis V583]	    5499	    3286	    1344	   95.24	   95.76	   99.46	  104.43	    4.16	  557.12	1.0e-26
VFDB|VFG002193 agrBfs protein [Enterococcus faecalis V583]	    3334	    1782	     729	   98.63	  100.00	   98.63	  100.00	    4.76	  470.25	1.0e-26
VFDB|VFG002194 response regulator [Enterococcus faecalis V583]	    3811	    1790	     732	   98.63	  100.00	   98.63	  100.00	    5.44	  729.17	1.0e-26
VFDB|VFG002195 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	   13978	    7369	    3015	   99.24	  100.00	   99.24	  100.00	    4.76	 2045.73	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	   32582	   10051	    4119	   97.09	   98.18	   98.89	  101.85	    8.22	11906.42	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	    4095	    2472	    1011	   99.11	  100.00	   99.11	  100.00	    4.15	  400.87	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	   14943	    8095	    3312	   99.15	   99.67	   99.49	  100.33	    4.63	 2035.33	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	    6381	    3499	    1431	   99.37	  100.00	   99.37	  100.00	    4.56	  840.59	1.0e-26
