#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  606095	   14024	    1486	   83.85	   95.96	   87.38	  104.21	  615.62	565291.29	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  262529	   14632	    1529	   87.44	   97.91	   89.31	  102.14	  265.50	221721.97	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  105024	   27981	    2904	   97.00	   99.93	   97.07	  100.07	   43.00	44625.97	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 4039484	   23761	    2926	   80.93	   91.29	   88.66	  109.55	 1890.74	3968756.56	1.0e-26
CARD|WP_041918279.1 Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones [Haemophilus parainfluenzae]	    5946	   21818	    2256	   90.25	   95.21	   94.79	  105.03	    3.07	 9074.05	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  187877	   14436	    1504	   83.24	   94.48	   88.11	  105.84	  201.36	148688.93	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    2528	    9977	    1032	   94.09	   94.19	   99.90	  106.17	    2.47	 4437.62	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	  127678	   16598	    1725	   95.19	  100.00	   95.19	  100.00	   85.52	85520.25	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    2089	   16711	    1728	   70.37	   77.20	   91.15	  129.54	    1.67	11372.70	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  398291	   14542	    1528	   82.85	   93.19	   88.90	  107.30	  371.85	356711.45	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  201847	   11711	    1221	  100.00	  100.00	  100.00	  100.00	  166.88	169280.40	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	   99567	   18497	    1920	   94.38	   96.35	   97.95	  103.78	   55.77	55667.00	1.0e-26
