#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   11656	   55353	    1486	   80.96	   92.26	   87.75	  108.39	   12.46	28495.83	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	  816327	  115438	    3123	   97.66	  100.00	   97.66	  100.00	  282.09	527220.10	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	  245237	   30315	     816	   99.26	  100.00	   99.26	  100.00	  308.06	167632.44	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 3609403	   55306	    1542	  100.00	  100.00	  100.00	  100.00	 2334.58	3446823.52	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  115428	   56895	    1529	   82.08	   93.85	   87.46	  106.55	  123.38	19881.54	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 7286264	  100099	    2904	   99.38	  100.03	   99.35	   99.97	 2575.66	6991392.36	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 3825455	  104757	    2926	   83.12	   92.72	   89.64	  107.85	 1725.87	3522351.02	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   50487	   56002	    1504	   79.45	   90.82	   87.48	  110.10	   47.68	  285.64	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  431732	   44278	    1194	  100.00	  100.00	  100.00	  100.00	  362.88	315371.03	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    1178	   38439	    1032	   76.74	   76.84	   99.87	  130.14	    1.15	35045.79	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  593659	   63987	    1728	  100.00	  100.00	  100.00	  100.00	  344.71	426600.27	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	 1204897	  114639	    3114	   99.97	  100.00	   99.97	  100.00	  388.66	900818.44	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	  528487	   64809	    1749	  100.00	  100.00	  100.00	  100.00	  303.17	362377.05	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	  634288	   54294	    1467	  100.00	  100.00	  100.00	  100.00	  433.99	488529.70	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	 1049472	  116154	    3150	  100.00	  100.00	  100.00	  100.00	  334.37	747307.61	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  334778	   56729	    1528	   73.69	   84.36	   87.35	  118.54	  327.18	197470.42	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  537018	   18442	     498	  100.00	  100.00	  100.00	  100.00	 1081.22	484138.69	1.0e-26
