#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	    9338	    1952	    2166	   98.25	   98.71	   99.53	  101.31	    4.39	 4830.89	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	    6124	    1789	    1983	   82.85	   83.16	   99.64	  120.25	    3.13	 2374.63	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	   21512	     541	     603	   98.18	  100.00	   98.18	  100.00	   37.70	19940.54	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	   17332	     536	     597	   98.66	  100.00	   98.66	  100.00	   30.23	15786.15	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	   13537	     545	     606	   92.24	  100.00	   92.24	  100.00	   27.15	11985.15	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	   13303	     486	     540	   98.33	  100.00	   98.33	  100.00	   26.03	11913.33	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	   20425	     652	     726	   98.48	  100.00	   98.48	  100.00	   29.49	18549.04	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	   87621	    2325	    2637	   98.26	  100.00	   98.26	  100.00	   34.99	80883.97	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	   13102	     480	     534	   97.38	  100.00	   97.38	  100.00	   26.34	11727.96	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	   18250	     453	     504	   98.02	  100.00	   98.02	  100.00	   38.43	16934.78	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	   26657	     817	     912	   97.15	  100.00	   97.15	  100.00	   31.76	24300.55	1.0e-26
VFDB|VFG000880 regulatory protein PapI [Escherichia coli CFT073]	    1678	     211	     234	   81.20	   85.47	   95.00	  117.00	    8.11	 1138.64	1.0e-26
VFDB|VFG000881 (papB) regulatory protein PapB [Escherichia coli CFT073]	    6323	     284	     315	   98.41	   99.68	   98.73	  100.32	   21.16	 5519.63	1.0e-26
VFDB|VFG000902 Aecreted auto transpoter toxin [Escherichia coli CFT073]	  106260	    3422	    3900	   99.51	  100.00	   99.51	  100.00	   27.80	96419.00	1.0e-26
VFDB|VFG000904 Haemoglobin protease [Escherichia coli CFT073]	   98787	    3633	    4131	   99.71	  100.02	   99.69	   99.98	   24.30	88402.35	1.0e-26
VFDB|VFG000916 heme oxygenase ChuS [Escherichia coli CFT073]	   28332	     922	    1029	   99.51	  100.00	   99.51	  100.00	   27.92	25680.91	1.0e-26
VFDB|VFG000917 Outer membrane heme/hemoglobin receptor ChuA [Escherichia coli CFT073]	   64780	    1728	    1947	   99.69	  100.00	   99.69	  100.00	   33.83	59775.30	1.0e-26
VFDB|VFG000918 periplasmic heme-binding protein ChuT [Escherichia coli CFT073]	   36677	     888	     993	   99.70	  100.00	   99.70	  100.00	   37.64	34096.61	1.0e-26
VFDB|VFG000919 Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073]	   46229	    1193	    1338	   99.10	  100.00	   99.10	  100.00	   35.93	42768.37	1.0e-26
VFDB|VFG000920 putative heme-binding protein ChuX [Escherichia coli CFT073]	   16655	     445	     495	  100.00	  100.00	  100.00	  100.00	   34.12	15365.92	1.0e-26
VFDB|VFG000921 ChuY [Escherichia coli CFT073]	   20607	     560	     624	   98.56	  100.00	   98.56	  100.00	   34.77	18984.72	1.0e-26
VFDB|VFG000922 heme permease protein ChuU [Escherichia coli CFT073]	   27001	     890	     993	   98.69	   99.19	   99.49	  100.81	   27.45	24443.14	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	   60053	    1991	    2241	   98.88	  100.00	   98.88	  100.00	   27.99	54333.24	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	   33145	     856	     957	   99.79	  100.00	   99.79	  100.00	   35.37	30661.05	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	   26543	     731	     816	   99.39	  100.00	   99.39	  100.00	   33.50	24425.98	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	   30903	     911	    1017	   99.51	  100.00	   99.51	  100.00	   31.24	28274.16	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	   26718	     890	     993	   99.80	  100.00	   99.80	  100.00	   27.78	24161.12	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	   35673	     689	     771	   95.59	  100.00	   95.59	  100.00	   66.89	33656.15	1.0e-26
