#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   40967	   68677	    1486	   72.41	   84.45	   85.74	  118.41	   46.57	 7003.48	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	 2237536	  141783	    3123	   96.16	  100.00	   96.16	  100.00	  808.28	1845979.96	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 9562169	   65617	    1542	   99.87	  100.00	   99.87	  100.00	 5755.11	9367105.94	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   72574	   70647	    1529	   77.17	   87.90	   87.80	  113.76	   76.48	   25.91	3.6e-07
CARD|BAG75524.1 efmA [Enterococcus faecium]	  187094	   59403	    1287	  100.00	  100.00	  100.00	  100.00	  145.69	66145.65	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  283388	   42055	     912	   99.89	  100.00	   99.89	  100.00	  312.34	178960.63	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	18275152	  113896	    2904	   99.07	  100.00	   99.07	  100.00	 6507.37	17936282.98	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	  995362	  134229	    2926	   82.43	   91.39	   90.20	  109.42	  444.03	656475.37	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	 1048956	   54713	    1194	   99.08	  100.00	   99.08	  100.00	  905.74	895665.41	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  339729	   47568	    1032	   99.90	  100.00	   99.90	  100.00	  330.84	220393.04	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1363395	   78990	    1728	   99.42	  100.00	   99.42	  100.00	  802.86	1143727.34	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	 2722312	  140793	    3114	   97.30	  100.00	   97.30	  100.00	  951.47	2327625.67	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	 1298232	   79994	    1749	   98.06	  100.00	   98.06	  100.00	  789.58	1076819.92	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	 1449997	   67003	    1467	   97.61	  100.00	   97.61	  100.00	 1067.27	1260823.38	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  114651	   22438	     486	  100.00	  100.00	  100.00	  100.00	  236.31	62025.57	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	 2628890	  142536	    3150	   98.76	  100.00	   98.76	  100.00	  869.88	2230603.64	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 1605506	  132536	    2904	   90.94	  100.28	   90.69	   99.73	  712.79	1248322.35	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1330268	   63640	    1392	   97.49	  100.00	   97.49	  100.00	 1033.79	1150968.61	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	 2045549	  139966	    3078	   93.99	  100.00	   93.99	  100.00	  781.22	1661506.02	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	  288460	   36656	     795	  100.00	  100.00	  100.00	  100.00	  363.67	195021.85	1.0e-26
CARD|AAM61952.1 TEM-104 [Klebsiella pneumoniae]	 1314228	   39361	     861	   99.88	  100.00	   99.88	  100.00	 1529.39	1200722.86	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	  252673	   38328	     831	   99.16	  100.00	   99.16	  100.00	  308.08	157880.52	1.0e-26
CARD|CDO61513.1 efrA [Enterococcus faecium]	   47075	   67333	    1457	   98.83	   99.59	   99.24	  100.41	   33.33	 3587.20	1.0e-26
CARD|AAO82601.1 Enterococcus faecalis liaF mutant conferring daptomycin resistance [Enterococcus faecalis V583]	   23386	   33825	     732	  100.00	  100.00	  100.00	  100.00	   32.02	 1904.99	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	 1880131	   55970	    1230	   99.92	  100.00	   99.92	  100.00	 1549.23	1718692.04	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	   75764	   25356	     549	   99.64	  100.00	   99.64	  100.00	  139.74	25127.68	1.0e-26
CARD|AAS13767.1 Mrx [Aeromonas hydrophila]	  110838	   57223	    1239	  100.00	  100.00	  100.00	  100.00	   89.75	17103.82	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	  807233	   37738	     822	   98.18	  100.00	   98.18	  100.00	 1039.47	700760.71	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	 2669556	  140856	    3114	   98.65	  100.00	   98.65	  100.00	  896.16	2275224.48	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	    1014	   35218	     762	   74.93	   75.07	   99.83	  133.22	    1.34	32290.49	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	  627432	   30482	     663	   98.34	  100.00	   98.34	  100.00	  995.10	541634.18	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	  868154	   56587	    1233	   96.27	  100.00	   96.27	  100.00	  791.19	712243.50	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	   77884	   33810	     732	   94.67	  100.00	   94.67	  100.00	  120.09	17391.07	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	 1885621	   93400	    2052	   97.08	  100.00	   97.08	  100.00	 1008.93	1623052.63	1.0e-26
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	  675167	   36262	     789	   98.99	  100.00	   98.99	  100.00	  884.69	573772.54	1.0e-26
