#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  501762	    6312	    1486	   82.17	   93.94	   87.46	  106.45	  493.12	483137.82	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   15795	   13859	    3123	   94.94	   98.82	   96.08	  101.20	    5.83	  126.32	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	    1001	    3622	     816	   80.51	   81.13	   99.24	  123.26	    1.26	 1486.58	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  152349	    6701	    1529	   85.48	   96.01	   89.03	  104.16	  155.58	133375.24	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  127377	   12761	    2904	   98.76	  100.00	   98.76	  100.00	   49.47	93740.29	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 2495353	   10190	    2926	   78.91	   89.75	   87.93	  111.42	 1169.12	2464946.95	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  118836	    6610	    1504	   83.71	   95.61	   87.55	  104.59	  130.25	100397.14	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    4418	    5300	    1194	   98.24	   98.99	   99.24	  101.02	    3.80	   80.07	1.0e-18
CARD|CAA52904.1 catS [Streptococcus pyogenes]	   33794	    2177	     492	   98.37	  100.00	   98.37	  100.00	   72.58	27787.93	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	    6325	    7657	    1725	   91.36	   95.65	   95.52	  104.55	    4.26	  126.99	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    8803	    7669	    1728	   96.70	   97.28	   99.41	  102.80	    5.24	   78.04	1.0e-17
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   14988	   13820	    3114	   95.73	   98.43	   97.26	  101.60	    5.28	   47.31	5.2e-10
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    6263	    7764	    1749	   97.03	   98.57	   98.43	  101.45	    3.80	  160.66	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    6840	    6511	    1467	   97.21	   99.45	   97.74	  100.55	    5.03	    8.09	4.4e-03
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   11355	   13984	    3150	   94.70	   95.87	   98.77	  104.30	    3.80	  272.94	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  203368	    6666	    1528	   78.99	   88.29	   89.47	  113.27	  200.08	184214.52	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	    2994	    8526	    1920	   73.28	   75.26	   97.37	  132.87	    1.78	 2656.71	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 1981555	   10688	    2904	   91.77	  100.00	   91.77	  100.00	  983.17	1949719.07	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    6290	    6178	    1392	   96.98	   99.35	   97.61	  100.65	    5.05	    1.00	3.2e-01
