#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002164 aggregation substance PrgB/Asc10 [Enterococcus faecalis V583]	   19661	     486	    3918	   77.69	   79.25	   98.04	  126.18	    5.40	18249.54	1.0e-26
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	    4655	     118	     927	   99.68	  100.00	   99.68	  100.00	    5.05	 4311.52	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	   10997	     255	    2025	   96.15	   98.52	   97.59	  101.50	    5.74	10253.65	1.0e-26
VFDB|VFG002173 aggregation substance Asa1 [Enterococcus faecalis V583]	   49169	     454	    3891	   87.43	   89.28	   97.93	  112.00	   13.47	47823.49	1.0e-26
VFDB|VFG002179 Enterococcal surface protein; Esp [Enterococcus faecalis str. MMH594]	   36590	     674	    5622	   82.25	   82.62	   99.55	  121.03	    6.63	34616.70	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	    4162	     102	     801	   99.25	  100.00	   99.25	  100.00	    5.30	 3864.61	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	    6570	     103	     816	   94.73	   95.59	   99.10	  104.62	    8.20	 6264.95	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	   30937	     499	    4119	   98.32	   99.68	   98.64	  100.32	    7.99	29470.33	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	    5152	     129	    1011	   98.52	   99.41	   99.10	  100.60	    5.23	 4777.56	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	   19310	     411	    3312	   99.46	  100.00	   99.46	  100.00	    5.96	18110.79	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	   10381	     180	    1431	   99.37	  100.00	   99.37	  100.00	    7.41	 9851.09	1.0e-26
