#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  130671	    8556	    1486	   82.64	   94.62	   87.34	  105.69	  136.82	107104.20	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  126062	    8807	    1529	   83.78	   94.83	   88.34	  105.45	  129.42	101940.78	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  259319	    7346	    1287	  100.00	  100.00	  100.00	  100.00	  202.37	238088.76	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  436148	    5143	     912	  100.00	  100.00	  100.00	  100.00	  480.43	420958.21	1.0e-26
CARD|ABA71732.1 vanXYG [Enterococcus faecalis]	   46313	    4428	     765	   87.71	   93.86	   93.45	  106.55	   67.97	34573.08	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1298629	   15542	    2926	   83.32	   92.07	   90.50	  108.61	  606.55	1252737.88	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   32971	    8717	    1504	   75.00	   85.17	   88.06	  117.41	   34.50	14110.86	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  596441	    5756	    1032	   99.90	  100.00	   99.90	  100.00	  582.40	579391.49	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	    5071	   10017	    1725	   91.71	   96.12	   95.42	  104.04	    3.48	 1621.52	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  206311	    2783	     486	  100.00	  100.00	  100.00	  100.00	  426.32	198109.30	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  260940	    8722	    1528	   83.64	   95.62	   87.47	  104.59	  240.09	235901.95	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 2673155	   13888	    2904	   94.18	  100.07	   94.12	   99.93	 1161.36	2631777.72	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	   81586	    8879	    1537	   77.55	   88.03	   88.10	  113.60	   83.13	58433.34	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	  474860	    4471	     795	  100.00	  100.00	  100.00	  100.00	  600.14	461612.85	1.0e-26
CARD|AJD73064.1 RlmA(II) [Streptococcus pneumoniae]	    1903	    4929	     849	   76.44	   83.63	   91.41	  119.58	    3.01	 1340.70	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	  421203	    4691	     831	  100.00	  100.00	  100.00	  100.00	  509.06	407336.60	1.0e-26
CARD|ABA71730.1 vanWG [Enterococcus faecalis]	   31711	    4902	     846	   88.06	   96.57	   91.19	  103.55	   43.80	19629.24	1.0e-26
CARD|AET10445.1 tetB(46) [Streptococcus australis]	    3148	   10088	    1737	   78.30	   83.02	   94.31	  120.46	    2.15	 3639.09	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	   92023	    3168	     549	   99.64	  100.00	   99.64	  100.00	  169.85	82939.87	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	  112343	    4218	     732	   99.45	  100.00	   99.45	  100.00	  156.92	100296.86	1.0e-26
CARD|AFK58562.1 Enterococcus faecium liaR mutant conferring daptomycin resistance [Enterococcus faecium DO]	   47395	    3664	     633	   92.26	  100.00	   92.26	  100.00	   95.42	37454.55	1.0e-26
CARD|AAG16656.1 floR [Escherichia coli]	    2231	    7055	    1215	   88.31	   88.56	   99.72	  112.92	    1.87	 2506.50	1.0e-26
CARD|ALL09868.1 Enterococcus faecium cls conferring resistance to daptomycin [Enterococcus faecium]	  232651	    8303	    1452	   99.93	  100.00	   99.93	  100.00	  161.36	208883.96	1.0e-26
CARD|CAA79727.1 tetQ [Bacteroides fragilis]	    7221	   11462	    1974	   98.43	   99.80	   98.63	  100.20	    3.87	  963.00	1.0e-26
CARD|AAA65954.1 vanSA [Enterococcus faecium]	  676041	    6407	    1155	  100.00	  100.00	  100.00	  100.00	  588.07	657058.94	1.0e-26
CARD|AAD23513.1 CfxA2 [Prevotella intermedia]	    4482	    5608	     966	   94.20	   94.20	  100.00	  106.15	    4.73	  125.72	1.0e-26
CARD|AAA65953.1 vanRA [Enterococcus faecium]	  390557	    3936	     696	  100.00	  100.00	  100.00	  100.00	  563.87	378903.32	1.0e-26
CARD|AAC23556.1 APH(6)-Id [Pseudomonas aeruginosa]	    1167	    4860	     837	   88.89	   89.01	   99.87	  112.35	    1.42	 2263.01	1.0e-26
CARD|AAA65955.1 vanHA [Enterococcus faecium]	  583779	    5409	     969	  100.00	  100.00	  100.00	  100.00	  604.99	567748.53	1.0e-26
