#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002164 aggregation substance PrgB/Asc10 [Enterococcus faecalis V583]	 8948188	  119361	    3918	   97.27	  100.00	   97.27	  100.00	 2459.99	8596387.46	1.0e-26
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	 2401983	   29737	     927	   99.68	  100.00	   99.68	  100.00	 2622.15	2314225.92	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	 4976177	   63674	    2025	   97.43	  100.00	   97.43	  100.00	 2594.81	4788372.65	1.0e-26
VFDB|VFG002172 aggregation substance [Enterococcus faecalis V583]	 5505215	  122737	    3918	   92.90	   96.48	   96.30	  103.65	 1507.24	5147710.15	1.0e-26
VFDB|VFG002173 aggregation substance Asa1 [Enterococcus faecalis V583]	18407191	  109329	    3891	   96.14	   98.79	   97.32	  101.22	 5032.66	18081785.96	1.0e-26
VFDB|VFG002179 Enterococcal surface protein; Esp [Enterococcus faecalis str. MMH594]	15621056	  161956	    5622	   87.96	   88.72	   99.14	  112.71	 2820.88	15141835.29	1.0e-26
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	 2040081	   25766	     801	   99.25	  100.00	   99.25	  100.00	 2611.03	1964065.71	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	 2203244	   26216	     816	   99.14	  100.00	   99.14	  100.00	 2776.25	2125828.26	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	13473272	  120827	    4119	   98.57	  100.00	   98.57	  100.00	 3486.22	13115085.31	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	 2674175	   32363	    1011	   99.11	  100.00	   99.11	  100.00	 2723.16	2578631.76	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	 8877715	  100943	    3312	   99.46	  100.00	   99.46	  100.00	 2731.42	8579425.02	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	 3686315	   45451	    1431	   99.37	  100.00	   99.37	  100.00	 2630.74	3552175.60	1.0e-26
VFDB|VFG042978 endocarditis and biofilm-associated pilus major subunit EbpC [Enterococcus faecalis V583]	 5262277	   58915	    1878	   99.68	  100.32	   99.36	   99.68	 2856.45	5088140.42	1.0e-26
VFDB|VFG042979 sortase [Enterococcus faecalis V583]	 2174710	   27475	     855	   99.18	  100.35	   98.83	   99.65	 2626.81	2093654.30	1.0e-26
VFDB|VFG043508 Enterococcus faecalis surface protein Fss1, fibrinogen binding protein [Enterococcus faecalis V583]	18091905	  168133	    5964	   98.51	  100.00	   98.51	  100.00	 3182.33	17593696.20	1.0e-26
VFDB|VFG043509 Enterococcus faecalis surface protein Fss2, fibrinogen binding protein [Enterococcus faecalis V583]	 8762715	  151253	    4956	   83.58	   88.42	   94.52	  113.10	 1957.65	8319219.68	1.0e-26
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	   41669	   19697	     603	   98.18	  100.00	   98.18	  100.00	   73.24	 7866.27	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	   50774	   19500	     597	   99.16	  100.00	   99.16	  100.00	   87.19	13917.28	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	   25531	   19798	     606	   89.93	  100.99	   89.05	   99.02	   57.27	  724.98	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	   40458	   17639	     540	   98.70	  100.00	   98.70	  100.00	   78.17	 8961.96	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	   53071	   23714	     726	   98.90	  100.00	   98.90	  100.00	   75.85	11223.48	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	  188832	   86088	    2637	   98.60	  100.00	   98.60	  100.00	   74.98	38397.51	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	   33952	   17444	     534	   97.94	  100.00	   97.94	  100.00	   68.12	 5301.76	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	   39027	   16463	     504	   97.82	  100.00	   97.82	  100.00	   82.63	 9174.41	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	   61707	   29789	     912	   97.37	  100.00	   97.37	  100.00	   73.20	11133.97	1.0e-26
VFDB|VFG000905 Hemolysin C [Escherichia coli CFT073]	   40299	   22050	     675	   80.59	   83.11	   96.97	  120.32	   64.31	 5340.97	1.0e-26
VFDB|VFG000906 Hemolysin A [Escherichia coli CFT073]	  254819	  100347	    3075	   99.38	  100.00	   99.38	  100.00	   84.60	67183.63	1.0e-26
VFDB|VFG000907 Hemolysin B [Escherichia coli CFT073]	  172931	   69340	    2124	   99.44	  100.00	   99.44	  100.00	   83.10	44293.41	1.0e-26
VFDB|VFG000908 Hemolysin D [Escherichia coli CFT073]	  117040	   46924	    1437	   98.89	  100.00	   98.89	  100.00	   84.50	29983.23	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	  117379	   73193	    2241	   96.74	  100.00	   96.74	  100.00	   57.79	10244.85	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	   51802	   31262	     957	   97.49	  100.00	   97.49	  100.00	   58.88	 5079.01	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	   46389	   26656	     816	   97.30	  100.00	   97.30	  100.00	   62.07	 5330.64	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	   56313	   33221	    1017	   96.07	  100.00	   96.07	  100.00	   62.16	 5955.40	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	   41222	   32441	     993	   94.06	  100.00	   94.06	  100.00	   48.28	 1046.71	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  157350	   25164	     771	   94.81	  100.00	   94.81	  100.00	  306.25	95734.62	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	  201629	  126760	    3882	   95.05	   99.30	   95.72	  100.70	   58.94	17069.25	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	   73308	   38804	    1188	   97.90	  100.00	   97.90	  100.00	   66.39	10619.01	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	   76743	   52624	    1611	   95.47	  100.00	   95.47	  100.00	   54.72	 4496.35	1.0e-26
VFDB|VFG000933 isochorismatase [Escherichia coli CFT073]	   49122	   28028	     858	   98.14	  100.00	   98.14	  100.00	   60.57	 5767.39	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   50822	   34007	    1041	   97.98	  100.00	   97.98	  100.00	   52.01	 3333.03	1.0e-26
