#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	    4382	    2035	     927	   99.78	  100.00	   99.78	  100.00	    4.76	  858.14	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	    8867	    4445	    2025	   89.73	   91.95	   97.58	  108.75	    4.66	 1468.90	1.0e-26
VFDB|VFG002174 coccolysin [Enterococcus faecalis V583]	    6994	    3365	    1533	   98.17	   99.22	   98.95	  100.79	    4.71	 1271.04	1.0e-26
VFDB|VFG002180 ABC transporter, permease protein [Enterococcus faecalis V583]	    4596	    1784	     813	   98.52	  100.00	   98.52	  100.00	    5.90	 1238.41	1.0e-26
VFDB|VFG002181 ABC transporter, ATP-binding protein [Enterococcus faecalis V583]	    4475	    2951	    1344	   95.09	   96.21	   98.84	  103.94	    3.43	  312.70	1.0e-26
VFDB|VFG002182 UDP-galactopyranose mutase [Enterococcus faecalis V583]	    5985	    2502	    1140	   99.21	   99.47	   99.74	  100.53	    5.31	 1428.76	1.0e-26
VFDB|VFG002183 lipoprotein [Enterococcus faecalis V583]	    1192	     876	     399	   99.50	  100.00	   99.50	  100.00	    3.02	   48.21	5.1e-10
VFDB|VFG002184 MurB family protein [Enterococcus faecalis V583]	   10616	    5386	    2454	   99.67	  100.00	   99.67	  100.00	    4.38	 1709.19	1.0e-26
VFDB|VFG002186 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	   13852	    5509	    2511	   99.12	  100.00	   99.12	  100.00	    5.68	 3594.78	1.0e-26
VFDB|VFG002187 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	    5479	    3220	    1467	   99.05	  100.00	   99.05	  100.00	    3.82	  586.07	1.0e-26
VFDB|VFG002188 teichoic acid biosynthesis protein, putative [Enterococcus faecalis V583]	    5306	    2568	    1170	   99.40	  100.00	   99.40	  100.00	    4.62	  951.49	1.0e-26
