#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  207394	   12327	    1041	   80.40	   92.89	   86.56	  107.65	  280.60	173177.48	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	  194212	    7923	     669	   87.59	  100.00	   87.59	  100.00	  444.51	171682.81	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	  133694	    7008	     591	   75.30	   86.63	   86.91	  115.43	  361.23	114064.02	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	  186272	    6965	     588	   89.63	  100.00	   89.63	  100.00	  444.19	166379.76	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  527679	   29722	    2526	   83.29	   95.01	   87.67	  105.25	  309.12	444852.11	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  478264	   19360	    1644	   86.68	   97.45	   88.95	  102.62	  404.80	423196.44	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	  167821	    8959	     756	   80.16	   92.59	   86.57	  108.00	  344.09	142758.72	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  493428	    7485	     636	   99.69	  100.00	   99.69	  100.00	  784.81	471419.27	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  742487	   11661	     996	   99.90	  100.00	   99.90	  100.00	  749.15	708224.00	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	 2005276	   28343	    2487	   99.60	  100.00	   99.60	  100.00	  817.53	1921824.94	1.0e-26
