#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  626383	   14370	    1486	   86.07	   97.17	   88.57	  102.91	  625.07	584561.69	1.0e-26
CARD|NR_076151.1_0_3103 Mycobacterium intracellulare 23S rRNA with mutation conferring resistance to azithromycin [Mycobacterium intracellulare]	   57097	   30706	    3103	   70.29	   79.12	   88.84	  126.40	   26.44	 7932.34	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   10205	   30960	    3123	   96.41	   98.69	   97.70	  101.33	    3.57	10464.91	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	    5088	    8084	     816	   99.51	  100.00	   99.51	  100.00	    6.32	  681.46	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	   50398	   15253	    1542	   77.17	   79.05	   97.62	  126.50	   44.85	18813.09	1.0e-26
CARD|AAM09852.1 vanXD [Enterococcus faecium]	    1345	    6033	     609	   87.03	   95.40	   91.22	  104.82	    3.02	 2979.37	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  300422	   14978	    1529	   91.82	  100.00	   91.82	  100.00	  298.17	258333.11	1.0e-26
CARD|ABA71732.1 vanXYG [Enterococcus faecalis]	   15669	    7575	     765	   95.16	   99.61	   95.54	  100.39	   22.37	 2818.06	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  154109	   28626	    2904	   97.90	   99.69	   98.20	  100.31	   65.29	86168.17	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 2972385	   25667	    2926	   83.87	   93.98	   89.24	  106.40	 1419.53	2896260.22	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  163534	   14812	    1504	   88.03	   99.93	   88.09	  100.07	  174.23	124018.17	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    5698	   11830	    1194	   99.25	   99.25	  100.00	  100.76	    4.83	 2145.38	1.0e-26
CARD|CAA52904.1 catS [Streptococcus pyogenes]	  127017	    4850	     492	   98.58	  100.00	   98.58	  100.00	  270.64	113179.14	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	  522503	   16751	    1725	   95.07	  100.00	   95.07	  100.00	  349.14	474329.01	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    8760	   17122	    1728	   94.79	   94.79	  100.00	  105.49	    5.08	 2701.98	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   13920	   30866	    3114	   99.26	   99.29	   99.97	  100.71	    4.50	 6412.46	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    7734	   17331	    1749	   93.83	   93.83	  100.00	  106.58	    4.45	 3674.92	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    8637	   14535	    1467	   99.18	   99.18	  100.00	  100.82	    5.90	 1501.25	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   11714	   31226	    3150	   96.63	   96.63	  100.00	  103.48	    3.73	 8866.80	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  319081	   14957	    1528	   85.34	   96.01	   88.89	  104.16	  312.96	276888.23	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  102941	   12052	    1221	  100.00	  100.00	  100.00	  100.00	   86.25	71837.00	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	  146468	   18924	    1920	   89.79	   92.14	   97.46	  108.54	   82.75	98355.27	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 7061538	   20902	    2904	   96.63	   99.93	   96.69	  100.07	 2922.73	6999078.04	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    5937	   13793	    1392	   97.05	   97.05	  100.00	  103.03	    4.29	 3128.07	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  858545	   14726	    1537	   83.02	   93.69	   88.61	  106.74	  792.72	815359.47	1.0e-26
