#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	   36463	   48719	    3228	   74.94	   81.85	   91.56	  122.18	   14.29	 1763.54	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   13134	   14712	     975	   85.54	   85.54	  100.00	  116.91	   13.53	   89.52	1.0e-20
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	   51195	   32674	    2166	  100.00	  100.00	  100.00	  100.00	   23.70	 4089.87	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	   36956	   29919	    1983	   95.01	   95.01	  100.00	  105.25	   18.71	  740.38	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	  100904	   48667	    3228	   99.19	  100.00	   99.19	  100.00	   33.76	18243.12	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  208954	   15658	    1041	   83.19	   96.54	   86.17	  103.58	  286.95	166345.89	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	  245729	   10055	     669	   87.59	  100.00	   87.59	  100.00	  570.84	217143.40	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	  144349	    8898	     591	   77.33	   89.34	   86.55	  111.93	  394.21	119721.53	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	  242293	    8838	     588	   89.63	  100.00	   89.63	  100.00	  595.51	217021.91	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  707585	   37693	    2526	   86.86	   99.13	   87.62	  100.88	  426.21	602129.67	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  612312	   24565	    1644	   86.86	   97.69	   88.92	  102.37	  529.36	542404.35	1.0e-26
