#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  479858	    7148	    1486	   87.21	   99.06	   88.04	  100.95	  486.32	458831.95	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	    4783	   15604	    3123	   73.39	   75.54	   97.16	  132.39	    1.66	 5743.87	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  176337	    7534	    1529	   87.90	   99.93	   87.96	  100.07	  179.98	154969.34	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    4297	    4553	     912	  100.00	  100.00	  100.00	  100.00	    4.73	    7.42	6.5e-03
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	   52517	   14455	    2904	   98.07	  100.00	   98.07	  100.00	   20.62	21630.87	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 2945038	   11306	    2926	   80.76	   91.32	   88.44	  109.51	 1374.06	2911292.28	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  137173	    7433	    1504	   75.53	   85.51	   88.34	  116.95	  150.79	116400.76	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    1457	    5963	    1194	   82.58	   83.58	   98.80	  119.64	    1.26	 2736.43	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    6207	    5151	    1032	   99.90	  100.00	   99.90	  100.00	    6.07	   98.03	1.0e-22
CARD|AET10444.1 tetA(46) [Streptococcus australis]	    8456	    8612	    1725	   93.33	   97.91	   95.32	  102.13	    5.65	    1.43	2.3e-01
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    2752	    8630	    1728	   84.78	   85.30	   99.39	  117.23	    1.63	 3036.22	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	    7339	   15556	    3114	   89.88	   91.65	   98.07	  109.11	    2.51	 2949.26	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    3861	    7325	    1467	   94.61	   97.34	   97.20	  102.73	    2.89	 1073.16	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	    2239	    2426	     486	   91.56	   91.56	  100.00	  109.21	    4.63	    7.52	6.1e-03
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	    5169	   15739	    3150	   73.94	   74.57	   99.15	  134.10	    1.69	 5343.64	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  219153	    7504	    1528	   85.67	   95.22	   89.97	  105.02	  210.48	197634.57	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  118030	    6043	    1221	  100.00	  100.00	  100.00	  100.00	   97.45	101077.83	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	   65293	    9544	    1920	   76.35	   78.44	   97.34	  127.49	   36.43	41528.95	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 3784369	   10282	    2904	   94.08	   99.97	   94.11	  100.03	 1697.60	3753632.70	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    3665	    6951	    1392	   88.58	   90.45	   97.93	  110.56	    2.84	 1017.25	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  696124	    7266	    1537	   79.77	   90.11	   88.52	  110.97	  661.88	674625.78	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	    5275	    2470	     495	   99.19	  100.00	   99.19	  100.00	   10.85	 1015.26	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  155053	    7610	    1542	   92.15	   99.29	   92.82	  100.72	  139.86	133644.73	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	    5574	    3968	     795	  100.00	  100.00	  100.00	  100.00	    7.02	  270.12	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	    5097	    4148	     831	   95.79	   95.79	  100.00	  104.40	    6.17	   97.32	1.0e-22
CARD|AET10445.1 tetB(46) [Streptococcus australis]	    6062	    8673	    1737	   84.74	   89.87	   94.30	  111.27	    4.13	  462.86	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	     814	    2741	     549	   86.34	   86.70	   99.58	  115.34	    1.50	 1044.74	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	    5781	   15558	    3114	   79.58	   80.41	   98.96	  124.36	    1.92	 4479.70	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	    2006	    3310	     663	   96.98	  100.00	   96.98	  100.00	    3.42	  320.01	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	    2077	    6157	    1233	   73.24	   75.99	   96.37	  131.59	    1.88	 2022.13	1.0e-26
