#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  235476	   12341	    1486	   75.91	   86.54	   87.71	  115.55	  222.80	200910.78	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	  260765	   25922	    3123	   96.64	  100.00	   96.64	  100.00	   92.74	192373.54	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 1364844	   12136	    1542	   99.03	  100.00	   99.03	  100.00	  836.73	1328862.89	1.0e-26
CARD|AAM09852.1 vanXD [Enterococcus faecium]	   28471	    5104	     609	  100.00	  100.00	  100.00	  100.00	   47.08	16261.62	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   74007	   12793	    1529	   81.23	   91.50	   88.78	  109.29	   76.51	43168.97	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 2057889	   22092	    2904	   99.04	  100.00	   99.04	  100.00	  743.85	1992548.71	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1399591	   23002	    2926	   76.52	   86.91	   88.05	  115.06	  645.47	1332072.01	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  131899	   12550	    1504	   75.47	   86.70	   87.04	  115.34	  127.54	98608.80	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  105524	    9974	    1194	   99.08	  100.00	   99.08	  100.00	   91.12	79045.57	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  141369	   14414	    1728	   99.48	  100.00	   99.48	  100.00	   83.21	103459.58	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	  300239	   25800	    3114	   97.37	  100.00	   97.37	  100.00	  104.88	231004.82	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	  122964	   14602	    1749	   98.06	  100.00	   98.06	  100.00	   74.74	85356.41	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	  169678	   12220	    1467	   97.82	  100.00	   97.82	  100.00	  123.54	136300.66	1.0e-26
CARD|CBH51823.1 tet44 [Campylobacter fetus subsp. fetus]	    5773	   16143	    1923	   74.15	   84.30	   87.97	  118.63	    4.49	 4906.90	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  266060	   26140	    3150	   97.75	  100.00	   97.75	  100.00	   90.67	196993.11	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  474964	   12549	    1528	   80.50	   91.30	   88.17	  109.53	  404.17	438608.05	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  281494	   10117	    1221	   99.75	  100.00	   99.75	  100.00	  233.37	252545.02	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	   58669	   16078	    1920	   79.27	   80.10	   98.96	  124.84	   32.47	24267.16	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 1363581	   22869	    2904	   92.08	  100.03	   92.05	   99.97	  660.76	1296481.83	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  146811	   11607	    1392	   97.70	  100.00	   97.70	  100.00	  113.04	115390.24	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  138620	   12822	    1537	   76.84	   87.05	   88.27	  114.87	  133.73	104495.68	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	  218489	   25598	    3078	   94.18	  100.00	   94.18	  100.00	   83.77	152431.98	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	    1916	    4153	     495	   92.53	   95.76	   96.62	  104.43	    4.31	  825.07	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	   34962	    6662	     795	  100.00	  100.00	  100.00	  100.00	   44.06	19241.01	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	   26121	    6966	     831	   99.16	   99.16	  100.00	  100.85	   31.67	11088.43	1.0e-26
CARD|CDJ73082 Escherichia coli CyaA with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  250675	   21146	    2547	   96.90	  100.00	   96.90	  100.00	   34.53	193815.91	1.0e-26
CARD|AAA88675.1 ErmF [Bacteroides fragilis]	  203460	    6660	     801	   98.75	  100.00	   98.75	  100.00	  264.49	184323.30	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	  242766	   10210	    1230	   99.51	  100.00	   99.51	  100.00	  202.42	213782.52	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	   79092	    6874	     822	   98.05	  100.00	   98.05	  100.00	  102.08	60667.67	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	  279205	   25825	    3114	   98.39	  100.00	   98.39	  100.00	   94.29	210474.69	1.0e-26
CARD|AAG03357.1 ErmX [Corynebacterium striatum]	    2226	    6395	     762	   95.14	   96.46	   98.64	  103.67	    3.13	 2016.08	1.0e-26
