#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  669597	  153555	    2637	   87.26	   97.72	   89.29	  102.33	  351.31	323511.00	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	 1391728	  181021	    3123	   97.57	  100.00	   97.57	  100.00	  522.30	932005.19	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	  559272	   47517	     816	   99.26	  100.00	   99.26	  100.00	  701.19	431602.77	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 8143989	   85318	    1542	   99.03	  100.00	   99.03	  100.00	 5672.78	7891570.51	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  381617	   89166	    1529	   87.05	   98.69	   88.20	  101.33	  385.30	181669.52	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  187400	   75143	    1287	  100.00	  100.00	  100.00	  100.00	  145.97	47998.02	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	   98116	   53272	     912	  100.00	  100.00	  100.00	  100.00	  107.90	13283.60	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	37418106	  128028	    2904	   97.62	  100.10	   97.52	   99.90	14374.56	37035767.19	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1205960	  169798	    2926	   81.41	   90.67	   89.79	  110.29	  595.52	780390.97	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  640603	   69502	    1194	  100.00	  100.00	  100.00	  100.00	  595.43	459305.71	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  451223	   60144	    1032	   99.90	  100.00	   99.90	  100.00	  439.55	299085.90	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1642111	   99941	    1728	   97.16	  100.00	   97.16	  100.00	 1090.13	1365221.39	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	 1398086	  180491	    3114	   99.97	  100.00	   99.97	  100.00	  457.01	939159.84	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	  869504	  101676	    1749	   98.80	  100.00	   98.80	  100.00	  558.39	607053.30	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	  755669	   85337	    1467	  100.00	  100.00	  100.00	  100.00	  516.17	534292.42	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	   55613	   28391	     486	  100.00	  100.00	  100.00	  100.00	  114.80	 8820.93	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	 2094968	  181735	    3150	   98.19	  100.00	   98.19	  100.00	  783.35	1607789.55	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  116069	   89264	    1528	   72.77	   83.18	   87.49	  120.22	  114.94	 3499.05	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	    9556	   29101	     498	  100.00	  100.00	  100.00	  100.00	   19.26	 9882.48	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 3036787	  166473	    2904	   82.71	   92.98	   88.96	  107.56	 1442.71	2571972.87	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1133160	   80770	    1392	   96.91	  100.07	   96.84	   99.93	  980.51	912345.06	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  308443	   89676	    1537	   73.85	   85.30	   86.58	  117.24	  290.09	120211.45	1.0e-26
CARD|AFB82783.1 OXA-1 [Klebsiella pneumoniae]	  322599	   48467	     831	  100.00	  100.00	  100.00	  100.00	  388.96	202519.41	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	 1366087	  178440	    3078	   98.12	  100.00	   98.12	  100.00	  525.58	913227.46	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  957267	   89583	    1542	   94.75	   96.17	   98.52	  103.98	  707.56	719179.91	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	  341774	   46361	     795	  100.00	  100.00	  100.00	  100.00	  430.58	224841.04	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	  194526	   48508	     831	  100.00	  100.00	  100.00	  100.00	  234.40	87729.01	1.0e-26
CARD|AAK52606.1 cmlA6 [Pseudomonas aeruginosa]	  790963	   73273	    1260	   99.84	  100.00	   99.84	  100.00	  630.25	595992.24	1.0e-26
CARD|CDJ73082 Escherichia coli CyaA with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1908617	  147094	    2547	   91.79	  100.00	   91.79	  100.00	  501.81	1509434.25	1.0e-26
CARD|AAM77075.1 cmlA5 [uncultured bacterium]	  168528	   73575	    1260	   95.56	   95.63	   99.92	  104.56	  134.10	37240.38	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	  757239	   71544	    1230	   95.37	  100.08	   95.29	   99.92	  733.93	567310.87	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	   44574	   32075	     549	   99.64	  100.00	   99.64	  100.00	   81.95	 2038.11	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	  491123	   47888	     822	   99.88	  100.00	   99.88	  100.00	  665.03	364474.97	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	 1431881	  180450	    3114	   99.97	  100.00	   99.97	  100.00	  490.14	971311.96	1.0e-26
CARD|ACS44716.1 dfrA7 [Acinetobacter baumannii]	   11374	   27698	     474	   82.07	   93.25	   88.01	  107.24	   43.40	 6820.45	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	  293753	   38673	     663	  100.00	  100.00	  100.00	  100.00	  443.63	195728.54	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	  458844	   71860	    1233	   98.38	  100.00	   98.38	  100.00	  402.30	282184.48	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	   40595	   42771	     732	   94.67	  100.00	   94.67	  100.00	   66.80	   56.80	1.0e-13
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	  983215	  119215	    2052	  100.00	  100.00	  100.00	  100.00	  482.46	677135.50	1.0e-26
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	  399109	   45993	     789	   99.87	  100.00	   99.87	  100.00	  556.20	280138.32	1.0e-26
CARD|YP_005226137.1 Klebsiella pneumoniae OmpK35 [Klebsiella pneumoniae subsp. pneumoniae HS11286]	  119466	   39944	     684	   95.03	  100.15	   94.89	   99.85	  204.23	39668.56	1.0e-26
CARD|NP_708834.1 Shigella flexneri parC conferring resistance to fluoroquinolones [Shigella flexneri 2a str. 301]	  138758	  131986	    2259	   84.42	   96.81	   87.20	  103.29	  101.43	  169.36	1.0e-26
CARD|AAD12753.1 tet(J) [Proteus mirabilis]	  495921	   69744	    1197	   98.91	  100.00	   98.91	  100.00	  426.44	321085.47	1.0e-26
CARD|NP_414997.1 Escherichia coli acrR with mutation conferring multidrug antibiotic resistance [Escherichia coli str. K-12 substr. MG1655]	  303517	   37796	     648	  100.00	  100.00	  100.00	  100.00	  501.95	206870.34	1.0e-26
CARD|BAE77933.1 CRP [Escherichia coli str. K-12 substr. W3110]	  484776	   36876	     633	   97.79	  100.00	   97.79	  100.00	  910.88	384573.00	1.0e-26
CARD|AAC76055.1 Escherichia coli parC conferring resistance to fluoroquinolone [Escherichia coli str. K-12 substr. MG1655]	 1270592	  131002	    2259	   99.87	  100.00	   99.87	  100.00	  614.90	926562.44	1.0e-26
CARD|NP_463130.1 Salmonella serovars soxS with mutation conferring antibiotic resistance [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   16668	   18931	     324	   75.31	   89.20	   84.43	  112.11	   85.42	  143.92	1.0e-26
CARD|AMQ12811.1 FosA6 [Escherichia coli]	   85300	   24530	     420	   93.57	  100.00	   93.57	  100.00	  245.19	33623.76	1.0e-26
CARD|WP_001206316.1 aadA [Bacteria]	  149654	   46244	     792	   98.99	   99.24	   99.75	  100.76	  189.29	54586.74	1.0e-26
CARD|AAC75291.1 Escherichia coli gyrA with mutation conferring resistance to triclosan [Escherichia coli str. K-12 substr. MG1655]	 1473458	  152217	    2628	   99.47	  100.00	   99.47	  100.00	  615.62	1073816.09	1.0e-26
CARD|NP_418574.1 Escherichia coli ampC [Escherichia coli str. K-12 substr. MG1655]	  565693	   66041	    1134	  100.00	  100.00	  100.00	  100.00	  499.71	395184.99	1.0e-26
CARD|AFK58562.1 Enterococcus faecium liaR mutant conferring daptomycin resistance [Enterococcus faecium DO]	   83826	   36974	     633	  100.00	  100.00	  100.00	  100.00	  132.65	18170.95	1.0e-26
CARD|YP_490321.1 baeR [Escherichia coli str. K-12 substr. W3110]	  326905	   42165	     723	   99.45	  100.00	   99.45	  100.00	  515.54	219677.94	1.0e-26
CARD|AAG16656.1 floR [Escherichia coli]	 1825864	   70171	    1215	   99.84	  100.00	   99.84	  100.00	 1514.08	1625737.59	1.0e-26
CARD|ALL09868.1 Enterococcus faecium cls conferring resistance to daptomycin [Enterococcus faecium]	  134278	   84812	    1452	   99.93	  100.00	   99.93	  100.00	   92.89	11168.32	1.0e-26
CARD|AKN19287.1 AAC(6')-Ib7 [Salmonella enterica subsp. enterica serovar Corvallis]	  435688	   57118	     980	   93.47	   95.82	   97.55	  104.37	  478.01	290814.07	1.0e-26
CARD|ABR76005.1 Klebsiella pneumoniae ramR mutants [Klebsiella pneumoniae subsp. pneumoniae MGH 78578]	  162547	   33977	     582	   97.77	  100.00	   97.77	  100.00	  299.98	84112.68	1.0e-26
CARD|BAA15934.1 baeS [Escherichia coli str. K-12 substr. W3110]	  675031	   81714	    1404	   97.86	  100.00	   97.86	  100.00	  542.96	465181.54	1.0e-26
CARD|AAA65954.1 vanSA [Enterococcus faecium]	  461447	   67311	    1155	  100.00	  100.00	  100.00	  100.00	  400.42	293788.62	1.0e-26
CARD|YP_006965431.1 catB3 [Enterobacter cloacae]	  487846	   36876	     633	  100.00	  100.00	  100.00	  100.00	  772.05	387583.83	1.0e-26
