#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	 3847885	   25712	    3228	   87.98	   96.41	   91.26	  103.73	 1500.37	3771428.88	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	 1006817	    8454	     975	  100.00	  100.00	  100.00	  100.00	 1034.68	981734.52	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	 5326052	   16448	    2166	  100.00	  100.00	  100.00	  100.00	 2464.06	5276910.23	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	 3678656	   15874	    1983	   99.24	   99.29	   99.95	  100.71	 1861.15	3631304.47	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	 8624267	   21855	    3228	   98.73	  100.00	   98.73	  100.00	 2922.41	8558921.11	1.0e-26
VFDB|VFG000935 salmochelin receptor IroN [Escherichia coli CFT073]	   87209	   19393	    2178	   79.16	   86.59	   91.41	  115.48	   54.75	43141.63	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	   69256	    9271	    1041	   81.75	   94.52	   86.48	  105.79	  100.97	45820.73	1.0e-26
VFDB|VFG012501 esterase [Escherichia coli CFT073]	   80091	    8520	     957	   87.15	  100.00	   87.15	  100.00	  130.10	57807.06	1.0e-26
VFDB|VFG012505 esterase [Escherichia coli CFT073]	   80439	   10951	    1230	   87.72	  100.00	   87.72	  100.00	   97.90	52833.78	1.0e-26
VFDB|VFG012509 ATP binding cassette transporter [Escherichia coli CFT073]	  146674	   33240	    3738	   72.23	   81.01	   89.17	  123.45	   54.61	71517.48	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    2815	    5674	     636	   99.84	  100.00	   99.84	  100.00	    4.45	  963.02	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    2520	    8886	     996	   96.89	   97.49	   99.38	  102.57	    2.59	 3553.81	1.0e-26
VFDB|VFG043625 fimbrial biogenesis outer membrane usher protein mrkC precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   12654	   22192	    2487	   95.74	   96.14	   99.58	  104.02	    5.14	 2611.01	1.0e-26
VFDB|VFG043626 fimbrial chaperone protein mrkB precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    4132	    6262	     702	  100.00	  100.00	  100.00	  100.00	    5.93	  436.84	1.0e-26
VFDB|VFG043627 type 3 fimbrial major pilin subunit MrkA [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3042	    5433	     609	   89.00	   89.66	   99.27	  111.54	    5.14	  674.70	1.0e-26
VFDB|VFG044322 siderophore esterase IroE [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1156	    8351	     936	   75.85	   76.39	   99.30	  130.91	    1.26	 5446.00	1.0e-26
VFDB|VFG044334 salmochelin receptor IroN [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  330662	   19233	    2175	   93.56	   98.25	   95.23	  101.78	  174.54	277189.27	1.0e-26
VFDB|VFG044335 glucosyltransferase IroB [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  152257	    9916	    1116	   92.03	  100.00	   92.03	  100.00	  175.27	124933.75	1.0e-26
VFDB|VFG044336 ABC transporter [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	  496719	   32543	    3696	   92.21	   99.46	   92.71	  100.54	  164.26	407093.00	1.0e-26
VFDB|VFG044337 siderophore esterase IroD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	   52043	   10960	    1230	   87.89	  100.00	   87.89	  100.00	   66.80	26788.93	1.0e-26
VFDB|VFG048237 tyrosine recombinase [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1098	    5433	     609	   80.79	   81.61	   98.99	  122.54	    1.87	 2877.91	1.0e-26
VFDB|VFG048247 type 1 major fimbrial subunit precursor [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1901	    4898	     549	   93.44	   93.99	   99.42	  106.40	    3.57	 1321.13	1.0e-26
VFDB|VFG048257 type 1 pilus biosynthesis fimbrial protein [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1198	    5674	     636	   89.31	   89.94	   99.30	  111.19	    1.93	 2915.84	1.0e-26
VFDB|VFG048267 periplasmic chaperone [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1478	    6477	     726	   86.50	   86.91	   99.52	  115.06	    2.06	 3141.94	1.0e-26
VFDB|VFG048277 outer membrane usher protein  [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    6798	   23616	    2646	   92.40	   92.74	   99.63	  107.82	    2.60	 9300.03	1.0e-26
VFDB|VFG048287 type 1 fimbrial minor component [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	     506	    4737	     531	   70.81	   71.37	   99.21	  140.11	    0.98	 3414.96	1.0e-26
