#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  421569	   47466	    2637	   88.66	  100.00	   88.66	  100.00	  222.15	298384.38	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   11603	   26970	    1486	   81.70	   92.26	   88.55	  108.39	   11.34	 6122.52	1.0e-26
CARD|AFK13828.1 ramA [Enterobacter cloacae]	    5049	    6804	     375	   81.60	   93.07	   87.68	  107.45	   21.29	  259.92	1.0e-26
CARD|AIA49384.1 Serratia marcescens Omp1 [Serratia sp. FS14]	   52563	   21595	    1191	   72.63	   86.90	   83.57	  115.07	   72.08	12931.74	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	   80841	    8750	     483	   99.79	  100.00	   99.79	  100.00	  169.01	58008.94	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   51943	   27727	    1529	   86.53	   96.40	   89.76	  103.73	   53.33	 7359.88	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  250990	   23238	    1287	  100.00	  100.00	  100.00	  100.00	  195.93	189151.31	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  375088	   16421	     912	  100.00	  100.00	  100.00	  100.00	  413.29	328578.57	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	10998301	   40450	    2904	   96.80	  100.03	   96.76	   99.97	 4229.53	10877541.46	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1426112	   51542	    2926	   89.99	   99.04	   90.86	  100.97	  647.33	1278676.20	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  442376	   18556	    1032	   99.90	  100.00	   99.90	  100.00	  431.98	389695.03	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  465504	   31064	    1728	   90.68	  100.00	   90.68	  100.00	  353.74	380084.86	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  124142	    8796	     486	  100.00	  100.00	  100.00	  100.00	  256.42	100080.93	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  295570	   56864	    3150	   83.68	   97.49	   85.84	  102.57	  152.64	161676.46	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  151195	   27651	    1528	   74.74	   84.75	   88.19	  117.99	  142.16	85341.43	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	   66368	    9024	     498	  100.00	  100.00	  100.00	  100.00	  133.93	43614.95	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 2010359	   50501	    2904	   91.63	  100.03	   91.60	   99.97	  895.45	1863805.68	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  224557	   25149	    1392	   81.97	   94.68	   86.57	  105.61	  250.30	159239.90	1.0e-26
