#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  930956	   13740	    3228	   85.41	   93.53	   91.32	  106.92	  363.60	890534.07	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	  240336	    4316	     975	  100.00	  100.00	  100.00	  100.00	  247.23	227691.83	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	 1260083	    9039	    2166	  100.00	  100.00	  100.00	  100.00	  583.46	1233223.11	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  835439	    8485	    1983	   98.69	   98.74	   99.95	  101.28	  423.00	810323.29	1.0e-26
VFDB|VFG045632 Collagen binding MSCRAMM, EcbA [Enterococcus faecium DO]	 2364205	   12582	    3228	   99.50	  100.00	   99.50	  100.00	  792.64	2326722.53	1.0e-26
VFDB|VFG000863 heat-stable enterotoxin 1 [Escherichia coli O44:H18 042]	    1903	     524	     117	   91.45	  100.00	   91.45	  100.00	   21.83	  782.35	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	  327281	    9875	    2241	   96.79	  100.00	   96.79	  100.00	  163.29	298812.50	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	  170930	    4253	     957	   97.28	  100.00	   97.28	  100.00	  196.54	158583.56	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	  132454	    3634	     816	   96.94	  100.00	   96.94	  100.00	  181.14	121939.49	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	  157551	    4523	    1017	   92.82	   96.95	   95.74	  103.14	  176.14	144486.10	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	  148970	    4418	     993	   94.76	  100.00	   94.76	  100.00	  175.46	136223.21	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  246308	    3411	     771	   94.03	  100.00	   94.03	  100.00	  461.74	236258.95	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	  570512	   16877	    3882	   95.05	   99.41	   95.62	  100.60	  168.75	521820.34	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	  188101	    5274	    1188	   97.56	  100.00	   97.56	  100.00	  172.87	172851.61	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	  252996	    7127	    1611	   95.90	  100.00	   95.90	  100.00	  181.80	232393.81	1.0e-26
VFDB|VFG000933 isochorismatase [Escherichia coli CFT073]	  146459	    3818	     858	   97.44	  100.00	   97.44	  100.00	  190.34	135392.08	1.0e-26
VFDB|VFG001443 outer membrane protein A [Escherichia coli O18:K1:H7 str. RS218]	  170336	    4626	    1041	   95.68	  101.15	   94.59	   98.86	  198.67	156945.21	1.0e-26
VFDB|VFG002412 E. coli common pilus chaperone EcpB [Escherichia coli O157:H7 str. EDL933]	  125717	    2980	     669	   98.65	  100.00	   98.65	  100.00	  205.21	117051.43	1.0e-26
VFDB|VFG002413 regulator protein EcpR [Escherichia coli O157:H7 str. EDL933]	  100523	    2636	     591	   97.63	  100.00	   97.63	  100.00	  187.58	92882.41	1.0e-26
VFDB|VFG002414 E. coli common pilus structural subunit EcpA [Escherichia coli O157:H7 str. EDL933]	  105891	    2622	     588	   99.32	  100.00	   99.32	  100.00	  189.97	98276.89	1.0e-26
VFDB|VFG002415 E. coli common pilus usher EcpC [Escherichia coli O157:H7 str. EDL933]	  477271	   11037	    2526	   98.65	  100.00	   98.65	  100.00	  202.38	445157.71	1.0e-26
VFDB|VFG002416 polymerized tip adhesin of ECP fibers [Escherichia coli O157:H7 str. EDL933]	  295012	    7256	    1644	   98.60	  100.00	   98.60	  100.00	  194.11	273939.02	1.0e-26
VFDB|VFG002417 E. coli common pilus chaperone EcpE [Escherichia coli O157:H7 str. EDL933]	  120414	    3369	     756	   96.56	  100.00	   96.56	  100.00	  182.43	110673.10	1.0e-26
VFDB|VFG034754 Type III secretion system effector espL1 [Escherichia coli O157:H7 str. EDL933]	  268729	    8395	    1899	   94.84	  100.00	   94.84	  100.00	  166.01	244560.71	1.0e-26
VFDB|VFG034772 Type III secretion system effector EspL4 [Escherichia coli O157:H7 str. EDL933]	  283965	    9660	    2187	   71.42	   74.94	   95.30	  133.44	  146.91	256254.13	1.0e-26
VFDB|VFG034815 Type III secretion system effector espR1 [Escherichia coli O157:H7 str. EDL933]	  125442	    5614	    1260	   81.43	   88.02	   92.52	  113.62	  120.80	109560.54	1.0e-26
VFDB|VFG034849 Type III secretion system effector EspX1 [Escherichia coli O157:H7 str. EDL933]	  152010	    6327	    1422	   94.44	  100.00	   94.44	  100.00	  124.65	134039.74	1.0e-26
VFDB|VFG034866 Type III secretion system effector EspX4 [Escherichia coli O157:H7 str. EDL933]	  217605	    7009	    1581	   93.04	  100.00	   93.04	  100.00	  172.56	197452.79	1.0e-26
VFDB|VFG034873 Type III secretion system effector EspX5 [Escherichia coli O157:H7 str. EDL933]	  189507	    5740	    1293	   95.59	  100.00	   95.59	  100.00	  170.29	172959.48	1.0e-26
VFDB|VFG044159 enterobactin/ferric enterobactin esterase [Escherichia coli CFT073]	  186159	    5342	    1203	   96.76	  100.00	   96.76	  100.00	  171.33	170728.53	1.0e-26
VFDB|VFG044165 enterobactin exporter, iron-regulated [Escherichia coli CFT073]	  198231	    5551	    1251	   95.52	  100.00	   95.52	  100.00	  182.74	182181.05	1.0e-26
