#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	    6320	    6037	    3123	   90.27	   93.05	   97.01	  107.47	    2.23	    6.44	1.1e-02
CARD|AAM09852.1 vanXD [Enterococcus faecium]	    1272	    1177	     609	   73.23	   82.76	   88.49	  120.83	    2.91	    3.65	5.6e-02
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   39871	    2934	    1529	   79.46	   90.97	   87.35	  109.92	   41.06	31872.17	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    2950	    1762	     912	   94.30	   94.85	   99.42	  105.43	    3.26	  299.02	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	   75947	    5536	    2904	   98.59	  100.00	   98.59	  100.00	   28.61	60843.32	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	  900682	    4648	    2926	   83.19	   93.23	   89.22	  107.26	  416.71	886830.98	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   35588	    2888	    1504	   79.19	   89.63	   88.35	  111.57	   40.50	27788.72	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    3624	    2307	    1194	   93.72	   94.72	   98.94	  105.57	    3.14	  291.99	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    2587	    1995	    1032	   97.38	   97.87	   99.50	  102.18	    2.54	   76.47	1.0e-17
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    4665	    3340	    1728	   94.04	   94.62	   99.39	  105.69	    2.78	  219.28	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	    7341	    6019	    3114	   82.85	   84.43	   98.14	  118.45	    2.51	  130.78	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    3577	    3381	    1749	   83.76	   84.79	   98.79	  117.94	    2.11	    5.50	1.9e-02
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    4033	    2835	    1467	   94.75	   98.16	   96.53	  101.88	    3.05	  208.71	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	    1080	     939	     486	   88.48	   88.48	  100.00	  113.02	    2.22	    9.76	1.8e-03
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	    8518	    6087	    3150	   87.71	   88.92	   98.64	  112.46	    2.86	  404.50	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  231437	    2819	    1528	   80.76	   92.28	   87.52	  108.37	  206.27	223112.98	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	    6942	    2358	    1221	   99.18	  100.08	   99.10	   99.92	    5.82	 2258.76	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 1494029	    3950	    2904	   94.77	  100.00	   94.77	  100.00	  655.05	1482219.58	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    3412	    2690	    1392	   89.01	   91.02	   97.79	  109.87	    2.60	   85.19	1.0e-19
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	    6568	    5950	    3078	   83.69	   86.55	   96.70	  115.54	    2.41	   30.47	3.4e-08
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  196849	    2866	    1542	   94.88	   99.74	   95.12	  100.26	  164.42	188414.61	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	    1924	    1536	     795	   97.86	   97.99	   99.87	  102.05	    2.42	   43.28	5.6e-10
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	    1340	    1606	     831	   81.59	   81.59	  100.00	  122.57	    1.61	   24.15	8.9e-07
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	    1573	    2378	    1230	   76.83	   77.89	   98.64	  128.39	    1.35	  164.20	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	    3268	    1060	     549	   98.72	  100.00	   98.72	  100.00	    6.17	 1125.18	1.0e-26
CARD|AAS13767.1 Mrx [Aeromonas hydrophila]	    4994	    2394	    1239	   95.88	   95.88	  100.00	  104.29	    4.05	  914.76	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	    2930	    1588	     822	   95.74	   98.91	   96.80	  101.11	    3.87	  398.03	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	    9346	    6016	    3114	   95.47	   96.82	   98.61	  103.28	    3.18	  721.48	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	    1989	    1281	     663	   97.59	  100.00	   97.59	  100.00	    3.24	  152.96	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	    2105	    2384	    1233	   81.27	   83.62	   97.19	  119.59	    1.88	   17.35	3.1e-05
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	    2636	    1414	     732	   93.03	   98.22	   94.71	  101.81	    4.31	  368.06	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	    4699	    3966	    2052	   90.01	   93.27	   96.50	  107.21	    2.57	   61.86	1.0e-14
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	    1501	    1525	     789	   86.06	   86.69	   99.27	  115.35	    1.95	    0.20	6.6e-01
CARD|AEA37904.1 lsaC [Streptococcus agalactiae]	    1662	    2860	    1479	   70.05	   70.32	   99.62	  142.21	    1.16	  317.49	1.0e-26
CARD|AAM09851.1 vanRD [Enterococcus faecium]	    2819	    1351	     699	   78.54	   83.55	   94.01	  119.69	    4.92	  516.73	1.0e-26
CARD|NP_414997.1 Escherichia coli acrR with mutation conferring multidrug antibiotic resistance [Escherichia coli str. K-12 substr. MG1655]	    1985	    1252	     648	   94.29	   94.75	   99.51	  105.54	    3.13	  165.64	1.0e-26
CARD|BAE77933.1 CRP [Escherichia coli str. K-12 substr. W3110]	     789	    1223	     633	   78.36	   79.15	   99.00	  126.35	    1.27	   93.99	1.0e-21
CARD|WP_023063803.1 mphA [Enterobacteriaceae]	    4302	    1768	     915	  100.00	  100.00	  100.00	  100.00	    4.71	 1057.64	1.0e-26
CARD|NP_418574.1 Escherichia coli ampC [Escherichia coli str. K-12 substr. MG1655]	    3929	    2191	    1134	   97.27	   99.21	   98.04	  100.80	    3.67	  493.07	1.0e-26
CARD|AFK58562.1 Enterococcus faecium liaR mutant conferring daptomycin resistance [Enterococcus faecium DO]	    2907	    1223	     633	  100.00	  100.00	  100.00	  100.00	    4.60	  686.20	1.0e-26
CARD|YP_490321.1 baeR [Escherichia coli str. K-12 substr. W3110]	    1657	    1397	     723	   94.88	   98.06	   96.76	  101.97	    2.58	   21.99	2.7e-06
CARD|ALL09868.1 Enterococcus faecium cls conferring resistance to daptomycin [Enterococcus faecium]	    5917	    2805	    1452	   93.11	   97.80	   95.21	  102.25	    4.67	 1109.84	1.0e-26
CARD|AAA65954.1 vanSA [Enterococcus faecium]	    3165	    2232	    1155	   93.07	   93.16	   99.91	  107.34	    2.75	  161.03	1.0e-26
CARD|AAA65953.1 vanRA [Enterococcus faecium]	    1326	    1345	     696	   90.09	   91.09	   98.90	  109.78	    1.96	    0.14	7.0e-01
CARD|BAB38442 Escherichia coli LamB [Escherichia coli O157:H7 str. Sakai]	    5439	    2591	    1341	   95.97	   97.91	   98.02	  102.13	    4.31	 1009.87	1.0e-26
CARD|APB87301 porin OmpC [Escherichia coli]	    1251	    2134	    1104	   70.47	   75.27	   93.62	  132.85	    1.44	  230.74	1.0e-26
CARD|AAC76298.1 acrF [Escherichia coli str. K-12 substr. MG1655]	   10601	    5997	    3105	   93.40	   95.88	   97.41	  104.30	    3.70	 1276.54	1.0e-26
