#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  603221	   12811	    1486	   82.71	   94.75	   87.29	  105.54	  615.19	565852.94	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	   36792	   27622	    3123	   98.37	  100.00	   98.37	  100.00	   12.44	 1305.29	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	  513222	   13347	    1542	   94.49	  100.19	   94.30	   99.81	  464.16	474532.14	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  502614	   13241	    1529	   89.27	  100.33	   88.98	   99.67	  488.08	464249.38	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    3090	    8071	     912	   93.31	   93.42	   99.88	  107.04	    3.41	 2223.28	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  436177	   25236	    2904	   98.35	  100.03	   98.31	   99.97	  178.76	365988.05	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1443473	   24293	    2926	   82.13	   91.97	   89.30	  108.73	  667.37	1372201.64	1.0e-26
CARD|NR_114659.1_1_1441 Mycobacterium chelonae 16S rRNA mutation conferring resistance to kanamycin A [Mycobacterium]	  198052	   12647	    1441	   72.59	   83.69	   86.73	  119.49	  218.29	163145.54	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	   15878	   10562	    1194	   99.83	  100.00	   99.83	  100.00	   13.37	 1068.59	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	    4777	    9133	    1032	   91.38	   91.47	   99.89	  109.32	    4.66	 1364.25	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	    4337	   15270	    1725	   87.65	   92.23	   95.03	  108.42	    3.04	 6096.90	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   22286	   15285	    1728	   99.71	  100.00	   99.71	  100.00	   13.04	 1304.42	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	   48894	   27528	    3114	   98.52	  100.00	   98.52	  100.00	   16.54	 5973.30	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	   24207	   15469	    1749	   99.03	  100.00	   99.03	  100.00	   14.36	 1923.94	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	   21565	   12975	    1467	   98.23	  100.00	   98.23	  100.00	   15.56	 2135.89	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	    1278	    4300	     486	   97.74	   97.74	  100.00	  102.32	    2.63	 1637.93	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	   46401	   27849	    3150	   99.11	  100.00	   99.11	  100.00	   15.14	 4634.84	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	 1257619	   12788	    1528	   84.16	   94.96	   88.63	  105.31	 1133.70	1219767.72	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  259263	   10687	    1221	   99.84	  100.00	   99.84	  100.00	  215.13	228893.95	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	   53779	   16961	    1920	   80.73	   83.49	   96.69	  119.78	   30.47	19161.69	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 8840509	   15838	    2904	   96.32	   99.93	   96.38	  100.07	 3527.90	8793105.31	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   28223	   12308	    1392	   99.43	  100.00	   99.43	  100.00	   20.69	 6248.81	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  218245	   13478	    1537	   79.57	   90.63	   87.80	  110.34	  223.60	180944.40	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	   36057	   27224	    3078	   98.90	  100.00	   98.90	  100.00	   12.14	 1232.68	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	   52537	    4370	     495	   98.99	  100.00	   98.99	  100.00	  109.65	40767.44	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	    1496	    7036	     795	   75.60	   75.60	  100.00	  132.28	    1.89	 3597.38	1.0e-26
CARD|AJD73064.1 RlmA(II) [Streptococcus pneumoniae]	    1400	    7514	     849	   81.27	   89.63	   90.67	  111.56	    2.45	 4193.77	1.0e-26
CARD|CDJ73082 Escherichia coli CyaA with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   45730	   22514	    2547	   98.63	   99.65	   98.98	  100.35	    5.99	 7897.79	1.0e-26
CARD|AET10445.1 tetB(46) [Streptococcus australis]	    3409	   15377	    1737	   84.57	   89.06	   94.96	  112.28	    2.39	 7625.02	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	   11159	   10883	    1230	   99.19	  100.00	   99.19	  100.00	    9.30	    3.45	6.3e-02
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	   10878	    7272	     822	   98.54	  100.00	   98.54	  100.00	   13.77	  716.33	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	   47708	   27529	    3114	   99.04	  100.00	   99.04	  100.00	   15.83	 5411.69	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	   11070	    5865	     663	   99.40	  100.00	   99.40	  100.00	   17.07	 1599.65	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	   12715	   10909	    1233	   96.84	  100.00	   96.84	  100.00	   11.25	  138.03	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	   37148	   18141	    2052	   98.39	  100.00	   98.39	  100.00	   19.10	 6533.42	1.0e-26
CARD|KKE03230.1 FosA7 [Salmonella enterica subsp. enterica serovar Heidelberg]	    4279	    3742	     423	   94.09	  100.00	   94.09	  100.00	   11.83	   35.84	2.6e-09
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	    7117	    6981	     789	   99.62	  100.00	   99.62	  100.00	    9.18	    1.31	2.5e-01
CARD|AAM09851.1 vanRD [Enterococcus faecium]	    1229	    6186	     699	   82.55	   88.98	   92.77	  112.38	    2.30	 3314.12	1.0e-26
CARD|NP_708834.1 Shigella flexneri parC conferring resistance to fluoroquinolones [Shigella flexneri 2a str. 301]	   25914	   19983	    2259	   94.29	   94.56	   99.72	  105.76	   11.57	  766.33	1.0e-26
CARD|NP_414997.1 Escherichia coli acrR with mutation conferring multidrug antibiotic resistance [Escherichia coli str. K-12 substr. MG1655]	   10535	    5732	     648	   99.54	  100.00	   99.54	  100.00	   16.52	 1417.76	1.0e-26
CARD|BAE77933.1 CRP [Escherichia coli str. K-12 substr. W3110]	    9261	    5600	     633	   99.21	  100.00	   99.21	  100.00	   15.08	  901.81	1.0e-26
CARD|AAC75291.1 Escherichia coli gyrA with mutation conferring resistance to triclosan [Escherichia coli str. K-12 substr. MG1655]	   22101	   23254	    2628	   89.42	   90.14	   99.20	  110.93	    8.56	   29.35	6.1e-08
