#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002274 phospholipase C [Clostridium perfringens str. 13]	    3795	     348	    1197	   97.49	   98.25	   99.23	  101.79	    3.25	 2866.76	1.0e-26
VFDB|VFG002275 perfringolysin O [Clostridium perfringens str. 13]	    1767	     438	    1503	   78.58	   80.24	   97.93	  124.63	    1.30	  800.43	1.0e-26
VFDB|VFG002276 collagenase [Clostridium perfringens str. 13]	   11509	     959	    3315	   93.15	   94.42	   98.66	  105.91	    3.65	 8926.48	1.0e-26
VFDB|VFG002277 hyaluronidase [Clostridium perfringens str. 13]	   11928	    1414	    4887	   94.35	   95.23	   99.08	  105.01	    2.52	 8285.08	1.0e-26
VFDB|VFG002278 hyaluronidase [Clostridium perfringens str. 13]	    8914	    1129	    3894	   79.84	   80.48	   99.20	  124.25	    2.35	 6033.67	1.0e-26
VFDB|VFG002279 hyaluronidase [Clostridium perfringens str. 13]	    4752	     874	    3006	   81.87	   82.97	   98.68	  120.53	    1.68	 2671.55	1.0e-26
VFDB|VFG002280 hyaluronidase [Clostridium perfringens str. 13]	    9914	    1011	    3492	   92.01	   92.75	   99.20	  107.81	    2.94	 7253.19	1.0e-26
VFDB|VFG002282 alpha-clostripain [Clostridium perfringens str. 13]	    3801	     458	    1575	   86.73	   88.44	   98.06	  113.07	    2.58	 2622.73	1.0e-26
VFDB|VFG002283 exo-alpha-sialidase [Clostridium perfringens str. 13]	    6292	     605	    2085	   93.05	   94.24	   98.73	  106.11	    3.14	 4687.29	1.0e-26
VFDB|VFG002284 exo-alpha-sialidase [Clostridium perfringens str. 13]	    7142	    1023	    3522	   84.01	   86.23	   97.43	  115.97	    2.20	 4585.62	1.0e-26
VFDB|VFG002285 sialidase [Clostridium perfringens ATCC 13124]	    2056	     335	    1149	   89.90	   91.99	   97.73	  108.70	    1.98	 1238.72	1.0e-26
VFDB|VFG043510 Enterococcus faecalis surface protein Fss3, fibrinogen binding protein [Enterococcus faecalis V583]	  128273	     839	    3228	   82.71	   90.43	   91.47	  110.59	   50.31	125775.61	1.0e-26
VFDB|VFG043511 cell wall anchored protein SgrA [Enterococcus faecium DO]	   80651	     265	     975	  100.00	  100.00	  100.00	  100.00	   82.96	79859.15	1.0e-26
VFDB|VFG043518 collagen adhesin precursor Acm [Enterococcus faecium str. TX2555]	  206882	     520	    2166	  100.00	  100.00	  100.00	  100.00	   95.86	205325.02	1.0e-26
VFDB|VFG043519 collagen adhesin protein Scm [Enterococcus faecium DO]	  204889	     477	    1983	   98.89	   98.89	  100.00	  101.12	  103.87	203460.32	1.0e-26
VFDB|VFG043623 type 3 fimbrial minor pilin subunit MrkF [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    1762	     185	     636	   99.69	  100.00	   99.69	  100.00	    2.80	 1276.26	1.0e-26
VFDB|VFG043624 fimbrial adhesin protein precursor MrkD [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	    3389	     290	     996	   97.59	   97.79	   99.79	  102.26	    3.47	 2610.29	1.0e-26
