#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   24837	   83385	    2637	   71.14	   79.94	   88.99	  125.09	   12.99	31674.97	1.0e-26
CARD|AFK13828.1 ramA [Enterobacter cloacae]	    1260	   11851	     375	   81.33	   92.80	   87.64	  107.76	    5.38	 8555.47	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	   27001	   15260	     483	   99.79	  100.00	   99.79	  100.00	   56.18	 3261.84	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 2059390	   39668	    1287	  100.00	  100.00	  100.00	  100.00	 1603.01	1943384.57	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	 3951436	   27441	     912	  100.00	  100.00	  100.00	  100.00	 4341.54	3869867.79	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	  789221	   90983	    2904	   96.42	  100.07	   96.35	   99.93	  304.85	553889.40	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 6183287	   85595	    2926	   89.44	   98.12	   91.15	  101.92	 2810.57	5931174.00	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	 4042011	   31017	    1032	   99.90	  100.00	   99.90	  100.00	 3936.87	3949901.93	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   42207	   54611	    1728	   91.15	  100.00	   91.15	  100.00	   30.83	 1589.20	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 2197394	   14949	     486	  100.00	  100.00	  100.00	  100.00	 4530.18	2152950.72	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  841737	   15578	     498	  100.00	  100.00	  100.00	  100.00	 1693.88	796135.22	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 8627747	   82218	    2904	   91.08	  100.17	   90.92	   99.83	 3834.52	8384196.56	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   19049	   43999	    1392	   77.66	   89.30	   86.97	  111.99	   21.54	 9873.49	1.0e-26
