#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	  127722	  105181	    2637	   89.46	  100.04	   89.42	   99.96	   67.05	 2181.41	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   67363	   59280	    1486	   84.72	   96.50	   87.80	  103.63	   70.38	  515.87	1.0e-26
CARD|AFK13828.1 ramA [Enterobacter cloacae]	     512	   14962	     375	   70.40	   84.00	   83.81	  119.05	    2.44	13494.69	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	 1873276	  122490	    3123	   97.69	  100.00	   97.69	  100.00	  646.88	1535874.93	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	  100849	   32533	     816	   99.26	  100.00	   99.26	  100.00	  126.69	34989.83	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 5996934	   57996	    1542	   99.68	  100.00	   99.68	  100.00	 3930.18	5825166.06	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	   23699	   19268	     483	   99.79	  100.00	   99.79	  100.00	   49.53	  456.79	1.0e-26
CARD|AKA86814 optrA [Enterococcus faecalis]	    3830	   78571	    1968	   93.24	   93.39	   99.84	  107.07	    1.96	67793.18	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   80245	   60989	    1529	   83.13	   93.46	   88.94	  107.00	   84.40	 2625.37	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  157697	   51292	    1287	  100.00	  100.00	  100.00	  100.00	  122.97	54173.99	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  256990	   36307	     912	  100.00	  100.00	  100.00	  100.00	  282.85	166045.89	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	16397824	   97650	    2904	   99.35	   99.97	   99.38	  100.03	 5904.74	16107185.38	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	  755578	  116014	    2926	   82.64	   91.15	   90.66	  109.71	  353.85	469303.10	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   28119	   60021	    1504	   70.41	   81.12	   86.80	  123.28	   29.61	11547.08	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  831132	   47275	    1194	  100.00	  100.00	  100.00	  100.00	  704.50	699483.25	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  347360	   41050	    1032	   99.90	  100.00	   99.90	  100.00	  338.90	241562.38	1.0e-26
CARD|CAJ19618.1 OKP-B-9 [Klebsiella pneumoniae]	    1902	   34360	     861	   88.50	   88.97	   99.48	  112.40	    2.24	29053.90	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1311118	   68113	    1728	  100.00	  100.00	  100.00	  100.00	  788.90	1120232.81	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	 2047739	  121928	    3114	   99.97	  100.00	   99.97	  100.00	  667.36	1709362.02	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	 1090421	   69090	    1749	  100.00	  100.00	  100.00	  100.00	  633.86	899617.19	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	 1123874	   57925	    1467	  100.00	  100.00	  100.00	  100.00	  775.71	961454.61	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	  139708	   19366	     486	  100.00	  100.00	  100.00	  100.00	  288.53	91039.04	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	 2121034	  123250	    3150	  100.00	  100.00	  100.00	  100.00	  697.46	1778356.50	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	    1544	   48734	    1221	   76.90	   77.31	   99.47	  129.34	    1.28	44292.34	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	   38582	   19864	     498	  100.00	  100.00	  100.00	  100.00	   77.73	 5994.34	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 1305499	  114526	    2904	   91.05	  100.14	   90.92	   99.86	  601.12	998866.10	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1119044	   54964	    1392	  100.00	  100.00	  100.00	  100.00	  837.21	964442.55	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	  168617	   61256	    1537	   75.47	   86.66	   87.09	  115.39	  156.44	50142.33	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	 1784045	  120829	    3078	   98.51	  100.00	   98.51	  100.00	  621.21	1452213.95	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  612210	   61192	    1542	   91.76	   91.83	   99.93	  108.90	  320.49	450875.59	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	  319858	   31628	     795	  100.00	  100.00	  100.00	  100.00	  403.88	236356.02	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	  223399	   33092	     831	  100.00	  100.00	  100.00	  100.00	  269.74	141200.04	1.0e-26
CARD|CAP12352.2 LEN-24 [Klebsiella pneumoniae]	    1699	   34360	     861	   85.95	   85.95	  100.00	  116.35	    1.97	29584.12	1.0e-26
CARD|CDJ73082 Escherichia coli CyaA with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	   40963	  101673	    2547	   87.87	   98.86	   88.88	  101.15	   24.61	25840.30	1.0e-26
CARD|AAA88675.1 ErmF [Bacteroides fragilis]	   25184	   31958	     801	   99.88	  100.00	   99.88	  100.00	   33.48	  803.14	1.0e-26
CARD|WP_001089072.1 tet(A) [Proteobacteria]	    5435	   48133	    1206	   99.92	  100.00	   99.92	  100.00	    4.53	34034.59	1.0e-26
CARD|AAK69828.1 SHV-32 [Klebsiella pneumoniae]	    8537	   34358	     861	  100.00	  100.00	  100.00	  100.00	    9.93	15543.72	1.0e-26
CARD|AAN82549.1 Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin [Escherichia coli CFT073]	  328782	   48939	    1230	   99.11	  100.00	   99.11	  100.00	  283.32	207327.52	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	   67434	   21893	     549	   99.64	  100.00	   99.64	  100.00	  124.57	23217.79	1.0e-26
CARD|AAC76093.1 bacA [Escherichia coli str. K-12 substr. MG1655]	  620223	   32608	     822	   99.88	  100.00	   99.88	  100.00	  773.08	528912.86	1.0e-26
CARD|YP_490697.1 acrD [Escherichia coli str. K-12 substr. W3110]	 2011503	  121971	    3114	  100.00	  100.00	  100.00	  100.00	  659.03	1673480.49	1.0e-26
CARD|AAC76296.1 acrS [Escherichia coli str. K-12 substr. MG1655]	  453905	   26341	     663	  100.00	  100.00	  100.00	  100.00	  690.17	380659.18	1.0e-26
CARD|AFH35853.1 Escherichia coli mdfA [Escherichia coli]	  662159	   48900	    1233	   98.38	  100.00	   98.38	  100.00	  567.97	528909.47	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	   59149	   29195	     732	   94.67	  100.00	   94.67	  100.00	   96.81	10156.12	1.0e-26
CARD|BAE78083.1 mdtO [Escherichia coli str. K-12 substr. W3110]	 1480033	   80761	    2052	  100.00	  100.00	  100.00	  100.00	  729.64	1254464.44	1.0e-26
CARD|AHV80711.1 dfrA8 [Salmonella enterica subsp. enterica serovar Typhimurium]	    2012	   20350	     510	  100.00	  100.00	  100.00	  100.00	    3.97	15038.45	1.0e-26
CARD|NP_415804.1 antibiotic resistant fabI [Escherichia coli str. K-12 substr. MG1655]	  520282	   31329	     789	  100.00	  100.00	  100.00	  100.00	  671.89	433411.76	1.0e-26
CARD|ABB89122.1 dfrA5 [Salmonella enterica subsp. enterica serovar Enteritidis]	   64027	   18902	     474	  100.00	  100.00	  100.00	  100.00	  135.50	24553.93	1.0e-26
CARD|CAP12353.2 OKP-A-11 [Klebsiella pneumoniae]	    1450	   34361	     861	   78.75	   78.75	  100.00	  126.99	    1.68	30245.85	1.0e-26
CARD|YP_005226137.1 Klebsiella pneumoniae OmpK35 [Klebsiella pneumoniae subsp. pneumoniae HS11286]	   45550	   27283	     684	   95.47	  100.15	   95.33	   99.85	   77.24	 4581.04	1.0e-26
CARD|YP_008997281.1 ANT(6)-Ia [Exiguobacterium sp. S3-2]	   62211	   34460	     864	   97.69	   98.15	   99.53	  101.89	   76.63	 7966.01	1.0e-26
CARD|NP_708834.1 Shigella flexneri parC conferring resistance to fluoroquinolones [Shigella flexneri 2a str. 301]	   99400	   90116	    2259	   96.81	  100.00	   96.81	  100.00	   50.41	  454.80	1.0e-26
CARD|NP_414997.1 Escherichia coli acrR with mutation conferring multidrug antibiotic resistance [Escherichia coli str. K-12 substr. MG1655]	  428603	   25751	     648	  100.00	  100.00	  100.00	  100.00	  668.25	357185.46	1.0e-26
CARD|BAE77933.1 CRP [Escherichia coli str. K-12 substr. W3110]	  436547	   25153	     633	   99.84	  100.00	   99.84	  100.00	  722.78	366567.32	1.0e-26
CARD|AAC76055.1 Escherichia coli parC conferring resistance to fluoroquinolone [Escherichia coli str. K-12 substr. MG1655]	 1578875	   88829	    2259	  100.00	  100.00	  100.00	  100.00	  711.36	1331312.36	1.0e-26
CARD|NP_463130.1 Salmonella serovars soxS with mutation conferring antibiotic resistance [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	    2496	   12927	     324	   80.86	   95.68	   84.52	  104.52	   13.17	 7055.20	1.0e-26
CARD|AMQ12811.1 FosA6 [Escherichia coli]	   28313	   16754	     420	   93.57	  100.00	   93.57	  100.00	   81.42	 2964.54	1.0e-26
CARD|AAC75291.1 Escherichia coli gyrA with mutation conferring resistance to triclosan [Escherichia coli str. K-12 substr. MG1655]	 1670836	  103261	    2628	  100.00	  100.00	  100.00	  100.00	  649.85	1385093.83	1.0e-26
CARD|NP_418574.1 Escherichia coli ampC [Escherichia coli str. K-12 substr. MG1655]	  809398	   44908	    1134	  100.00	  100.00	  100.00	  100.00	  726.40	684116.24	1.0e-26
CARD|AFK58562.1 Enterococcus faecium liaR mutant conferring daptomycin resistance [Enterococcus faecium DO]	   65544	   25244	     633	  100.00	  100.00	  100.00	  100.00	  104.47	17888.71	1.0e-26
CARD|CAI43425.1 OXY-6-4 [Klebsiella oxytoca]	     734	   34960	     876	   72.37	   72.72	   99.53	  137.52	    0.85	32818.45	1.0e-26
CARD|AAF05611.1 TEM-79 [Escherichia coli]	   30912	   34351	     861	   99.77	  100.00	   99.77	  100.00	   36.05	  181.24	1.0e-26
CARD|AGK82336.1 TEM-206 [Escherichia coli]	   11086	   34357	     861	   86.88	   87.11	   99.73	  114.80	   12.93	11917.51	1.0e-26
CARD|YP_490321.1 baeR [Escherichia coli str. K-12 substr. W3110]	  461880	   28724	     723	   99.45	  100.00	   99.45	  100.00	  663.05	382434.80	1.0e-26
CARD|AAG16656.1 floR [Escherichia coli]	  166770	   48417	    1215	   99.75	  100.00	   99.75	  100.00	  138.85	65093.06	1.0e-26
CARD|ALL09868.1 Enterococcus faecium cls conferring resistance to daptomycin [Enterococcus faecium]	  133269	   57886	    1452	   99.93	  100.00	   99.93	  100.00	   92.29	29727.40	1.0e-26
CARD|CAA79727.1 tetQ [Bacteroides fragilis]	   48789	   78776	    1974	   99.54	  100.00	   99.54	  100.00	   25.61	 7049.39	1.0e-26
CARD|ABR76005.1 Klebsiella pneumoniae ramR mutants [Klebsiella pneumoniae subsp. pneumoniae MGH 78578]	   44010	   23214	     582	   97.77	  100.00	   97.77	  100.00	   80.91	 6432.91	1.0e-26
CARD|WP_004236715.1 Morganella morganii gyrB conferring resistance to fluoroquinolone [Morganella]	   56103	   96385	    2415	   96.56	  100.00	   96.56	  100.00	   27.75	10641.22	1.0e-26
CARD|BAA15934.1 baeS [Escherichia coli str. K-12 substr. W3110]	  911236	   55551	    1404	   98.08	  100.00	   98.08	  100.00	  693.86	757349.86	1.0e-26
CARD|AAA65954.1 vanSA [Enterococcus faecium]	  389293	   45926	    1155	  100.00	  100.00	  100.00	  100.00	  338.20	270898.24	1.0e-26
CARD|AAF17880.1 aadA5 [Escherichia coli]	    1609	   31486	     789	   97.97	   98.10	   99.87	  101.94	    2.05	26972.59	1.0e-26
CARD|CAC41008.1 Klebsiella pneumoniae acrA [Klebsiella pneumoniae]	  100472	   47730	    1197	   94.90	   99.75	   95.14	  100.25	   97.05	18769.15	1.0e-26
CARD|AAA65953.1 vanRA [Enterococcus faecium]	  213127	   27717	     696	  100.00	  100.00	  100.00	  100.00	  307.38	142733.51	1.0e-26
CARD|BAB38442 Escherichia coli LamB [Escherichia coli O157:H7 str. Sakai]	  963736	   53030	    1341	   98.73	  100.00	   98.73	  100.00	  761.56	815708.55	1.0e-26
CARD|APB87301 porin OmpC [Escherichia coli]	  582044	   43816	    1104	   96.74	   98.91	   97.80	  101.10	  578.75	462865.64	1.0e-26
