#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NP_461214.1 Salmonella enterica gyrA conferring resistance to fluoroquinolones [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	   67535	  105476	    2637	   84.00	   94.43	   88.96	  105.90	   35.93	 8320.55	1.0e-26
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   13154	   59442	    1486	   82.30	   93.07	   88.43	  107.45	   14.09	29514.38	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	  859111	  123987	    3123	   97.95	  100.00	   97.95	  100.00	  297.65	549698.01	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	  468839	   32490	     816	   99.26	  100.00	   99.26	  100.00	  588.22	379791.35	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 3761586	   59459	    1542	   98.64	  100.00	   98.64	  100.00	 2680.62	3586907.97	1.0e-26
CARD|ACI32877.1 dfrA14 [Escherichia coli]	  118959	   19293	     483	   99.79	  100.00	   99.79	  100.00	  247.56	71847.79	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  122273	   61099	    1529	   90.84	  100.65	   90.25	   99.35	  136.09	20407.53	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  801888	   51087	    1287	  100.00	  100.00	  100.00	  100.00	  624.23	660863.92	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  359667	   36352	     912	  100.00	  100.00	  100.00	  100.00	  395.96	263958.44	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	15751731	   98629	    2904	   97.04	   99.97	   97.07	  100.03	 6047.64	15458296.22	1.0e-26
