#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG000871 Type 1 fimbriae Regulatory protein fimB [Escherichia coli CFT073]	  535858	   16499	     603	   98.34	  100.00	   98.34	  100.00	  940.15	488330.74	1.0e-26
VFDB|VFG000872 Type 1 fimbriae Regulatory protein fimE [Escherichia coli CFT073]	  531556	   16336	     597	   98.99	  100.00	   98.99	  100.00	  917.62	484496.27	1.0e-26
VFDB|VFG000873 Type-1 fimbrial protein, A chain precursor [Escherichia coli CFT073]	  469947	   16591	     606	   91.42	  100.00	   91.42	  100.00	 1005.93	422435.23	1.0e-26
VFDB|VFG000874 Fimbrin-like protein fimI precursor [Escherichia coli CFT073]	  584692	   14768	     540	   98.33	  100.00	   98.33	  100.00	 1139.71	541840.72	1.0e-26
VFDB|VFG000875 Chaperone protein fimC precursor [Escherichia coli CFT073]	  709471	   19834	     726	   98.76	  100.00	   98.76	  100.00	 1015.34	652125.91	1.0e-26
VFDB|VFG000876 Outer membrane usher protein fimD precursor [Escherichia coli CFT073]	 2883708	   70642	    2637	   98.41	  100.00	   98.41	  100.00	 1147.70	2678536.20	1.0e-26
VFDB|VFG000877 FimF protein precursor [Escherichia coli CFT073]	  557327	   14608	     534	   97.38	  100.00	   97.38	  100.00	 1133.71	514994.20	1.0e-26
VFDB|VFG000878 FimG protein precursor [Escherichia coli CFT073]	  581633	   13784	     504	   98.41	  100.00	   98.41	  100.00	 1215.76	541555.79	1.0e-26
VFDB|VFG000879 FimH protein precursor [Escherichia coli CFT073]	  942596	   24863	     912	   97.59	  100.00	   97.59	  100.00	 1114.22	870560.75	1.0e-26
VFDB|VFG000880 regulatory protein PapI [Escherichia coli CFT073]	   54768	    6430	     234	   94.87	  100.00	   94.87	  100.00	  269.24	38179.55	1.0e-26
VFDB|VFG000881 (papB) regulatory protein PapB [Escherichia coli CFT073]	  285016	    8638	     315	   98.41	   99.68	   98.73	  100.32	  950.01	260117.51	1.0e-26
VFDB|VFG000902 Aecreted auto transpoter toxin [Escherichia coli CFT073]	 3019171	  104378	    3900	   99.56	  100.00	   99.56	  100.00	  786.51	2719988.03	1.0e-26
VFDB|VFG000916 heme oxygenase ChuS [Escherichia coli CFT073]	  604213	   28141	    1029	   96.40	  100.00	   96.40	  100.00	  623.78	524798.28	1.0e-26
VFDB|VFG000917 Outer membrane heme/hemoglobin receptor ChuA [Escherichia coli CFT073]	  831150	   53148	    1947	   93.37	   95.63	   97.64	  104.56	  444.00	684481.05	1.0e-26
VFDB|VFG000918 periplasmic heme-binding protein ChuT [Escherichia coli CFT073]	  404845	   27206	     993	   93.55	   96.98	   96.47	  103.12	  423.36	330079.31	1.0e-26
VFDB|VFG000919 Putative oxygen independent coproporphyrinogen III oxidase [Escherichia coli CFT073]	 1431473	   36318	    1338	   96.79	  100.00	   96.79	  100.00	 1178.69	1326113.36	1.0e-26
VFDB|VFG000920 putative heme-binding protein ChuX [Escherichia coli CFT073]	  222220	   13582	     495	   72.73	   75.35	   96.51	  132.71	  491.27	184601.03	1.0e-26
VFDB|VFG000921 ChuY [Escherichia coli CFT073]	  600400	   17064	     624	   96.47	  100.00	   96.47	  100.00	 1043.72	551093.74	1.0e-26
VFDB|VFG000922 heme permease protein ChuU [Escherichia coli CFT073]	  766350	   27116	     993	   96.58	  100.00	   96.58	  100.00	  830.59	688707.70	1.0e-26
VFDB|VFG000923 ferrienterobactin outer membrane transporter [Escherichia coli CFT073]	 2001011	   60523	    2241	   96.88	  100.00	   96.88	  100.00	  983.96	1826548.92	1.0e-26
VFDB|VFG000924 ferrienterobactin ABC transporter periplasmic binding protein [Escherichia coli CFT073]	  906453	   26099	     957	   97.70	  100.00	   97.70	  100.00	 1019.20	831076.25	1.0e-26
VFDB|VFG000925 ferrienterobactin ABC transporter ATPase [Escherichia coli CFT073]	  730696	   22289	     816	   96.94	  100.00	   96.94	  100.00	  988.77	666467.51	1.0e-26
VFDB|VFG000926 ferrienterobactin ABC transporter permease [Escherichia coli CFT073]	  969399	   27720	    1017	   95.97	  100.00	   95.97	  100.00	 1084.68	889320.74	1.0e-26
VFDB|VFG000928 iron-enterobactin ABC transporter permease [Escherichia coli CFT073]	  788916	   27110	     993	   94.46	  100.00	   94.46	  100.00	  929.05	711186.54	1.0e-26
VFDB|VFG000929 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	 1079957	   20992	     771	   92.22	  100.00	   92.22	  100.00	 1967.40	1018580.72	1.0e-26
VFDB|VFG000930 enterobactin synthase multienzyme complex component, ATP-dependent [Escherichia coli CFT073]	 3306889	  103616	    3882	   94.93	   99.43	   95.47	  100.57	  965.46	3008631.40	1.0e-26
VFDB|VFG000931 isochorismate synthase 1 [Escherichia coli CFT073]	 1112912	   32339	    1188	   97.31	  100.00	   97.31	  100.00	 1024.05	1019545.06	1.0e-26
VFDB|VFG000932 2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Escherichia coli CFT073]	 1449912	   43723	    1611	   96.52	  100.00	   96.52	  100.00	 1003.68	1323860.39	1.0e-26
VFDB|VFG000933 isochorismatase [Escherichia coli CFT073]	  830582	   23415	     858	   98.83	  100.00	   98.83	  100.00	 1004.41	762904.24	1.0e-26
VFDB|VFG000937 L-lysine 6-monooxygenase IucD [Escherichia coli CFT073]	  362410	   36675	    1338	   88.04	   90.81	   96.95	  110.12	  297.85	265864.69	1.0e-26
VFDB|VFG000938 aerobactin siderophore biosynthesis protein IucC [Escherichia coli CFT073]	 1400781	   47329	    1743	   98.22	   99.89	   98.33	  100.11	  855.59	1264980.49	1.0e-26
VFDB|VFG000940 aerobactin siderophore biosynthesis protein IucD [Escherichia coli CFT073]	  184956	   49095	    1788	   84.00	   84.40	   99.54	  118.49	  104.12	78863.31	1.0e-26
VFDB|VFG000942 cytoplamic protein DraA [Escherichia coli O75:K5:H- str. IH11128]	  358664	    8385	     306	  100.00	  100.00	  100.00	  100.00	 1173.99	334272.81	1.0e-26
VFDB|VFG000943 chaperone protein DraB [Escherichia coli O75:K5:H- str. IH11128]	  182743	   20424	     744	   97.58	   99.33	   98.24	  100.68	  256.02	129683.57	1.0e-26
VFDB|VFG000944 usher protein DraC [Escherichia coli O75:K5:H- str. IH11128]	  729304	   70505	    2580	   78.26	   79.30	   98.68	  126.10	  289.54	542649.16	1.0e-26
VFDB|VFG000945 DraD, periplasmic protein [Escherichia coli O75:K5:H- str. IH11128]	  590597	   12142	     444	   99.77	  100.00	   99.77	  100.00	 1341.75	555148.32	1.0e-26
