#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
VFDB|VFG002165 endocarditis specific antigen [Enterococcus faecalis V583]	    8510	    5260	     927	   99.78	  100.00	   99.78	  100.00	    9.33	  766.86	1.0e-26
VFDB|VFG002166 collagen adhesin protein [Enterococcus faecalis V583]	   26947	   11484	    2025	   97.23	  100.00	   97.23	  100.00	   14.60	 6220.73	1.0e-26
VFDB|VFG002174 coccolysin [Enterococcus faecalis V583]	   15091	    8698	    1533	   98.96	  100.00	   98.96	  100.00	   10.21	 1718.03	1.0e-26
VFDB|VFG002180 ABC transporter, permease protein [Enterococcus faecalis V583]	    2303	    4614	     813	   79.21	   80.69	   98.17	  123.93	    3.06	  772.45	1.0e-26
VFDB|VFG002181 ABC transporter, ATP-binding protein [Enterococcus faecalis V583]	    6020	    7628	    1344	   98.88	  100.00	   98.88	  100.00	    4.67	  189.53	1.0e-26
VFDB|VFG002182 UDP-galactopyranose mutase [Enterococcus faecalis V583]	    8662	    6469	    1140	   99.65	  100.00	   99.65	  100.00	    7.73	  317.72	1.0e-26
VFDB|VFG002184 MurB family protein [Enterococcus faecalis V583]	   10860	   13929	    2454	   96.98	   97.31	   99.66	  102.76	    4.47	  380.06	1.0e-26
VFDB|VFG002186 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	    9567	   14253	    2511	   92.95	   93.83	   99.07	  106.58	    3.89	  922.21	1.0e-26
VFDB|VFG002187 glycosyl transferase, group 2 family protein [Enterococcus faecalis V583]	    7479	    8326	    1467	   96.93	   97.89	   99.03	  102.16	    5.28	   45.41	5.3e-10
VFDB|VFG002188 teichoic acid biosynthesis protein, putative [Enterococcus faecalis V583]	    6144	    6640	    1170	   91.71	   92.22	   99.44	  108.43	    5.36	   19.28	1.1e-05
VFDB|VFG002189 phosphatidate cytidylyltransferase [Enterococcus faecalis V583]	   10628	    4544	     801	   98.88	  100.00	   98.88	  100.00	   13.81	 2438.91	1.0e-26
VFDB|VFG002190 undecaprenyl diphosphate synthase [Enterococcus faecalis V583]	   14019	    4629	     816	   98.77	  100.00	   98.77	  100.00	   18.33	 4727.92	1.0e-26
VFDB|VFG002191 serine proteinase, V8 family [Enterococcus faecalis V583]	   12037	    4850	     855	   98.95	  100.00	   98.95	  100.00	   14.42	 3057.74	1.0e-26
VFDB|VFG002193 agrBfs protein [Enterococcus faecalis V583]	    7937	    4136	     729	   95.34	   95.47	   99.86	  104.74	   11.16	 1196.17	1.0e-26
VFDB|VFG002194 response regulator [Enterococcus faecalis V583]	    1465	    4154	     732	   86.61	   87.02	   99.53	  114.91	    2.04	 1287.50	1.0e-26
VFDB|VFG002195 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	   41465	   17093	    3015	   99.73	  100.00	   99.73	  100.00	   13.95	10143.59	1.0e-26
VFDB|VFG002196 polysaccharide lyase, family 8 [Enterococcus faecalis V583]	   40738	   23359	    4119	   99.08	  100.00	   99.08	  100.00	   10.28	 4711.90	1.0e-26
VFDB|VFG002197 sugar-binding transcriptional regulator, LacI family [Enterococcus faecalis V583]	   13138	    5736	    1011	   99.01	  100.00	   99.01	  100.00	   13.41	 2902.91	1.0e-26
VFDB|VFG042976 endocarditis and biofilm-associated pilus tip protein EbpA [Enterococcus faecalis V583]	   55230	   18766	    3312	   99.64	  100.00	   99.64	  100.00	   17.02	17967.76	1.0e-26
VFDB|VFG042977 endocarditis and biofilm-associated pilus minor subunit EbpB [Enterococcus faecalis V583]	   21309	    8116	    1431	   99.44	  100.00	   99.44	  100.00	   15.25	 5914.29	1.0e-26
VFDB|VFG042978 endocarditis and biofilm-associated pilus major subunit EbpC [Enterococcus faecalis V583]	   27372	   10650	    1878	   99.57	  100.32	   99.26	   99.68	   15.17	 7353.62	1.0e-26
VFDB|VFG042979 sortase [Enterococcus faecalis V583]	    8106	    4851	     855	   99.42	  100.00	   99.42	  100.00	    9.64	  817.25	1.0e-26
