#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|BAJ09383.1 qacA [Staphylococcus aureus]	   60468	  157286	    1545	   99.81	   99.87	   99.94	  100.13	   39.28	43047.74	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  338519	  155493	    1529	   79.40	   90.45	   87.78	  110.56	  387.75	67808.96	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	 4663269	  128728	    1287	  100.00	  100.00	  100.00	  100.00	 3634.46	4290915.21	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	25899706	   83755	     912	   99.89	  100.00	   99.89	  100.00	28580.59	25649520.07	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	13692400	  282676	    2926	   91.22	   99.83	   91.37	  100.17	 6242.18	12867240.11	1.0e-26
CARD|YP_039997.1 Staphylococcus aureus rpoC conferring resistance to daptomycin [Staphylococcus aureus subsp. aureus MRSA252]	  343513	  368836	    3624	   79.44	   90.98	   87.32	  109.92	  166.61	  900.25	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	32837663	   92025	    1032	   99.90	  100.00	   99.90	  100.00	32006.63	32562616.42	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	 8347524	   47907	     486	  100.00	  100.00	  100.00	  100.00	17220.93	8204896.38	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	 1216054	  154875	    1528	   70.16	   80.63	   87.01	  124.03	 1136.51	821413.60	1.0e-26
CARD|BAE15963.1 dfrG [Staphylococcus aureus]	  866270	   50523	     498	  100.00	  100.00	  100.00	  100.00	 1745.06	725836.90	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	20332496	  273124	    2904	   91.53	  100.14	   91.40	   99.86	 9026.19	19527604.08	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	  633533	   80735	     795	   99.87	  100.00	   99.87	  100.00	  802.84	427829.95	1.0e-26
CARD|AJD73064.1 RlmA(II) [Streptococcus pneumoniae]	    1503	   86427	     849	   71.85	   83.75	   85.79	  119.41	    3.06	82021.16	1.0e-26
CARD|AAU10334.1 aad(6) [Streptococcus oralis]	  587499	   84407	     831	  100.00	  100.00	  100.00	  100.00	  709.22	376691.77	1.0e-26
CARD|AAB63533.1 AAC(6')-Ii [Enterococcus faecium]	 1769287	   55507	     549	   99.64	  100.00	   99.64	  100.00	 3266.74	1609517.30	1.0e-26
CARD|CUX99269.1 Enterococcus faecium liaF mutant conferring daptomycin resistance [Enterococcus faecium]	 2329045	   73858	     732	   99.45	  100.00	   99.45	  100.00	 3243.20	2116551.52	1.0e-26
