#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  425754	   18553	    1486	   83.38	   95.29	   87.50	  104.94	  423.70	373193.85	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	  165765	   39328	    3123	   97.66	  100.00	   97.66	  100.00	   57.12	77945.79	1.0e-26
CARD|CAE51638.1 APH(3')-Ia [Serratia marcescens]	   49108	   10303	     816	   99.26	  100.00	   99.26	  100.00	   61.71	25344.99	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 1195780	   18795	    1542	   98.44	  100.00	   98.44	  100.00	  807.71	1140556.56	1.0e-26
CARD|AAM09852.1 vanXD [Enterococcus faecium]	    2246	    7700	     609	   73.07	   83.42	   87.60	  119.88	    5.21	 2990.88	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  137291	   19259	    1529	   89.34	  100.13	   89.22	   99.87	  139.16	88989.13	1.0e-26
CARD|ABA71732.1 vanXYG [Enterococcus faecalis]	    9964	    9670	     765	   95.56	  100.00	   95.56	  100.00	   14.33	    4.37	3.6e-02
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	 2017804	   34496	    2904	   99.38	  100.03	   99.35	   99.97	  715.73	1916633.58	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 2057220	   34713	    2926	   77.65	   88.62	   87.62	  112.84	  976.45	1955382.72	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  106398	   18962	    1504	   89.96	  100.13	   89.84	   99.87	  110.51	60983.43	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	   73243	   15067	    1194	  100.00	  100.00	  100.00	  100.00	   61.58	38323.53	1.0e-26
CARD|CAA52904.1 catS [Streptococcus pyogenes]	   32370	    6214	     492	   71.14	   81.50	   87.28	  122.69	  104.66	17729.59	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	    6099	   21817	    1725	   94.49	   99.25	   95.21	  100.76	    4.10	 8850.43	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	  125831	   21775	    1728	  100.00	  100.00	  100.00	  100.00	   73.17	73353.35	1.0e-26
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	  365224	   38975	    3114	   99.97	  100.00	   99.97	  100.00	  118.01	263329.70	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	   95750	   22060	    1749	  100.00	  100.00	  100.00	  100.00	   55.01	46091.39	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	  203190	   18441	    1467	  100.00	  100.00	  100.00	  100.00	  139.13	154003.86	1.0e-26
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	  203077	   39623	    3150	  100.00	  100.00	  100.00	  100.00	   64.84	110081.99	1.0e-26
