#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	   27403	   63581	    1486	   73.82	   82.84	   89.11	  120.71	   29.70	14386.06	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	 1951466	  131395	    3123	   96.16	  100.00	   96.16	  100.00	  705.28	1590436.57	1.0e-26
CARD|U00096_4166659_4168200 Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin [Escherichia coli K-12]	 8835319	   60752	    1542	   99.87	  100.00	   99.87	  100.00	 5421.53	8654721.26	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	   53257	   65407	    1529	   78.81	   89.21	   88.34	  112.10	   53.29	 1244.16	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	  436116	   54860	    1287	  100.00	  100.00	  100.00	  100.00	  339.55	296054.16	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	  307675	   38915	     912	   99.89	  100.00	   99.89	  100.00	  339.20	208407.34	1.0e-26
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	17081284	  105252	    2904	   99.07	  100.00	   99.07	  100.00	 6081.96	16768104.83	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 1668018	  123416	    2926	   82.71	   91.15	   90.74	  109.71	  744.38	1331778.17	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	   42343	   64343	    1504	   72.67	   83.11	   87.44	  120.32	   46.04	 4537.01	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	  953717	   50656	    1194	   99.08	  100.00	   99.08	  100.00	  823.93	811966.62	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	  537889	   43946	    1032	   99.90	  100.00	   99.90	  100.00	  524.19	419327.80	1.0e-26
CARD|CDJ72759 Escherichia coli PtsI with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	 1123632	   73214	    1728	   99.42	  100.00	   99.42	  100.00	  662.29	921904.06	1.0e-26
