#Template	Score	Expected	Template_length	Template_Identity	Template_Coverage	Query_Identity	Query_Coverage	Depth	q_value	p_value
CARD|NR_040847.1_0_1486 Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline [Propionibacterium acnes]	  697352	   11252	    1486	   86.54	   97.78	   88.51	  102.27	  706.45	664309.38	1.0e-26
CARD|AAC75136.1 mdtB [Escherichia coli str. K-12 substr. MG1655]	    4015	   24497	    3123	   73.49	   75.54	   97.29	  132.39	    1.40	14713.59	1.0e-26
CARD|NC_008596.1_3823614_3825143 Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  221517	   11858	    1529	   86.46	   98.82	   87.49	  101.19	  230.34	188352.40	1.0e-26
CARD|BAG75524.1 efmA [Enterococcus faecium]	    2053	   10089	    1287	   79.10	   79.33	   99.71	  126.05	    1.61	 5318.66	1.0e-26
CARD|AAA65958.1 vanYA [Enterococcus faecium]	    7483	    7146	     912	  100.00	  100.00	  100.00	  100.00	    8.25	    7.74	5.4e-03
CARD|AE014075.1_237159_240063 Escherichia coli 23S rRNA with mutation conferring resistance to clindamycin [Escherichia coli CFT073]	   59448	   22715	    2904	   98.52	   99.97	   98.55	  100.03	   23.11	16422.07	1.0e-26
CARD|NZ_CP009828.1_497113_500039 Staphylococcus aureus 23S rRNA with mutation conferring resistance to linezolid [Staphylococcus aureus]	 4488343	   17897	    2926	   80.62	   91.29	   88.32	  109.55	 2118.17	4434934.45	1.0e-26
CARD|CU458896.1_1462398_1463901 Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin [Mycobacterium abscessus]	  194477	   11679	    1504	   76.99	   88.03	   87.46	  113.60	  214.87	162084.21	1.0e-26
CARD|NP_414996.1 Escherichia coli acrA [Escherichia coli str. K-12 substr. MG1655]	    1748	    9359	    1194	   81.24	   81.74	   99.39	  122.34	    1.50	 5216.22	1.0e-26
CARD|AAA65956.1 vanA [Enterococcus faecium]	   11557	    8085	    1032	   99.90	  100.00	   99.90	  100.00	   11.28	  613.50	1.0e-26
CARD|AET10444.1 tetA(46) [Streptococcus australis]	   12094	   13518	    1725	   93.97	   98.49	   95.41	  101.53	    8.02	   79.22	1.0e-18
CARD|AAC76539.1 mdtF [Escherichia coli str. K-12 substr. MG1655]	    4638	   24425	    3114	   76.62	   78.20	   97.99	  127.89	    1.59	13472.18	1.0e-26
CARD|NP_415434.1 msbA [Escherichia coli str. K-12 substr. MG1655]	    3905	   13712	    1749	   87.54	   88.56	   98.84	  112.91	    2.32	 5459.44	1.0e-26
CARD|BAE78082.1 mdtP [Escherichia coli str. K-12 substr. W3110]	    3750	   11500	    1467	   81.12	   83.91	   96.67	  119.17	    2.83	 3938.59	1.0e-26
CARD|AAA65959.1 vanZA [Enterococcus faecium]	    3203	    3808	     486	  100.00	  100.00	  100.00	  100.00	    6.62	   52.29	1.0e-12
CARD|NP_414995.1 acrB [Escherichia coli str. K-12 substr. MG1655]	    5045	   24707	    3150	   74.06	   74.76	   99.07	  133.76	    1.65	12994.65	1.0e-26
CARD|NC_008596.1_5027948_5029475 Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A [Mycobacterium smegmatis str. MC2 155]	  360256	   11768	    1528	   83.77	   93.46	   89.64	  107.00	  343.91	326438.50	1.0e-26
CARD|AFK31666.1 tet(40) [Streptococcus suis]	  184721	    9485	    1221	  100.00	  100.00	  100.00	  100.00	  152.22	158117.13	1.0e-26
CARD|CAC41371.2 tet32 [Clostridiaceae bacterium K10]	  186763	   14918	    1920	   94.58	   96.77	   97.74	  103.34	  105.55	146421.37	1.0e-26
CARD|NZ_CP018138.1_1692408_1695312 Streptococcus pneumoniae 23S rRNA mutation conferring resistance to macrolides and streptogramins antibiotics [Streptococcus pneumoniae]	 5687920	   16421	    2904	   94.18	   99.97	   94.21	  100.03	 2550.04	5638844.47	1.0e-26
CARD|CDJ73208 Escherichia coli UhpT with mutation conferring resistance to fosfomycin [Escherichia coli str. K-12 substr. MC4100]	    3537	   10911	    1392	   93.25	   95.04	   98.11	  105.22	    2.71	 3764.27	1.0e-26
CARD|AL123456.3_1471846_1473382 Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin [Mycobacterium tuberculosis H37Rv]	 1079619	   11412	    1537	   80.09	   91.54	   87.49	  109.24	 1043.90	1045858.28	1.0e-26
CARD|AAC75137.1 mdtC [Escherichia coli str. K-12 substr. MG1655]	    4771	   24142	    3078	   83.07	   85.96	   96.64	  116.33	    1.73	12978.77	1.0e-26
CARD|AAY32951.1 lnuC [Streptococcus agalactiae]	    6913	    3878	     495	   99.19	  100.00	   99.19	  100.00	   14.37	  853.38	1.0e-26
CARD|U00096_223771_225312 Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin [Escherichia coli K-12]	  211485	   11965	    1542	   93.26	  100.19	   93.07	   99.81	  193.47	178152.51	1.0e-26
CARD|AGV10830.1 APH(3')-IIIa [Campylobacter coli CVM N29710]	    9463	    6228	     795	  100.00	  100.00	  100.00	  100.00	   11.98	  666.60	1.0e-26
